ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
avau1237-1-1-1,,avau1237-1,1,kiliŋasuk,kiliŋasuk,[],,['chan2019'],,False,False,,1
avau1237-1-2-1,,avau1237-1,2,su,su,[],,['chan2019'],,False,False,,1
avau1237-1-3-1,,avau1237-1,3,muyuk,muyuk,[],,['chan2019'],,False,False,,1
avau1237-1-4-1,,avau1237-1,4,penel,penel,[],,['chan2019'],,False,False,,1
avau1237-1-5-1,,avau1237-1,5,limi,limi,[],,['chan2019'],,False,False,,1
avau1237-1-6-1,,avau1237-1,6,ki-polo,ki-polo,[],,['chan2019'],,False,False,,1
avau1237-1-7-1,,avau1237-1,7,su-polo,su-polo,[],,['chan2019'],,False,False,,1
avau1237-1-8-1,,avau1237-1,8,muyuk-polo,muyuk-polo,[],,['chan2019'],,False,False,,1
avau1237-1-9-1,,avau1237-1,9,penel-polo,penel-polo,[],,['chan2019'],,False,False,,1
avau1237-1-10-1,,avau1237-1,10,lokoŋa,lokoŋa,[],,['chan2019'],,False,False,,1
avau1237-1-11-1,,avau1237-1,11,lokoŋa pa ki,lokoŋa pa ki,[],,['chan2019'],,False,False,,1
avau1237-1-12-1,,avau1237-1,12,lokoŋa pa su,lokoŋa pa su,[],,['chan2019'],,False,False,,1
avau1237-1-15-1,,avau1237-1,15,lokoŋa pa limi,lokoŋa pa limi,[],,['chan2019'],,False,False,,1
