ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
chip1261-3-1-1,,chip1261-3,1,(ʔĩ)ɬáʁe,(ʔĩ)ɬáʁe,[],,['chan2019'],,False,False,,3
chip1261-3-2-1,,chip1261-3,2,náke,náke,[],,['chan2019'],,False,False,,3
chip1261-3-3-1,,chip1261-3,3,taʁe,taʁe,[],,['chan2019'],,False,False,,3
chip1261-3-4-1,,chip1261-3,4,dĩʁĩ,dĩʁĩ,[],,['chan2019'],,False,False,,3
chip1261-3-5-1,,chip1261-3,5,sõláʁe,sõláʁe,[],,['chan2019'],,False,False,,3
chip1261-3-6-1,,chip1261-3,6,(ʔe)ɬkʼétaʁe,(ʔe)ɬkʼétaʁe,[],( 3 + 3 ),['chan2019'],,False,False,,3
chip1261-3-7-1,,chip1261-3,7,ɬaísdĩ,ɬaísdĩ,[],,['chan2019'],,False,False,,3
chip1261-3-7-2,,chip1261-3,7,totã,totã,[],,['chan2019'],,False,False,,3
chip1261-3-8-1,,chip1261-3,8,(ʔe)ɬkʼédĩ,(ʔe)ɬkʼédĩ,[],( 4 + 4 ),['chan2019'],,False,False,,3
chip1261-3-9-1,,chip1261-3,9,(ʔe)ɬótã,(ʔe)ɬótã,[],,['chan2019'],,False,False,,3
chip1261-3-10-1,,chip1261-3,10,honéna,honéna,[],,['chan2019'],,False,False,,3
chip1261-3-11-1,,chip1261-3,11,(ʔĩ)ɬáʁe t͡ʃʼaðəɬ,(ʔĩ)ɬáʁe t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-12-1,,chip1261-3,12,náke t͡ʃʼaðəɬ,náke t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-13-1,,chip1261-3,13,taʁe t͡ʃʼaðəɬ,taʁe t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-14-1,,chip1261-3,14,dĩʁĩ t͡ʃʼaðəɬ,dĩʁĩ t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-15-1,,chip1261-3,15,sõláʁe t͡ʃʼaðəɬ,sõláʁe t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-16-1,,chip1261-3,16,(ʔe)ɬkʼétaʁe t͡ʃʼaðəɬ,(ʔe)ɬkʼétaʁe t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-17-1,,chip1261-3,17,ɬaísdĩ t͡ʃʼaðəɬ,ɬaísdĩ t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-17-2,,chip1261-3,17,totã t͡ʃʼaðəɬ,totã t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-18-1,,chip1261-3,18,(ʔe)ɬkʼédĩ t͡ʃʼaðəɬ,(ʔe)ɬkʼédĩ t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-19-1,,chip1261-3,19,(ʔe)ɬótã t͡ʃʼaðəɬ,(ʔe)ɬótã t͡ʃʼaðəɬ,[],,['chan2019'],,False,False,,3
chip1261-3-20-1,,chip1261-3,20,nónéna,nónéna,[],( < náke + honéna  ),['chan2019'],,False,False,,3
chip1261-3-21-1,,chip1261-3,21,nónéna t͡sʼə́n ɬáʁe,nónéna t͡sʼə́n ɬáʁe,[],,['chan2019'],,False,False,,3
chip1261-3-22-1,,chip1261-3,22,nónéna t͡sʼə́n náke,nónéna t͡sʼə́n náke,[],,['chan2019'],,False,False,,3
