ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
crim1257-1-1-1,,crim1257-1,1,bir,bir,[],,['chan2019'],,False,False,,1
crim1257-1-2-1,,crim1257-1,2,eki,eki,[],,['chan2019'],,False,False,,1
crim1257-1-3-1,,crim1257-1,3,ytʃ,ytʃ,[],,['chan2019'],,False,False,,1
crim1257-1-4-1,,crim1257-1,4,dørt,dørt,[],,['chan2019'],,False,False,,1
crim1257-1-5-1,,crim1257-1,5,beʃ,beʃ,[],,['chan2019'],,False,False,,1
crim1257-1-6-1,,crim1257-1,6,altɪ,altɪ,[],,['chan2019'],,False,False,,1
crim1257-1-7-1,,crim1257-1,7,jedi,jedi,[],,['chan2019'],,False,False,,1
crim1257-1-8-1,,crim1257-1,8,sekiz,sekiz,[],,['chan2019'],,False,False,,1
crim1257-1-9-1,,crim1257-1,9,doquz,doquz,[],,['chan2019'],,False,False,,1
crim1257-1-10-1,,crim1257-1,10,on,on,[],,['chan2019'],,False,False,,1
crim1257-1-11-1,,crim1257-1,11,on bir,on bir,[],,['chan2019'],,False,False,,1
crim1257-1-12-1,,crim1257-1,12,on eki,on eki,[],,['chan2019'],,False,False,,1
crim1257-1-13-1,,crim1257-1,13,on ytʃ,on ytʃ,[],,['chan2019'],,False,False,,1
crim1257-1-14-1,,crim1257-1,14,on dørt,on dørt,[],,['chan2019'],,False,False,,1
crim1257-1-15-1,,crim1257-1,15,on beʃ,on beʃ,[],,['chan2019'],,False,False,,1
crim1257-1-16-1,,crim1257-1,16,on altɪ,on altɪ,[],,['chan2019'],,False,False,,1
crim1257-1-17-1,,crim1257-1,17,on jedi,on jedi,[],,['chan2019'],,False,False,,1
crim1257-1-18-1,,crim1257-1,18,on sekiz,on sekiz,[],,['chan2019'],,False,False,,1
crim1257-1-19-1,,crim1257-1,19,on doquz,on doquz,[],,['chan2019'],,False,False,,1
crim1257-1-20-1,,crim1257-1,20,jigirmi,jigirmi,[],,['chan2019'],,False,False,,1
crim1257-1-21-1,,crim1257-1,21,jigirmi bir,jigirmi bir,[],,['chan2019'],,False,False,,1
crim1257-1-22-1,,crim1257-1,22,jigirmi eki,jigirmi eki,[],,['chan2019'],,False,False,,1
crim1257-1-23-1,,crim1257-1,23,jigirmi ytʃ,jigirmi ytʃ,[],,['chan2019'],,False,False,,1
crim1257-1-24-1,,crim1257-1,24,jigirmi dørt,jigirmi dørt,[],,['chan2019'],,False,False,,1
crim1257-1-25-1,,crim1257-1,25,jigirmi beʃ,jigirmi beʃ,[],,['chan2019'],,False,False,,1
crim1257-1-26-1,,crim1257-1,26,jigirmi altɪ,jigirmi altɪ,[],,['chan2019'],,False,False,,1
crim1257-1-27-1,,crim1257-1,27,jigirmi jedi,jigirmi jedi,[],,['chan2019'],,False,False,,1
crim1257-1-28-1,,crim1257-1,28,jigirmi sekiz,jigirmi sekiz,[],,['chan2019'],,False,False,,1
crim1257-1-29-1,,crim1257-1,29,jigirmi doquz,jigirmi doquz,[],,['chan2019'],,False,False,,1
crim1257-1-30-1,,crim1257-1,30,otuz,otuz,[],,['chan2019'],,False,False,,1
crim1257-1-40-1,,crim1257-1,40,qɪrq,qɪrq,[],,['chan2019'],,False,False,,1
crim1257-1-50-1,,crim1257-1,50,elli,elli,[],,['chan2019'],,False,False,,1
crim1257-1-60-1,,crim1257-1,60,altmɪʃ,altmɪʃ,[],,['chan2019'],,False,False,,1
crim1257-1-70-1,,crim1257-1,70,jetmiʃ,jetmiʃ,[],,['chan2019'],,False,False,,1
crim1257-1-80-1,,crim1257-1,80,seksen,seksen,[],,['chan2019'],,False,False,,1
crim1257-1-90-1,,crim1257-1,90,doqsan,doqsan,[],,['chan2019'],,False,False,,1
crim1257-1-100-1,,crim1257-1,100,jyz,jyz,[],,['chan2019'],,False,False,,1
crim1257-1-200-1,,crim1257-1,200,eki jyz,eki jyz,[],,['chan2019'],,False,False,,1
crim1257-1-1000-1,,crim1257-1,1000,biɲ or biŋ,biɲ,[],??,['chan2019'],,False,False,,1
crim1257-1-1000-2,,crim1257-1,1000,biɲ or biŋ,biŋ,[],??,['chan2019'],,False,False,,1
crim1257-1-2000-1,,crim1257-1,2000,eki biɲ or biŋ,eki biɲ,[],??,['chan2019'],,False,False,,1
crim1257-1-2000-2,,crim1257-1,2000,eki biɲ or biŋ,eki biŋ,[],??,['chan2019'],,False,False,,1
