ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kere1286-1-1-1,,kere1286-1,1,nɑɑʔu,nɑɑʔu,[],,['chan2019'],,False,False,,1
kere1286-1-2-1,,kere1286-1,2,neʔewɑ,neʔewɑ,[],,['chan2019'],,False,False,,1
kere1286-1-3-1,,kere1286-1,3,neʔewɑ-nɑɑʔu,neʔewɑ-nɑɑʔu,[],( 2 + 1 ),['chan2019'],,False,False,,1
kere1286-1-4-1,,kere1286-1,4,neʔewɑ-neʔewɑ,neʔewɑ-neʔewɑ,[],( 2 + 2 ),['chan2019'],,False,False,,1
kere1286-1-5-1,,kere1286-1,5,tuu hɑpuo nɑɑʔu,tuu hɑpuo nɑɑʔu,[],(hand side),['chan2019'],,False,False,,1
kere1286-1-6-1,,kere1286-1,6,tuu hɑpuo nɑɑʔu via nɑɑʔu,tuu hɑpuo nɑɑʔu via nɑɑʔu,[],( 2 + 2 +2 ) sikisi,['chan2019'],,False,False,,1
kere1286-1-7-1,,kere1286-1,7,tuu hɑpuo nɑɑʔu via neʔewɑ,tuu hɑpuo nɑɑʔu via neʔewɑ,[],seveni,['chan2019'],,False,False,,1
kere1286-1-8-1,,kere1286-1,8,tuu hɑpuo nɑɑʔu via neʔewɑ-nɑɑʔu,tuu hɑpuo nɑɑʔu via neʔewɑ-nɑɑʔu,[],eiti,['chan2019'],,False,False,,1
kere1286-1-9-1,,kere1286-1,9,tuu hɑpuo nɑɑʔu via neʔewɑ-neʔewɑ,tuu hɑpuo nɑɑʔu via neʔewɑ-neʔewɑ,[],naini,['chan2019'],,False,False,,1
kere1286-1-10-1,,kere1286-1,10,tuu hɑpuo neʔewɑ,tuu hɑpuo neʔewɑ,[],(hand side-two) teni,['chan2019'],,False,False,,1
kere1286-1-11-1,,kere1286-1,11,tuu hɑpuo neʔewɑ via nɑɑʔu,tuu hɑpuo neʔewɑ via nɑɑʔu,[],,['chan2019'],,False,False,,1
kere1286-1-12-1,,kere1286-1,12,tuu hɑpuo neʔewɑ via neʔewɑ,tuu hɑpuo neʔewɑ via neʔewɑ,[],,['chan2019'],,False,False,,1
kere1286-1-13-1,,kere1286-1,13,tuu hɑpuo neʔewɑ via neʔewɑ-nɑɑʔu,tuu hɑpuo neʔewɑ via neʔewɑ-nɑɑʔu,[],,['chan2019'],,False,False,,1
kere1286-1-14-1,,kere1286-1,14,tuu hɑpuo neʔewɑ via neʔewɑ-neʔewɑ,tuu hɑpuo neʔewɑ via neʔewɑ-neʔewɑ,[],,['chan2019'],,False,False,,1
kere1286-1-15-1,,kere1286-1,15,tuuhapuoha neʔeva-naaʔu,tuuhapuoha neʔeva-naaʔu,[],,['chan2019'],,False,False,,1
kere1286-1-16-1,,kere1286-1,16,tuuhapuoha neʔeva-naaʔu via nɑɑʔu,tuuhapuoha neʔeva-naaʔu via nɑɑʔu,[],,['chan2019'],,False,False,,1
kere1286-1-17-1,,kere1286-1,17,tuuhapuoha neʔeva-naaʔu via neʔewɑ,tuuhapuoha neʔeva-naaʔu via neʔewɑ,[],,['chan2019'],,False,False,,1
kere1286-1-18-1,,kere1286-1,18,tuuhapuoha neʔeva-naaʔu via neʔewɑ-nɑɑʔu,tuuhapuoha neʔeva-naaʔu via neʔewɑ-nɑɑʔu,[],,['chan2019'],,False,False,,1
kere1286-1-19-1,,kere1286-1,19,tuuhapuoha neʔeva-naaʔu via neʔewɑ-neʔewɑ,tuuhapuoha neʔeva-naaʔu via neʔewɑ-neʔewɑ,[],,['chan2019'],,False,False,,1
kere1286-1-20-1,,kere1286-1,20,tuuhapuoha neʔeva-neʔeva,tuuhapuoha neʔeva-neʔeva,[],,['chan2019'],,False,False,,1
kere1286-1-21-1,,kere1286-1,21,tuuhapuoha neʔeva-neʔeva via nɑɑʔu,tuuhapuoha neʔeva-neʔeva via nɑɑʔu,[],,['chan2019'],,False,False,,1
