ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
limo1250-1-1-1,,limo1250-1,1,ˈỹ,ˈỹ,[],(masc.),['chan2019'],,False,False,un,1
limo1250-1-1-2,,limo1250-1,1,ˈynɔ,ˈynɔ,[],(fem.),['chan2019'],,False,False,una,1
limo1250-1-2-1,,limo1250-1,2,ˈdu,ˈdu,[],(m.),['chan2019'],,False,False,dos,1
limo1250-1-2-2,,limo1250-1,2,ˈdwa,ˈdwa,[],(f.),['chan2019'],,False,False,doas,1
limo1250-1-3-1,,limo1250-1,3,ˈtɾej,ˈtɾej,[],,['chan2019'],,False,False,tres,1
limo1250-1-4-1,,limo1250-1,4,ˈkatɾe,ˈkatɾe,[],,['chan2019'],,False,False,quatre,1
limo1250-1-5-1,,limo1250-1,5,ˈʃĩ,ˈʃĩ,[],,['chan2019'],,False,False,cinc,1
limo1250-1-6-1,,limo1250-1,6,ˈʃjej,ˈʃjej,[],,['chan2019'],,False,False,sieis,1
limo1250-1-7-1,,limo1250-1,7,ˈʃe,ˈʃe,[],,['chan2019'],,False,False,sèt,1
limo1250-1-8-1,,limo1250-1,8,ˈjɥe,ˈjɥe,[],,['chan2019'],,False,False,uech,1
limo1250-1-9-1,,limo1250-1,9,ˈnɔu,ˈnɔu,[],,['chan2019'],,False,False,nòu,1
limo1250-1-10-1,,limo1250-1,10,ˈde,ˈde,[],,['chan2019'],,False,False,detz,1
limo1250-1-10-2,,limo1250-1,10,djɛ,djɛ,[],,['chan2019'],,False,False,detz,1
limo1250-1-11-1,,limo1250-1,11,ˈũʒɛ,ˈũʒɛ,[],,['chan2019'],,False,False,onze,1
limo1250-1-11-2,,limo1250-1,11,vũzɛ,vũzɛ,[],,['chan2019'],,False,False,onze,1
limo1250-1-12-1,,limo1250-1,12,ˈdʊd͡zɛ,ˈdʊd͡zɛ,[],,['chan2019'],,False,False,dotze,1
limo1250-1-13-1,,limo1250-1,13,ˈtɾɛd͡zɛ,ˈtɾɛd͡zɛ,[],,['chan2019'],,False,False,tretze,1
