ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mehr1241-3-1-1,,mehr1241-3,1,t̩ɑ̄t,t̩ɑ̄t,[],,['chan2019'],,False,False,,3
mehr1241-3-1-2,,mehr1241-3,1,t̩ɑ̄t̩,t̩ɑ̄t̩,[],,['chan2019'],,False,False,,3
mehr1241-3-2-1,,mehr1241-3,2,θroh,θroh,[],,['chan2019'],,False,False,,3
mehr1241-3-3-1,,mehr1241-3,3,ɬɑ̄θɑyt,ɬɑ̄θɑyt,[],,['chan2019'],,False,False,,3
mehr1241-3-4-1,,mehr1241-3,4,ərbōt,ərbōt,[],,['chan2019'],,False,False,,3
mehr1241-3-5-1,,mehr1241-3,5,xəmmōh,xəmmōh,[],,['chan2019'],,False,False,,3
mehr1241-3-6-1,,mehr1241-3,6,yətēt,yətēt,[],,['chan2019'],,False,False,,3
mehr1241-3-7-1,,mehr1241-3,7,yəbɑyt,yəbɑyt,[],,['chan2019'],,False,False,,3
mehr1241-3-8-1,,mehr1241-3,8,θəmənit,θəmənit,[],,['chan2019'],,False,False,,3
mehr1241-3-9-1,,mehr1241-3,9,sɑ̄t,sɑ̄t,[],,['chan2019'],,False,False,,3
mehr1241-3-10-1,,mehr1241-3,10,ʔɑ̄ɬərīt,ʔɑ̄ɬərīt,[],,['chan2019'],,False,False,,3
mehr1241-3-11-1,,mehr1241-3,11,ħədʕɑ̄ʃɑr,ħədʕɑ̄ʃɑr,[],(< Arabic ),['chan2019'],,True,False,,3
mehr1241-3-14-1,,mehr1241-3,14,ɑrbɑ̄tɑ̄ʃər,ɑrbɑ̄tɑ̄ʃər,[],(< Arabic ),['chan2019'],,True,False,,3
mehr1241-3-15-1,,mehr1241-3,15,xɑmstāʃər,xɑmstāʃər,[],(< Arabic ),['chan2019'],,True,False,,3
mehr1241-3-16-1,,mehr1241-3,16,səttɑ̄ʃər,səttɑ̄ʃər,[],(< Arabic ),['chan2019'],,True,False,,3
mehr1241-3-20-1,,mehr1241-3,20,ʔɑ̄ʃrɑyn,ʔɑ̄ʃrɑyn,[],(< Arabic ),['chan2019'],,True,False,,3
mehr1241-3-21-1,,mehr1241-3,21,ʔəɬrɑyn wə-t̩ɑ̄t̩,ʔəɬrɑyn wə-t̩ɑ̄t̩,[],( possible Harsusi ),['chan2019'],,False,False,,3
mehr1241-3-23-1,,mehr1241-3,23,ʔəɬrɑyn wə-ɬɑ̄θɑyt,ʔəɬrɑyn wə-ɬɑ̄θɑyt,[],( possible Harsusi ),['chan2019'],,False,False,,3
mehr1241-3-25-1,,mehr1241-3,25,xɑms wə-ʔɑ̄ʃrɑyn,xɑms wə-ʔɑ̄ʃrɑyn,[],,['chan2019'],,False,False,,3
mehr1241-3-30-1,,mehr1241-3,30,ɬəlɑ̄θɑyn,ɬəlɑ̄θɑyn,[],( Arabic pattern ),['chan2019'],,False,False,,3
mehr1241-3-40-1,,mehr1241-3,40,ərbəʕɑyn,ərbəʕɑyn,[],,['chan2019'],,True,False,,3
mehr1241-3-40-2,,mehr1241-3,40,ɑrbəʕin,ɑrbəʕin,[],( both Arabic ),['chan2019'],,True,False,,3
mehr1241-3-50-1,,mehr1241-3,50,xəmsɑyn,xəmsɑyn,[],,['chan2019'],,True,False,,3
mehr1241-3-50-2,,mehr1241-3,50,xəmsin,xəmsin,[],( both Arabic ),['chan2019'],,True,False,,3
mehr1241-3-100-1,,mehr1241-3,100,myit,myit,[],,['chan2019'],,False,False,,3
mehr1241-3-200-1,,mehr1241-3,200,myiti θrɑyt,myiti θrɑyt,[],,['chan2019'],,False,False,,3
mehr1241-3-1000-1,,mehr1241-3,1000,ʔɑlf,ʔɑlf,[],,['chan2019'],,False,False,,3
mehr1241-3-1000-2,,mehr1241-3,1000,ɛ̄f,ɛ̄f,[],,['chan2019'],,False,False,,3
mehr1241-3-4000-1,,mehr1241-3,4000,ərbō3 yəlēf,ərbōt yəlēf,[],,['chan2019'],,False,False,,3
