ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
opuu1239-1-1-1,,opuu1239-1,1,ɗj́ān,ɗj́ān,[],,['chan2019'],,False,False,,1
opuu1239-1-2-1,,opuu1239-1,2,sʊ̄kʼá,sʊ̄kʼá,[],,['chan2019'],,False,False,,1
opuu1239-1-3-1,,opuu1239-1,3,tùsù,tùsù,[],,['chan2019'],,False,False,,1
opuu1239-1-4-1,,opuu1239-1,4,ʍàn,ʍàn,[],,['chan2019'],,False,False,,1
opuu1239-1-5-1,,opuu1239-1,5,mùtʰa̋-kʼʊ̄j,mùtʰa̋-kʼʊ̄j,[],(litː 'be.full-hand' ),['chan2019'],,False,False,,1
opuu1239-1-6-1,,opuu1239-1,6,kʰān-ɪ́-ɗjān,kʰān-ɪ́-ɗjān,[],(litː 'five-ASC-one~five-   ASC-one'),['chan2019'],,False,False,,1
opuu1239-1-7-1,,opuu1239-1,7,kʰān-ɪ́-sʊ̄kʼá,kʰān-ɪ́-sʊ̄kʼá,[],(litː 'five-ASC-two'),['chan2019'],,False,False,,1
opuu1239-1-8-1,,opuu1239-1,8,kʰān-ɪ́-tùsù,kʰān-ɪ́-tùsù,[],(litː 'five-ASC-three'),['chan2019'],,False,False,,1
opuu1239-1-9-1,,opuu1239-1,9,kʰān-ɪ́-ʍàn,kʰān-ɪ́-ʍàn,[],(litː 'five-ASC-four'),['chan2019'],,False,False,,1
opuu1239-1-10-1,,opuu1239-1,10,kʼʊ̄j-ā-sʊ̄kʼɛ́n,kʼʊ̄j-ā-sʊ̄kʼɛ́n,[],(litː 'hand-SOURCE-    two-3N.POSS'),['chan2019'],,False,False,,1
opuu1239-1-11-1,,opuu1239-1,11,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p ɗj́ān,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p ɗj́ān,[],(hand-  SOURCE-two-3N.POSS have head one),['chan2019'],,False,False,,1
opuu1239-1-12-1,,opuu1239-1,12,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p sʊ̄kʼá,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p sʊ̄kʼá,[],(hand- SOURCE-two-3N.POSS have head two),['chan2019'],,False,False,,1
opuu1239-1-13-1,,opuu1239-1,13,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p tùsù,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p tùsù,[],(hand- SOURCE-two-3N.POSS have head three),['chan2019'],,False,False,,1
opuu1239-1-14-1,,opuu1239-1,14,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p ʍàn,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p ʍàn,[],(hand- SOURCE-two-3N.POSS have head four),['chan2019'],,False,False,,1
opuu1239-1-15-1,,opuu1239-1,15,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p mùtʰa̋-kʼʊ̄j,kʼʊ̄j-ā-sʊ̄kʼɛ́n kɔ̀t kʼʊ́p mùtʰa̋-kʼʊ̄j,[],(hand SOURCE-two-3N.POSS have    head be.full-hand),['chan2019'],,False,False,,1
