ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
osin1237-1-1-1,,osin1237-1,1,sidʒiʔ,sidʒiʔ,[],,['chan2019'],,False,False,,1
osin1237-1-2-1,,osin1237-1,2,loroʔ,loroʔ,[],,['chan2019'],,False,False,,1
osin1237-1-3-1,,osin1237-1,3,təlaʊ,təlaʊ,[],,['chan2019'],,False,False,,1
osin1237-1-4-1,,osin1237-1,4,pʌpat,pʌpat,[],,['chan2019'],,False,False,,1
osin1237-1-5-1,,osin1237-1,5,limɔʔ,limɔʔ,[],,['chan2019'],,False,False,,1
osin1237-1-6-1,,osin1237-1,6,ənəm,ənəm,[],,['chan2019'],,False,False,,1
osin1237-1-7-1,,osin1237-1,7,pitau,pitau,[],,['chan2019'],,False,False,,1
osin1237-1-8-1,,osin1237-1,8,wɔlau,wɔlau,[],,['chan2019'],,False,False,,1
osin1237-1-9-1,,osin1237-1,9,sɔgɔʔ,sɔgɔʔ,[],,['chan2019'],,False,False,,1
osin1237-1-10-1,,osin1237-1,10,səpulʊh,səpulʊh,[],,['chan2019'],,False,False,,1
osin1237-1-11-1,,osin1237-1,11,səwəlas,səwəlas,[],,['chan2019'],,False,False,,1
osin1237-1-12-1,,osin1237-1,12,rɔlas,rɔlas,[],,['chan2019'],,False,False,,1
osin1237-1-13-1,,osin1237-1,13,təlulas,təlulas,[],,['chan2019'],,False,False,,1
osin1237-1-14-1,,osin1237-1,14,patbəlas,patbəlas,[],,['chan2019'],,False,False,,1
osin1237-1-15-1,,osin1237-1,15,limɔbəlas,limɔbəlas,[],,['chan2019'],,False,False,,1
osin1237-1-16-1,,osin1237-1,16,nəmbəlas,nəmbəlas,[],,['chan2019'],,False,False,,1
osin1237-1-17-1,,osin1237-1,17,pitublas,pitublas,[],,['chan2019'],,False,False,,1
osin1237-1-18-1,,osin1237-1,18,wɔlulas,wɔlulas,[],,['chan2019'],,False,False,,1
osin1237-1-19-1,,osin1237-1,19,sɔgɔlas,sɔgɔlas,[],,['chan2019'],,False,False,,1
osin1237-1-20-1,,osin1237-1,20,roŋ pulʊh,roŋ pulʊh,[],,['chan2019'],,False,False,,1
osin1237-1-21-1,,osin1237-1,21,səlikʊr,səlikʊr,[],,['chan2019'],,False,False,,1
osin1237-1-22-1,,osin1237-1,22,rolikʊr,rolikʊr,[],,['chan2019'],,False,False,,1
osin1237-1-23-1,,osin1237-1,23,təlulikʊr,təlulikʊr,[],,['chan2019'],,False,False,,1
osin1237-1-24-1,,osin1237-1,24,patlikʊr,patlikʊr,[],,['chan2019'],,False,False,,1
osin1237-1-25-1,,osin1237-1,25,səlawəʔ,səlawəʔ,[],,['chan2019'],,False,False,,1
osin1237-1-26-1,,osin1237-1,26,nəmlikʊr,nəmlikʊr,[],,['chan2019'],,False,False,,1
osin1237-1-27-1,,osin1237-1,27,pitulikʊr,pitulikʊr,[],,['chan2019'],,False,False,,1
osin1237-1-28-1,,osin1237-1,28,wɔlu likʊr,wɔlu likʊr,[],,['chan2019'],,False,False,,1
osin1237-1-29-1,,osin1237-1,29,sɔgɔ likʊr,sɔgɔ likʊr,[],,['chan2019'],,False,False,,1
osin1237-1-30-1,,osin1237-1,30,təlʌŋ pulʊh,təlʌŋ pulʊh,[],,['chan2019'],,False,False,,1
osin1237-1-40-1,,osin1237-1,40,pətaŋ pulʊh,pətaŋ pulʊh,[],,['chan2019'],,False,False,,1
osin1237-1-50-1,,osin1237-1,50,sɛkət,sɛkət,[],,['chan2019'],,False,False,,1
osin1237-1-60-1,,osin1237-1,60,suwid̪aʔ,suwid̪aʔ,[],,['chan2019'],,False,False,,1
osin1237-1-70-1,,osin1237-1,70,pituŋ pulʊh,pituŋ pulʊh,[],,['chan2019'],,False,False,,1
osin1237-1-80-1,,osin1237-1,80,wɔluŋ pulʊh,wɔluŋ pulʊh,[],,['chan2019'],,False,False,,1
osin1237-1-90-1,,osin1237-1,90,saŋaŋ pulʊh,saŋaŋ pulʊh,[],,['chan2019'],,False,False,,1
osin1237-1-100-1,,osin1237-1,100,satus,satus,[],,['chan2019'],,False,False,,1
osin1237-1-200-1,,osin1237-1,200,rɔŋatʊs,rɔŋatʊs,[],,['chan2019'],,False,False,,1
osin1237-1-400-1,,osin1237-1,400,petaŋ ŋatʊs,petaŋ ŋatʊs,[],,['chan2019'],,False,False,,1
osin1237-1-800-1,,osin1237-1,800,wɔluŋ ŋatʊs,wɔluŋ ŋatʊs,[],,['chan2019'],,False,False,,1
osin1237-1-1000-1,,osin1237-1,1000,sewu,sewu,[],,['chan2019'],,False,False,,1
osin1237-1-2000-1,,osin1237-1,2000,rɔŋ ewu,rɔŋ ewu,[],,['chan2019'],,False,False,,1
