ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
puin1248-1-1-1,,puin1248-1,1,tə̃̀m,tə̃̀m,[],,['chan2019'],,False,False,,1
puin1248-1-2-1,,puin1248-1,2,kàw,kàw,[],,['chan2019'],,False,False,,1
puin1248-1-3-1,,puin1248-1,3,pə̄i,pə̄i,[],high tone,['chan2019'],,False,False,,1
puin1248-1-4-1,,puin1248-1,4,káwnōk,káwnōk,[],(litː ''two going''),['chan2019'],,False,False,,1
puin1248-1-5-1,,puin1248-1,5,dāptə̀m,dāptə̀m,[],( litː ''hand-one'' ),['chan2019'],,False,False,,1
puin1248-1-10-1,,puin1248-1,10,dábàt kàw,dábàt kàw,[],( litː ''two hands'' ),['chan2019'],,False,False,,1
puin1248-1-20-1,,puin1248-1,20,tə̃̀m èpin,tə̃̀m èpin,[],(litː ''one person''),['chan2019'],,False,False,,1
puin1248-1-40-1,,puin1248-1,40,kàw èpin,kàw èpin,[],(litː ''two persons''),['chan2019'],,False,False,,1
puin1248-1-60-1,,puin1248-1,60,pə̄ièpin,pə̄ièpin,[],(litː ''three persons''),['chan2019'],,False,False,,1
puin1248-1-80-1,,puin1248-1,80,káwnōk èpin,káwnōk èpin,[],(litː ''four persons''),['chan2019'],,False,False,,1
puin1248-1-100-1,,puin1248-1,100,dāptə̀m èpin,dāptə̀m èpin,[],(litː ''five persons''),['chan2019'],,False,False,,1
