ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
tazn1238-1-1-1,,tazn1238-1,1,iggən,iggən,[],(masculine),['chan2019'],,False,False,,1
tazn1238-1-1-2,,tazn1238-1,1,ikkət,ikkət,[],(feminine),['chan2019'],,False,False,,1
tazn1238-1-2-1,,tazn1238-1,2,sənn,sənn,[],(masculine),['chan2019'],,False,False,,1
tazn1238-1-2-2,,tazn1238-1,2,sənt,sənt,[],(feminine),['chan2019'],,False,False,,1
tazn1238-1-3-1,,tazn1238-1,3,ʃadˁ,ʃadˁ,[],(masculine),['chan2019'],,False,False,,1
tazn1238-1-3-2,,tazn1238-1,3,ʃaˁədˁ,ʃaˁədˁ,[],(feminine),['chan2019'],,False,False,,1
tazn1238-1-5-1,,tazn1238-1,5,fusˁ,fusˁ,[],(cryptic numerals),['chan2019'],,False,False,,1
tazn1238-1-10-1,,tazn1238-1,10,sənn n ifassən,sənn n ifassən,[],'two hands',['chan2019'],,False,False,,1
tazn1238-1-200-1,,tazn1238-1,200,sənn n idˁudˁan,sənn n idˁudˁan,[],'two fingers',['chan2019'],,False,False,,1
tazn1238-1-400-1,,tazn1238-1,400,rˁəbʕa n idˁudˁan,rˁəbʕa n idˁudˁan,[],‘four fingers’,['chan2019'],,False,False,,1
