ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
toro1252-1-1-1,,toro1252-1,1,tíì,tíì,[],(for counting),['chan2019'],,False,False,,1
toro1252-1-1-2,,toro1252-1,1,túrú,túrú,[],,['chan2019'],,False,False,,1
toro1252-1-2-1,,toro1252-1,2,lɛ́j,lɛ́j,[],,['chan2019'],,False,False,,1
toro1252-1-3-1,,toro1252-1,3,tàánú,tàánú,[],,['chan2019'],,False,False,,1
toro1252-1-4-1,,toro1252-1,4,nàjí,nàjí,[],,['chan2019'],,False,False,,1
toro1252-1-5-1,,toro1252-1,5,nùmɔ́r̃ɔ́,nùmɔ́r̃ɔ́,[],,['chan2019'],,False,False,,1
toro1252-1-6-1,,toro1252-1,6,kúlòj,kúlòj,[],,['chan2019'],,False,False,,1
toro1252-1-7-1,,toro1252-1,7,sɔ́j,sɔ́j,[],,['chan2019'],,False,False,,1
toro1252-1-8-1,,toro1252-1,8,ɡáárà,ɡáárà,[],,['chan2019'],,False,False,,1
toro1252-1-9-1,,toro1252-1,9,túwɔ́,túwɔ́,[],,['chan2019'],,False,False,,1
toro1252-1-10-1,,toro1252-1,10,pɛ́rú,pɛ́rú,[],,['chan2019'],,False,False,,1
toro1252-1-11-1,,toro1252-1,11,pɛ́rú ɡúú tír sìɡɛ̀,pɛ́rú ɡúú tír sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-12-1,,toro1252-1,12,pɛ́rú ɡúú léj̀ sìɡɛ̀,pɛ́rú ɡúú léj̀ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-13-1,,toro1252-1,13,pɛ́rú ɡúú táánú sìɡɛ̀,pɛ́rú ɡúú táánú sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-14-1,,toro1252-1,14,pɛ́rú ɡúú náj̀ sìɡɛ̀,pɛ́rú ɡúú náj̀ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-15-1,,toro1252-1,15,pɛ́rú ɡúú nùmɔ́r̃ɔ́ sìɡɛ̀,pɛ́rú ɡúú nùmɔ́r̃ɔ́ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-16-1,,toro1252-1,16,pɛ́rú ɡúú kúlój sìɡɛ̀,pɛ́rú ɡúú kúlój sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-17-1,,toro1252-1,17,pɛ́rú ɡúú sɔ́j̀ sìɡɛ̀,pɛ́rú ɡúú sɔ́j̀ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-18-1,,toro1252-1,18,pɛ́rú ɡúú ɡáárà sìɡɛ̀,pɛ́rú ɡúú ɡáárà sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-19-1,,toro1252-1,19,pɛ́rú ɡúú túwɔ́ sìɡɛ̀,pɛ́rú ɡúú túwɔ́ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-20-1,,toro1252-1,20,pɛ́ léj̀,pɛ́ léj̀,[],,['chan2019'],,False,False,,1
toro1252-1-21-1,,toro1252-1,21,pɛ́ léj̀ túrú sìɡɛ̀,pɛ́ léj̀ túrú sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-22-1,,toro1252-1,22,pɛ́ léj̀ lɛ́j̀ sìɡɛ̀,pɛ́ léj̀ lɛ́j̀ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-23-1,,toro1252-1,23,pɛ́ léj̀ tàánú sìɡɛ̀,pɛ́ léj̀ tàánú sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-24-1,,toro1252-1,24,pɛ́ léj̀ nàj̀ sìɡɛ̀,pɛ́ léj̀ nàj̀ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-25-1,,toro1252-1,25,pɛ́ léj̀ nùmɔ́r̃ɔ́ sìɡɛ̀,pɛ́ léj̀ nùmɔ́r̃ɔ́ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-26-1,,toro1252-1,26,pɛ́ léj̀ kúlój sìɡɛ̀,pɛ́ léj̀ kúlój sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-27-1,,toro1252-1,27,pɛ́ léj̀ sɔ́j sìɡɛ̀,pɛ́ léj̀ sɔ́j sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-28-1,,toro1252-1,28,pɛ́ léj̀ ɡáárà sìɡɛ̀,pɛ́ léj̀ ɡáárà sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-29-1,,toro1252-1,29,pɛ́ léj̀ túwɔ́ sìɡɛ̀,pɛ́ léj̀ túwɔ́ sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-30-1,,toro1252-1,30,pɛ́ táánú,pɛ́ táánú,[],,['chan2019'],,False,False,,1
toro1252-1-40-1,,toro1252-1,40,pɛ́ náj̀,pɛ́ náj̀,[],,['chan2019'],,False,False,,1
toro1252-1-41-1,,toro1252-1,41,pɛ́ náj̀ tír sìɡɛ̀,pɛ́ náj̀ tír sìɡɛ̀,[],,['chan2019'],,False,False,,1
toro1252-1-50-1,,toro1252-1,50,pɛ́ númɔ́r̃ɔ́,pɛ́ númɔ́r̃ɔ́,[],,['chan2019'],,False,False,,1
toro1252-1-60-1,,toro1252-1,60,pɛ́ kúlòj,pɛ́ kúlòj,[],,['chan2019'],,False,False,,1
toro1252-1-70-1,,toro1252-1,70,pɛ́ sɔ́j̀,pɛ́ sɔ́j̀,[],,['chan2019'],,False,False,,1
toro1252-1-80-1,,toro1252-1,80,dɔ̀ɡɔ̀ súŋú,dɔ̀ɡɔ̀ súŋú,[],,['chan2019'],,False,False,,1
toro1252-1-90-1,,toro1252-1,90,dɔ̀ɡɔ̀ súŋú pɛ́rú,dɔ̀ɡɔ̀ súŋú pɛ́rú,[],,['chan2019'],,False,False,,1
toro1252-1-100-1,,toro1252-1,100,súŋú,súŋú,[],,['chan2019'],,False,False,,1
toro1252-1-101-1,,toro1252-1,101,súŋú túrú,súŋú túrú,[],,['chan2019'],,False,False,,1
toro1252-1-200-1,,toro1252-1,200,súŋú léj̀,súŋú léj̀,[],,['chan2019'],,False,False,,1
toro1252-1-1000-1,,toro1252-1,1000,mùɲú,mùɲú,[],,['chan2019'],,False,False,,1
toro1252-1-2000-1,,toro1252-1,2000,mùɲú léj̀,mùɲú léj̀,[],,['chan2019'],,False,False,,1
toro1252-1-2002-1,,toro1252-1,2002,mùɲú léj̀ támá léj̀,mùɲú léj̀ támá léj̀,[],,['chan2019'],,False,False,,1
