ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
tuli1249-1-1-1,,tuli1249-1,1,'kɔ̀ʈːɔ̀k,'kɔ̀ʈːɔ̀k,[],,['chan2019'],,False,False,,1
tuli1249-1-2-1,,tuli1249-1,2,'kɑ̀ːrɑ́ʔ,'kɑ̀ːrɑ́ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-3-1,,tuli1249-1,3,'tɔ́ːnɑ̀ʔ,'tɔ́ːnɑ̀ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-4-1,,tuli1249-1,4,'tíːsòʔ,'tíːsòʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-5-1,,tuli1249-1,5,'tʊ̀mːʊ̀ʔ,'tʊ̀mːʊ̀ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-6-1,,tuli1249-1,6,'rɔ̀sːɑ̀ʔ,'rɔ̀sːɑ̀ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-7-1,,tuli1249-1,7,'kɔ́rɖɑ́ʈːɑ̀ʔ,'kɔ́rɖɑ́ʈːɑ̀ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-8-1,,tuli1249-1,8,'ɑ̀ʈːɑ́ʔ,'ɑ̀ʈːɑ́ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-9-1,,tuli1249-1,9,'kɔ́rómɑ́dɔ̀ɓːɑ́,'kɔ́rómɑ́dɔ̀ɓːɑ́,[],,['chan2019'],,False,False,,1
tuli1249-1-10-1,,tuli1249-1,10,'tɔ̀ɓːɑ́ʔ,'tɔ̀ɓːɑ́ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-11-1,,tuli1249-1,11,'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ̄ʈːɔ̀k,'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ̄ʈːɔ̀k,[],,['chan2019'],,False,False,,1
tuli1249-1-12-1,,tuli1249-1,12,tɔ̀ɓːɑ́ʔ'hɑ̀ːrɑ́ʔ,tɔ̀ɓːɑ́ʔ'hɑ̀ːrɑ́ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-13-1,,tuli1249-1,13,'tɔ̀ɓːɑ́ʔhɑ́ndɔ́ːnɑ̀ʔ,'tɔ̀ɓːɑ́ʔhɑ́ndɔ́ːnɑ̀ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-14-1,,tuli1249-1,14,'tɔ̀ɓːɑ́ʔhɑ́ndíːsoːʔ,'tɔ̀ɓːɑ́ʔhɑ́ndíːsoːʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-15-1,,tuli1249-1,15,'tɔ̀ɓːɑ́ʔhɑ́ndʊ́mːʊ̀ʔ,'tɔ̀ɓːɑ́ʔhɑ́ndʊ́mːʊ̀ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-16-1,,tuli1249-1,16,'tɔ̀ɓːɑ́ʔhɑ́rɔsːɑʔ,'tɔ̀ɓːɑ́ʔhɑ́rɔsːɑʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-17-1,,tuli1249-1,17,'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ́rɖɑ́ʈːɑ̀ʔ,'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ́rɖɑ́ʈːɑ̀ʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-18-1,,tuli1249-1,18,'tɔ̀ɓːɑ́ʔhɑ̂ːʈːɑ̀,'tɔ̀ɓːɑ́ʔhɑ̂ːʈːɑ̀,[],,['chan2019'],,False,False,,1
tuli1249-1-19-1,,tuli1249-1,19,'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ́rómɑ́dɔ̀ɓːɑ́,'tɔ̀ɓːɑ́ʔhɑ́ŋɡɔ́rómɑ́dɔ̀ɓːɑ́,[],,['chan2019'],,False,False,,1
tuli1249-1-20-1,,tuli1249-1,20,tì'jɑ̀ːɗíʔ,tì'jɑ̀ːɗíʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-21-1,,tuli1249-1,21,tì'jɑ̀ːɗíʔ ɑnɪŋɡɔ̄ʈːɔ̀k,tì'jɑ̀ːɗíʔ ɑnɪŋɡɔ̄ʈːɔ̀k,[],,['chan2019'],,False,False,,1
tuli1249-1-22-1,,tuli1249-1,22,tì'jɑ̀ːɗɪndʊhɑːrɑʔ,tì'jɑ̀ːɗɪndʊhɑːrɑʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-23-1,,tuli1249-1,23,tì'jɑ̀ːɗɪnhɑndɔːnɑʔ,tì'jɑ̀ːɗɪnhɑndɔːnɑʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-30-1,,tuli1249-1,30,tì'jɑ̀ːɗɪhɑndɔɓɑʔ,tì'jɑ̀ːɗɪhɑndɔɓɑʔ,[],,['chan2019'],,False,False,,1
tuli1249-1-40-1,,tuli1249-1,40,tɪjɑːɗɪnɛːrɑʔ,tɪjɑːɗɪnɛːrɑʔ,[],( 20 x 2 ),['chan2019'],,False,False,,1
