ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
bete1261-1-1-1,,bete1261-1,1,uʃɪ́ʃe,uʃɪ́ʃe,[],,['chan2019'],,False,False,,1
bete1261-1-2-1,,bete1261-1,2,máhá,máhá,[],,['chan2019'],,False,False,,1
bete1261-1-3-1,,bete1261-1,3,batà,batà,[],,['chan2019'],,False,False,,1
bete1261-1-4-1,,bete1261-1,4,beɲè,beɲè,[],,['chan2019'],,False,False,,1
bete1261-1-5-1,,bete1261-1,5,vatsòŋ,vatsòŋ,[],,['chan2019'],,False,False,,1
bete1261-1-6-1,,bete1261-1,6,vatsòŋ uʃí,vatsòŋ uʃí,[],( 5+ 1 ),['chan2019'],,False,False,,1
bete1261-1-7-1,,bete1261-1,7,vatsòŋ máhá,vatsòŋ máhá,[],( 5+ 2 ),['chan2019'],,False,False,,1
bete1261-1-8-1,,bete1261-1,8,vatsòŋ batà,vatsòŋ batà,[],( 5+ 3 ),['chan2019'],,False,False,,1
bete1261-1-9-1,,bete1261-1,9,vatsòŋ eɲè,vatsòŋ eɲè,[],( 5+ 4 ),['chan2019'],,False,False,,1
bete1261-1-10-1,,bete1261-1,10,uwo,uwo,[],,['chan2019'],,False,False,,1
bete1261-1-11-1,,bete1261-1,11,ulotí,ulotí,[],,['chan2019'],,False,False,,1
