ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
caro1242-1-1-1,,caro1242-1,1,eːw,eːw,[],,['chan2019'],,False,False,eew,1
caro1242-1-1-2,,caro1242-1,1,eːt,eːt,[],,['chan2019'],,False,False,eet,1
caro1242-1-1-3,,caro1242-1,1,a-,a-,[],,['chan2019'],,False,False,,1
caro1242-1-2-1,,caro1242-1,2,rɯːw,rɯːw,[],,['chan2019'],,False,False,rúúw,1
caro1242-1-2-2,,caro1242-1,2,ruw,ruw,[],,['chan2019'],,False,False,ruwa,1
caro1242-1-3-1,,caro1242-1,3,eːl,eːl,[],,['chan2019'],,False,False,eel,1
caro1242-1-3-2,,caro1242-1,3,ele,ele,[],,['chan2019'],,False,False,ele,1
caro1242-1-4-1,,caro1242-1,4,fæːl,fæːl,[],,['chan2019'],,False,False,fáál,1
caro1242-1-4-2,,caro1242-1,4,faː,faː,[],,['chan2019'],,False,False,faa,1
caro1242-1-5-1,,caro1242-1,5,liːm,liːm,[],,['chan2019'],,False,False,liim,1
caro1242-1-5-2,,caro1242-1,5,lima,lima,[],,['chan2019'],,False,False,,1
caro1242-1-6-1,,caro1242-1,6,oːl,oːl,[],,['chan2019'],,False,False,ool,1
caro1242-1-6-2,,caro1242-1,6,olo,olo,[],,['chan2019'],,False,False,olo,1
caro1242-1-7-1,,caro1242-1,7,fiːs,fiːs,[],,['chan2019'],,False,False,fiis,1
caro1242-1-7-2,,caro1242-1,7,fisɯː,fisɯː,[],,['chan2019'],,False,False,fisú,1
caro1242-1-8-1,,caro1242-1,8,waːl,waːl,[],,['chan2019'],,False,False,waal,1
caro1242-1-8-2,,caro1242-1,8,walɯ,walɯ,[],,['chan2019'],,False,False,walú,1
caro1242-1-9-1,,caro1242-1,9,tiːw,tiːw,[],,['chan2019'],,False,False,tiiw,1
caro1242-1-9-2,,caro1242-1,9,tiwa,tiwa,[],,['chan2019'],,False,False,tiwa,1
