ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
pate1247-1-1-1,,pate1247-1,1,ti,ti,[],,['chan2019'],,False,False,,1
pate1247-1-2-1,,pate1247-1,2,yuu,yuu,[],,['chan2019'],,False,False,,1
pate1247-1-3-1,,pate1247-1,3,yɔn,yɔn,[],,['chan2019'],,False,False,,1
pate1247-1-4-1,,pate1247-1,4,yuu ndə yuu,yuu ndə yuu,[],(litː 'two and two'),['chan2019'],,False,False,,1
pate1247-1-5-1,,pate1247-1,5,βəŋɡe βəlu,βəŋɡe βəlu,[],( litː 'hand half'),['chan2019'],,False,False,,1
pate1247-1-6-1,,pate1247-1,6,βəŋɡe βəlu ndə sɛʔ ti,βəŋɡe βəlu ndə sɛʔ ti,[],( litː 'hands half and across over to one'),['chan2019'],,False,False,,1
pate1247-1-7-1,,pate1247-1,7,βəŋɡe βəlu ndə sɛʔ yuu,βəŋɡe βəlu ndə sɛʔ yuu,[],,['chan2019'],,False,False,,1
pate1247-1-8-1,,pate1247-1,8,βəŋɡe βəlu ndə sɛʔ yɔn,βəŋɡe βəlu ndə sɛʔ yɔn,[],,['chan2019'],,False,False,,1
pate1247-1-9-1,,pate1247-1,9,βəŋɡe βəlu ndə sɛʔ yuu ndə yuu,βəŋɡe βəlu ndə sɛʔ yuu ndə yuu,[],,['chan2019'],,False,False,,1
pate1247-1-10-1,,pate1247-1,10,βəŋɡe yuu,βəŋɡe yuu,[],( litː 'hands two'),['chan2019'],,False,False,,1
pate1247-1-11-1,,pate1247-1,11,βəŋɡe yuu ndə to mə la ti,βəŋɡe yuu ndə to mə la ti,[],( litː 'hands two and fall and go to one'),['chan2019'],,False,False,,1
pate1247-1-12-1,,pate1247-1,12,βəŋɡe yuu ndə to mə la yuu,βəŋɡe yuu ndə to mə la yuu,[],,['chan2019'],,False,False,,1
pate1247-1-13-1,,pate1247-1,13,βəŋɡe yuu ndə to mə la yɔn,βəŋɡe yuu ndə to mə la yɔn,[],,['chan2019'],,False,False,,1
pate1247-1-14-1,,pate1247-1,14,βəŋɡe yuu ndə to mə la yuu ndə yuu,βəŋɡe yuu ndə to mə la yuu ndə yuu,[],,['chan2019'],,False,False,,1
pate1247-1-15-1,,pate1247-1,15,βəŋɡe yuu ndə βəɣa βəlu,βəŋɡe yuu ndə βəɣa βəlu,[],( litː 'hands two and feet half'),['chan2019'],,False,False,,1
pate1247-1-16-1,,pate1247-1,16,βəŋɡe yuu ndə βəɣa βəlu ndə sɛʔ ti,βəŋɡe yuu ndə βəɣa βəlu ndə sɛʔ ti,[],,['chan2019'],,False,False,,1
pate1247-1-17-1,,pate1247-1,17,βəŋɡe yuu ndə βəɣa βəlu ndə sɛʔ yuu,βəŋɡe yuu ndə βəɣa βəlu ndə sɛʔ yuu,[],,['chan2019'],,False,False,,1
pate1247-1-18-1,,pate1247-1,18,βəŋɡe yuu ndə βəɣa βəlu ndə sɛʔ yɔn,βəŋɡe yuu ndə βəɣa βəlu ndə sɛʔ yɔn,[],,['chan2019'],,False,False,,1
pate1247-1-19-1,,pate1247-1,19,βəŋɡe yuu ndə βəɣa βəlu ndə sɛʔ yuu ndə yuu,βəŋɡe yuu ndə βəɣa βəlu ndə sɛʔ yuu ndə yuu,[],,['chan2019'],,False,False,,1
pate1247-1-20-1,,pate1247-1,20,kɛhɛ ti,kɛhɛ ti,[],( litː 'one unit' ),['chan2019'],,False,False,,1
Pate1247-1-40-1,,pate1247-1,40,kɛhɛ yuu,40. kɛhɛ yuu,[],( litː 'two units' ),['chan2019'],,False,False,,1
Pate1247-1-40-1,,pate1247-1,60,kɛhɛ yɔn,60. kɛhɛ yɔn,[],,['chan2019'],,False,False,,1
pate1247-1-80-1,,pate1247-1,80,kɛhɛ yɔn,kɛhɛ yɔn,[],,['chan2019'],,False,False,,1
Pate1247-1-100-1,,pate1247-1,100,kɛhɛ βəŋɡe βəlu,100. kɛhɛ βəŋɡe βəlu,[],,['chan2019'],,False,False,,1
