ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
bakh1245-1-1-1,,bakh1245-1,1,jæk,jæk,[],,['chan2019'],,False,False,,1
bakh1245-1-2-1,,bakh1245-1,2,do,do,[],,['chan2019'],,False,False,,1
bakh1245-1-3-1,,bakh1245-1,3,se,se,[],,['chan2019'],,False,False,,1
bakh1245-1-4-1,,bakh1245-1,4,t͡ʃar,t͡ʃar,[],,['chan2019'],,False,False,,1
bakh1245-1-5-1,,bakh1245-1,5,pænd͡ʒ,pænd͡ʒ,[],,['chan2019'],,False,False,,1
bakh1245-1-5-2,,bakh1245-1,5,pænʃ,pænʃ,[],,['chan2019'],,False,False,,1
bakh1245-1-6-1,,bakh1245-1,6,ʃæʃ,ʃæʃ,[],,['chan2019'],,False,False,,1
bakh1245-1-7-1,,bakh1245-1,7,hæft,hæft,[],,['chan2019'],,False,False,,1
bakh1245-1-7-2,,bakh1245-1,7,hæpt,hæpt,[],,['chan2019'],,False,False,,1
bakh1245-1-8-1,,bakh1245-1,8,hæʃt,hæʃt,[],,['chan2019'],,False,False,,1
bakh1245-1-9-1,,bakh1245-1,9,no,no,[],,['chan2019'],,False,False,,1
bakh1245-1-10-1,,bakh1245-1,10,dæ,dæ,[],,['chan2019'],,False,False,,1
bakh1245-1-11-1,,bakh1245-1,11,jɑzæ,jɑzæ,[],,['chan2019'],,False,False,,1
bakh1245-1-12-1,,bakh1245-1,12,duwazæ,duwazæ,[],,['chan2019'],,False,False,,1
bakh1245-1-13-1,,bakh1245-1,13,sinzæ,sinzæ,[],,['chan2019'],,False,False,,1
bakh1245-1-14-1,,bakh1245-1,14,t͡ʃɑrdæ,t͡ʃɑrdæ,[],,['chan2019'],,False,False,,1
bakh1245-1-15-1,,bakh1245-1,15,punzæ,punzæ,[],,['chan2019'],,False,False,,1
bakh1245-1-16-1,,bakh1245-1,16,ʃunzæ,ʃunzæ,[],,['chan2019'],,False,False,,1
bakh1245-1-17-1,,bakh1245-1,17,hæbdæ,hæbdæ,[],,['chan2019'],,False,False,,1
bakh1245-1-18-1,,bakh1245-1,18,hæʒdæ,hæʒdæ,[],,['chan2019'],,False,False,,1
bakh1245-1-18-2,,bakh1245-1,18,hædʒdæ,hædʒdæ,[],,['chan2019'],,False,False,,1
bakh1245-1-18-3,,bakh1245-1,18,hidʒdæ,hidʒdæ,[],,['chan2019'],,False,False,,1
bakh1245-1-19-1,,bakh1245-1,19,nunzæ,nunzæ,[],,['chan2019'],,False,False,,1
bakh1245-1-20-1,,bakh1245-1,20,bis,bis,[],,['chan2019'],,False,False,,1
bakh1245-1-21-1,,bakh1245-1,21,bisjæk,bisjæk,[],,['chan2019'],,False,False,,1
bakh1245-1-21-2,,bakh1245-1,21,bis o jæk,bis o jæk,[],,['chan2019'],,False,False,,1
bakh1245-1-22-1,,bakh1245-1,22,bis o do,bis o do,[],,['chan2019'],,False,False,,1
bakh1245-1-23-1,,bakh1245-1,23,bis o se,bis o se,[],,['chan2019'],,False,False,,1
bakh1245-1-24-1,,bakh1245-1,24,bis o t͡ʃar,bis o t͡ʃar,[],,['chan2019'],,False,False,,1
bakh1245-1-25-1,,bakh1245-1,25,bis o pænd͡ʒ,bis o pænd͡ʒ,[],,['chan2019'],,False,False,,1
bakh1245-1-26-1,,bakh1245-1,26,bis o ʃæʃ,bis o ʃæʃ,[],,['chan2019'],,False,False,,1
bakh1245-1-27-1,,bakh1245-1,27,bis o hæft,bis o hæft,[],,['chan2019'],,False,False,,1
bakh1245-1-28-1,,bakh1245-1,28,bis o hæʃt,bis o hæʃt,[],,['chan2019'],,False,False,,1
bakh1245-1-29-1,,bakh1245-1,29,bis o no,bis o no,[],,['chan2019'],,False,False,,1
bakh1245-1-30-1,,bakh1245-1,30,si,si,[],,['chan2019'],,False,False,,1
Bakh1245-1-30-1,,bakh1245-1,31,si vo jæk,31. si vo jæk,[],,['chan2019'],,False,False,,1
bakh1245-1-40-1,,bakh1245-1,40,t͡ʃel,t͡ʃel,[],,['chan2019'],,False,False,,1
bakh1245-1-50-1,,bakh1245-1,50,pænd͡ʒa,pænd͡ʒa,[],,['chan2019'],,False,False,,1
bakh1245-1-60-1,,bakh1245-1,60,ʃæst,ʃæst,[],,['chan2019'],,False,False,,1
bakh1245-1-70-1,,bakh1245-1,70,hæftađ,hæftađ,[],,['chan2019'],,False,False,,1
bakh1245-1-80-1,,bakh1245-1,80,hæʃtađ,hæʃtađ,[],,['chan2019'],,False,False,,1
bakh1245-1-90-1,,bakh1245-1,90,nævæđ,nævæđ,[],,['chan2019'],,False,False,,1
bakh1245-1-100-1,,bakh1245-1,100,sæd,sæd,[],,['chan2019'],,False,False,,1
bakh1245-1-200-1,,bakh1245-1,200,diwist,diwist,[],,['chan2019'],,False,False,,1
bakh1245-1-1000-1,,bakh1245-1,1000,hæzar,hæzar,[],,['chan2019'],,False,False,,1
bakh1245-1-2000-1,,bakh1245-1,2000,do hæzar,do hæzar,[],,['chan2019'],,False,False,,1
