ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
maga1260-1-1-1,,maga1260-1,1,ek,ek,[],,['chan2019'],,False,False,,1
maga1260-1-2-1,,maga1260-1,2,d̪u,d̪u,[],,['chan2019'],,False,False,,1
maga1260-1-3-1,,maga1260-1,3,t̪in,t̪in,[],,['chan2019'],,False,False,,1
maga1260-1-4-1,,maga1260-1,4,tʃ͡aeɾ,tʃ͡aeɾ,[],,['chan2019'],,False,False,,1
maga1260-1-5-1,,maga1260-1,5,pãtʃ͡,pãtʃ͡,[],,['chan2019'],,False,False,,1
maga1260-1-6-1,,maga1260-1,6,tʃ͡o,tʃ͡o,[],,['chan2019'],,False,False,,1
maga1260-1-7-1,,maga1260-1,7,sat̪,sat̪,[],,['chan2019'],,False,False,,1
maga1260-1-8-1,,maga1260-1,8,aʈʰ,aʈʰ,[],,['chan2019'],,False,False,,1
maga1260-1-9-1,,maga1260-1,9,nɔ,nɔ,[],,['chan2019'],,False,False,,1
maga1260-1-10-1,,maga1260-1,10,d̪ʌs,d̪ʌs,[],,['chan2019'],,False,False,,1
maga1260-1-11-1,,maga1260-1,11,eɡaro,eɡaro,[],,['chan2019'],,False,False,,1
maga1260-1-12-1,,maga1260-1,12,baro,baro,[],,['chan2019'],,False,False,,1
maga1260-1-13-1,,maga1260-1,13,t̪ero,t̪ero,[],,['chan2019'],,False,False,,1
maga1260-1-14-1,,maga1260-1,14,tʃ͡ogd̪o,tʃ͡ogd̪o,[],,['chan2019'],,False,False,,1
maga1260-1-15-1,,maga1260-1,15,pʌⁿd̪ʌro,pʌⁿd̪ʌro,[],,['chan2019'],,False,False,,1
maga1260-1-16-1,,maga1260-1,16,solo,solo,[],,['chan2019'],,False,False,,1
maga1260-1-17-1,,maga1260-1,17,sʌt̪ʌro,sʌt̪ʌro,[],,['chan2019'],,False,False,,1
maga1260-1-18-1,,maga1260-1,18,ʌʈʰaro,ʌʈʰaro,[],,['chan2019'],,False,False,,1
maga1260-1-19-1,,maga1260-1,19,unes,unes,[],,['chan2019'],,False,False,,1
maga1260-1-20-1,,maga1260-1,20,bis,bis,[],,['chan2019'],,False,False,,1
maga1260-1-21-1,,maga1260-1,21,ʌkes,ʌkes,[],,['chan2019'],,False,False,,1
maga1260-1-22-1,,maga1260-1,22,bʌjes,bʌjes,[],,['chan2019'],,False,False,,1
maga1260-1-23-1,,maga1260-1,23,t̪ʌjes,t̪ʌjes,[],,['chan2019'],,False,False,,1
maga1260-1-24-1,,maga1260-1,24,tʃ͡obis,tʃ͡obis,[],,['chan2019'],,False,False,,1
maga1260-1-25-1,,maga1260-1,25,pʌtʃ͡is,pʌtʃ͡is,[],,['chan2019'],,False,False,,1
maga1260-1-26-1,,maga1260-1,26,tʃ͡ʌbbis,tʃ͡ʌbbis,[],,['chan2019'],,False,False,,1
maga1260-1-27-1,,maga1260-1,27,sʌt̪t̪aes,sʌt̪t̪aes,[],,['chan2019'],,False,False,,1
maga1260-1-28-1,,maga1260-1,28,ʌʈʰaes,ʌʈʰaes,[],,['chan2019'],,False,False,,1
maga1260-1-29-1,,maga1260-1,29,unt̪is,unt̪is,[],,['chan2019'],,False,False,,1
maga1260-1-30-1,,maga1260-1,30,t̪is,t̪is,[],,['chan2019'],,False,False,,1
maga1260-1-40-1,,maga1260-1,40,tʃ͡alis,tʃ͡alis,[],,['chan2019'],,False,False,,1
maga1260-1-50-1,,maga1260-1,50,pʌtʃ͡as,pʌtʃ͡as,[],,['chan2019'],,False,False,,1
maga1260-1-60-1,,maga1260-1,60,saeʈʰ,saeʈʰ,[],,['chan2019'],,False,False,,1
maga1260-1-70-1,,maga1260-1,70,sʌt̪ʌɾ,sʌt̪ʌɾ,[],,['chan2019'],,False,False,,1
maga1260-1-80-1,,maga1260-1,80,ʌssi,ʌssi,[],,['chan2019'],,False,False,,1
maga1260-1-90-1,,maga1260-1,90,nʌbbe,nʌbbe,[],,['chan2019'],,False,False,,1
maga1260-1-100-1,,maga1260-1,100,so,so,[],,['chan2019'],,False,False,,1
Maga1260-1-150-1,,maga1260-1,150,ek so pʌt͡ʃas,150. ek so pʌt͡ʃas,[],,['chan2019'],,False,False,,1
maga1260-1-200-1,,maga1260-1,200,d̪u so,d̪u so,[],,['chan2019'],,False,False,,1
Maga1260-1-250-1,,maga1260-1,250,d̪u so pʌt͡ʃas,250. d̪u so pʌt͡ʃas,[],,['chan2019'],,False,False,,1
maga1260-1-1000-1,,maga1260-1,1000,ek hʌd͡ʒaɾ,ek hʌd͡ʒaɾ,[],,['chan2019'],,False,False,,1
maga1260-1-2000-1,,maga1260-1,2000,d̪o hʌdʒ͡aɾ,d̪o hʌdʒ͡aɾ,[],,['chan2019'],,False,False,,1
Maga1260-1-10000-1,,maga1260-1,10000,d̪ʌs hʌdʒ͡aɾ,10000. d̪ʌs hʌdʒ͡aɾ,[],,['chan2019'],,False,False,,1
