ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
pras1239-1-1-1,,pras1239-1,1,ɪ,ɪ,[],,['chan2019'],,False,False,,1
pras1239-1-1-2,,pras1239-1,1,ʊpyn,ʊpyn,[],,['chan2019'],,False,False,,1
pras1239-1-2-1,,pras1239-1,2,ly,ly,[],,['chan2019'],,False,False,,1
pras1239-1-3-1,,pras1239-1,3,tt͡ʃi,tt͡ʃi,[],,['chan2019'],,False,False,,1
pras1239-1-4-1,,pras1239-1,4,t͡ʃpu,t͡ʃpu,[],,['chan2019'],,False,False,,1
pras1239-1-5-1,,pras1239-1,5,wʊˈt͡ʃu,wʊˈt͡ʃu,[],,['chan2019'],,False,False,,1
pras1239-1-6-1,,pras1239-1,6,wu'ʂ(u),wu'ʂ(u),[],,['chan2019'],,False,False,,1
pras1239-1-7-1,,pras1239-1,7,sə't(ə),sə't(ə),[],,['chan2019'],,False,False,,1
pras1239-1-8-1,,pras1239-1,8,astə,astə,[],,['chan2019'],,False,False,,1
pras1239-1-9-1,,pras1239-1,9,nʊ,nʊ,[],,['chan2019'],,False,False,,1
pras1239-1-9-2,,pras1239-1,9,nu,nu,[],,['chan2019'],,False,False,,1
pras1239-1-10-1,,pras1239-1,10,ləz(ə),ləz(ə),[],,['chan2019'],,False,False,,1
pras1239-1-11-1,,pras1239-1,11,d͡ʒyz(o),d͡ʒyz(o),[],,['chan2019'],,False,False,,1
pras1239-1-11-2,,pras1239-1,11,zyz(u),zyz(u),[],,['chan2019'],,False,False,,1
pras1239-1-12-1,,pras1239-1,12,wyz(o),wyz(o),[],,['chan2019'],,False,False,,1
pras1239-1-13-1,,pras1239-1,13,t͡ʃəzə,t͡ʃəzə,[],,['chan2019'],,False,False,,1
pras1239-1-14-1,,pras1239-1,14,t͡ʃplʊz,t͡ʃplʊz,[],,['chan2019'],,False,False,,1
pras1239-1-15-1,,pras1239-1,15,wɪʃlɪz,wɪʃlɪz,[],,['chan2019'],,False,False,,1
pras1239-1-16-1,,pras1239-1,16,wʊʂʊlt͡s,wʊʂʊlt͡s,[],,['chan2019'],,False,False,,1
pras1239-1-16-2,,pras1239-1,16,ʊʂʊlz,ʊʂʊlz,[],,['chan2019'],,False,False,,1
pras1239-1-17-1,,pras1239-1,17,sɛtlɪz,sɛtlɪz,[],,['chan2019'],,False,False,,1
pras1239-1-18-1,,pras1239-1,18,as(t)liz,as(t)liz,[],,['chan2019'],,False,False,,1
pras1239-1-18-2,,pras1239-1,18,aʃlis,aʃlis,[],,['chan2019'],,False,False,,1
pras1239-1-19-1,,pras1239-1,19,naːlt͡s,naːlt͡s,[],,['chan2019'],,False,False,,1
pras1239-1-19-2,,pras1239-1,19,naːlɪz,naːlɪz,[],,['chan2019'],,False,False,,1
pras1239-1-20-1,,pras1239-1,20,ʐu,ʐu,[],,['chan2019'],,False,False,,1
pras1239-1-20-2,,pras1239-1,20,zu,zu,[],,['chan2019'],,False,False,,1
pras1239-1-21-1,,pras1239-1,21,wɪkjæʒ,wɪkjæʒ,[],,['chan2019'],,False,False,,1
pras1239-1-21-2,,pras1239-1,21,ɪkjæɪʒ,ɪkjæɪʒ,[],,['chan2019'],,False,False,,1
pras1239-1-22-1,,pras1239-1,22,lyæʒ,lyæʒ,[],,['chan2019'],,False,False,,1
pras1239-1-23-1,,pras1239-1,23,t͡ʃʃeʒ,t͡ʃʃeʒ,[],,['chan2019'],,False,False,,1
pras1239-1-23-2,,pras1239-1,23,t͡ʃeʒ,t͡ʃeʒ,[],,['chan2019'],,False,False,,1
pras1239-1-24-1,,pras1239-1,24,t͡ʃɔeʒ,t͡ʃɔeʒ,[],,['chan2019'],,False,False,,1
pras1239-1-25-1,,pras1239-1,25,wʊ't͡ʃeʒ,wʊ't͡ʃeʒ,[],,['chan2019'],,False,False,,1
pras1239-1-26-1,,pras1239-1,26,wʊ'ʂeʒ,wʊ'ʂeʒ,[],,['chan2019'],,False,False,,1
pras1239-1-26-2,,pras1239-1,26,wʊ'ʂueʒ,wʊ'ʂueʒ,[],,['chan2019'],,False,False,,1
pras1239-1-27-1,,pras1239-1,27,sət'eʒ,sət'eʒ,[],,['chan2019'],,False,False,,1
pras1239-1-27-2,,pras1239-1,27,sə'teʒ,sə'teʒ,[],,['chan2019'],,False,False,,1
pras1239-1-28-1,,pras1239-1,28,aːst'eʒ,aːst'eʒ,[],,['chan2019'],,False,False,,1
pras1239-1-28-2,,pras1239-1,28,asteʒ,asteʒ,[],,['chan2019'],,False,False,,1
pras1239-1-29-1,,pras1239-1,29,nu'eʒ,nu'eʒ,[],,['chan2019'],,False,False,,1
pras1239-1-29-2,,pras1239-1,29,nu'weʒ,nu'weʒ,[],,['chan2019'],,False,False,,1
pras1239-1-30-1,,pras1239-1,30,ləʐʊwæʒ,ləʐʊwæʒ,[],,['chan2019'],,False,False,,1
pras1239-1-30-2,,pras1239-1,30,lezæɪʒ,lezæɪʒ,[],(20 + 10),['chan2019'],,False,False,,1
pras1239-1-31-1,,pras1239-1,31,ʐuʐwæʒ,ʐuʐwæʒ,[],,['chan2019'],,False,False,,1
pras1239-1-40-1,,pras1239-1,40,ljɔɡʐʊ,ljɔɡʐʊ,[],,['chan2019'],,False,False,,1
pras1239-1-40-2,,pras1239-1,40,ʒɪbəze,ʒɪbəze,[],( 2 x 20 ),['chan2019'],,False,False,,1
pras1239-1-50-1,,pras1239-1,50,led͡ʒebyz,led͡ʒebyz,[],,['chan2019'],,False,False,,1
pras1239-1-50-2,,pras1239-1,50,led͡zebɪz,led͡zebɪz,[],[ (2 x 20 )+ 10 ],['chan2019'],,False,False,,1
pras1239-1-60-1,,pras1239-1,60,t͡ʃət͡ʃeɡ-zu,t͡ʃət͡ʃeɡ-zu,[],,['chan2019'],,False,False,,1
pras1239-1-60-2,,pras1239-1,60,ʃt͡ʃɔɡzʊ,ʃt͡ʃɔɡzʊ,[],,['chan2019'],,False,False,,1
pras1239-1-60-3,,pras1239-1,60,ʃt͡ʃɔ.ɡzʊ,ʃt͡ʃɔ.ɡzʊ,[],( 3 x 20),['chan2019'],,False,False,,1
pras1239-1-70-1,,pras1239-1,70,ʃt͡ʃɔɡzʊalɛz,ʃt͡ʃɔɡzʊalɛz,[],,['chan2019'],,False,False,,1
pras1239-1-80-1,,pras1239-1,80,t͡ʃpaɡʐʊ,t͡ʃpaɡʐʊ,[],,['chan2019'],,False,False,,1
pras1239-1-80-2,,pras1239-1,80,t͡ʃpaɡzʊ,t͡ʃpaɡzʊ,[],( 4 x 20),['chan2019'],,False,False,,1
pras1239-1-90-1,,pras1239-1,90,t͡ʃpaɡʐʊalɛz,t͡ʃpaɡʐʊalɛz,[],[(4 x 20) + 10 ],['chan2019'],,False,False,,1
pras1239-1-100-1,,pras1239-1,100,wu't͡ʃeɡʐu,wu't͡ʃeɡʐu,[],,['chan2019'],,False,False,,1
pras1239-1-100-2,,pras1239-1,100,wu't͡ʃeɡzu,wu't͡ʃeɡzu,[],( 5 x 20 ),['chan2019'],,False,False,,1
pras1239-1-200-1,,pras1239-1,200,lezɛɡʐu,lezɛɡʐu,[],,['chan2019'],,False,False,,1
pras1239-1-200-2,,pras1239-1,200,kaʐʐu,kaʐʐu,[],( 10 x 20 ),['chan2019'],,False,False,,1
pras1239-1-400-1,,pras1239-1,400,t͡ʃeɾaʃi,t͡ʃeɾaʃi,[],,['chan2019'],,False,False,,1
pras1239-1-400-2,,pras1239-1,400,ʃeɾasĩ,ʃeɾasĩ,[],( 20 x 20 ),['chan2019'],,False,False,,1
pras1239-1-1000-1,,pras1239-1,1000,ləz wʊt͡ʃeɡzo,ləz wʊt͡ʃeɡzo,[],( 10 x  5 x 20 ),['chan2019'],,False,False,,1
