ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
kube1244-1-1-1,,kube1244-1,1,momaʔ-ɡuʔ,momaʔ-ɡuʔ,[],(litː ''one-with'),['chan2019'],,False,False,,1
kube1244-1-2-1,,kube1244-1,2,ɡəhəʔ,ɡəhəʔ,[],,['chan2019'],,False,False,,1
kube1244-1-2-2,,kube1244-1,2,ərəhəʔ,ərəhəʔ,[],(litː 'two'),['chan2019'],,False,False,,1
kube1244-1-3-1,,kube1244-1,3,harəvəʔ,harəvəʔ,[],,['chan2019'],,False,False,,1
kube1244-1-4-1,,kube1244-1,4,kemboŋ kpahaʔ,kemboŋ kpahaʔ,[],(litː 'thumb not /no'),['chan2019'],,False,False,,1
kube1244-1-5-1,,kube1244-1,5,məra məŋ,məra məŋ,[],( litː 'hand one' ),['chan2019'],,False,False,,1
kube1244-1-6-1,,kube1244-1,6,məra məŋ dzəma momaʔ-ɡuʔ,məra məŋ dzəma momaʔ-ɡuʔ,[],,['chan2019'],,False,False,,1
kube1244-1-6-2,,kube1244-1,6,məra məŋ dzəma (nəwəʔiɡuʔ kemma) momaʔ-ɡuʔ,məra məŋ dzəma (nəwəʔiɡuʔ kemma) momaʔ-ɡuʔ,[],[litː 'one hand and (going to the other) one'],['chan2019'],,False,False,,1
kube1244-1-7-1,,kube1244-1,7,məra məŋ dzəma ɡəhəʔ,məra məŋ dzəma ɡəhəʔ,[],(or ərəhəʔ),['chan2019'],,False,False,,1
kube1244-1-8-1,,kube1244-1,8,məra məŋ dzəma harəwəʔ,məra məŋ dzəma harəwəʔ,[],(litː 'one hand and three'), neʔ in the old data is adverbalizer which is not obligatory.,['chan2019'],,False,False,,1
kube1244-1-9-1,,kube1244-1,9,məra məŋ dzəma kemboŋ kpahaʔ,məra məŋ dzəma kemboŋ kpahaʔ,[],(litː 'one hand and the finger before the thumb'),['chan2019'],,False,False,,1
kube1244-1-10-1,,kube1244-1,10,məra ərəhəʔ,məra ərəhəʔ,[],( litː 'hands two' ),['chan2019'],,False,False,,1
kube1244-1-10-2,,kube1244-1,10,iʔ momaʔ ɡuʔ,iʔ momaʔ ɡuʔ,[],(litː 'one man'),['chan2019'],,False,False,,1
kube1244-1-11-1,,kube1244-1,11,məra ərəhəʔ dzəma (hənaiɡuʔ kemma) momaʔ-ɡuʔ,məra ərəhəʔ dzəma (hənaiɡuʔ kemma) momaʔ-ɡuʔ,[],[litː 'two hands and (going to    foot) one'],['chan2019'],,False,False,,1
kube1244-1-12-1,,kube1244-1,12,məra ərəhəʔ dzəma ɡəhəʔ,məra ərəhəʔ dzəma ɡəhəʔ,[],,['chan2019'],,False,False,,1
kube1244-1-12-2,,kube1244-1,12,məra ərəhəʔ dzəma ərəhəʔ,məra ərəhəʔ dzəma ərəhəʔ,[],,['chan2019'],,False,False,,1
kube1244-1-13-1,,kube1244-1,13,məra ərəhəʔ dzəma harəvəʔ,məra ərəhəʔ dzəma harəvəʔ,[],,['chan2019'],,False,False,,1
kube1244-1-14-1,,kube1244-1,14,məra ərəhəʔ dzəma kemboŋ kpahaʔ,məra ərəhəʔ dzəma kemboŋ kpahaʔ,[],,['chan2019'],,False,False,,1
kube1244-1-15-1,,kube1244-1,15,məra harəwəʔ,məra harəwəʔ,[], (litː 'three hands'),['chan2019'],,False,False,,1
kube1244-1-15-2,,kube1244-1,15,iʔ məŋ dzəma məra məŋ,iʔ məŋ dzəma məra məŋ,[],(litː 'one man and one hand'),['chan2019'],,False,False,,1
kube1244-1-16-1,,kube1244-1,16,məra harəwəʔ dzəma momaʔɡuʔ,məra harəwəʔ dzəma momaʔɡuʔ,[],[litː 'three hands and one (finger)'],['chan2019'],,False,False,,1
kube1244-1-17-1,,kube1244-1,17,məra harəwəʔ dzəma ɡəhəʔ,məra harəwəʔ dzəma ɡəhəʔ,[],,['chan2019'],,False,False,,1
kube1244-1-17-2,,kube1244-1,17,məra harəwəʔ dzəma ərəhəʔ,məra harəwəʔ dzəma ərəhəʔ,[],,['chan2019'],,False,False,,1
kube1244-1-18-1,,kube1244-1,18,məra harəwəʔ dzəma harəwəʔ,məra harəwəʔ dzəma harəwəʔ,[],,['chan2019'],,False,False,,1
kube1244-1-19-1,,kube1244-1,19,məra harəwəʔ dzəma kemboŋ kpahaʔ,məra harəwəʔ dzəma kemboŋ kpahaʔ,[],,['chan2019'],,False,False,,1
kube1244-1-20-1,,kube1244-1,20,məra kemboŋ kpahaʔ,məra kemboŋ kpahaʔ,[],(litː 'four hands', -kpaʔ 'name or one' is mistaken representation of kpahaʔ 'not'),['chan2019'],,False,False,,1
kube1244-1-20-2,,kube1244-1,20,məra ɡəhəʔ dzəma həna ɡəhəʔ ,məra ɡəhəʔ dzəma həna ɡəhəʔ,[],(litː 'two hands and two feet'),['chan2019'],,False,False,,1
kube1244-1-20-3,,kube1244-1,20,iʔ momaʔɡuʔ,iʔ momaʔɡuʔ,[],(litː 'one man'),['chan2019'],,False,False,,1
