ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
rawa1265-5-1-1,,rawa1265-5,1,tʃiʔ,tʃiʔ,[],,['chan2019'],,False,False,,1
rawa1265-5-2-1,,rawa1265-5,2,əɲí,əɲí,[],,['chan2019'],,False,False,,1
rawa1265-5-3-1,,rawa1265-5,3,əsɨ̀m,əsɨ̀m,[],,['chan2019'],,False,False,,1
rawa1265-5-4-1,,rawa1265-5,4,əbrì,əbrì,[],,['chan2019'],,False,False,,1
rawa1265-5-5-1,,rawa1265-5,5,pəŋwà,pəŋwà,[],,['chan2019'],,False,False,,1
rawa1265-5-6-1,,rawa1265-5,6,kruʔ,kruʔ,[],,['chan2019'],,False,False,,1
rawa1265-5-7-1,,rawa1265-5,7,ʃəŋiʔ,ʃəŋiʔ,[],,['chan2019'],,False,False,,1
rawa1265-5-8-1,,rawa1265-5,8,ʃət,ʃət,[],,['chan2019'],,False,False,,1
rawa1265-5-9-1,,rawa1265-5,9,dəɡɨ̀,dəɡɨ̀,[],,['chan2019'],,False,False,,1
rawa1265-5-10-1,,rawa1265-5,10,tʃisə́l,tʃisə́l,[],,['chan2019'],,False,False,,1
rawa1265-5-11-1,,rawa1265-5,11,tʃisə́l tʃiʔ,tʃisə́l tʃiʔ,[],,['chan2019'],,False,False,,1
rawa1265-5-12-1,,rawa1265-5,12,tʃisə́l əɲí,tʃisə́l əɲí,[],,['chan2019'],,False,False,,1
rawa1265-5-13-1,,rawa1265-5,13,tʃisə́l əsɨ̀m,tʃisə́l əsɨ̀m,[],,['chan2019'],,False,False,,1
rawa1265-5-14-1,,rawa1265-5,14,tʃisə́l əbrì,tʃisə́l əbrì,[],,['chan2019'],,False,False,,1
rawa1265-5-15-1,,rawa1265-5,15,tʃisə́l pəŋwà,tʃisə́l pəŋwà,[],,['chan2019'],,False,False,,1
rawa1265-5-16-1,,rawa1265-5,16,tʃisə́l kruʔ,tʃisə́l kruʔ,[],,['chan2019'],,False,False,,1
rawa1265-5-17-1,,rawa1265-5,17,tʃisə́l ʃəŋiʔ,tʃisə́l ʃəŋiʔ,[],,['chan2019'],,False,False,,1
rawa1265-5-18-1,,rawa1265-5,18,tʃisə́l ʃət,tʃisə́l ʃət,[],(~ʃat),['chan2019'],,False,False,,1
rawa1265-5-19-1,,rawa1265-5,19,tʃisə́l dəɡɨ̀,tʃisə́l dəɡɨ̀,[],,['chan2019'],,False,False,,1
rawa1265-5-20-1,,rawa1265-5,20,əní sə́l,əní sə́l,[],,['chan2019'],,False,False,,1
rawa1265-5-21-1,,rawa1265-5,21,əɲí sə́l tʃiʔ,əɲí sə́l tʃiʔ,[],,['chan2019'],,False,False,,1
rawa1265-5-22-1,,rawa1265-5,22,əɲí sə́l əɲí,əɲí sə́l əɲí,[],,['chan2019'],,False,False,,1
rawa1265-5-23-1,,rawa1265-5,23,əɲí sə́l əsɨ̀m,əɲí sə́l əsɨ̀m,[],,['chan2019'],,False,False,,1
rawa1265-5-24-1,,rawa1265-5,24,əɲí sə́l əbrì,əɲí sə́l əbrì,[],,['chan2019'],,False,False,,1
rawa1265-5-25-1,,rawa1265-5,25,əɲí sə́l pəŋwà,əɲí sə́l pəŋwà,[],,['chan2019'],,False,False,,1
rawa1265-5-26-1,,rawa1265-5,26,əɲí sə́l kruʔ,əɲí sə́l kruʔ,[],,['chan2019'],,False,False,,1
rawa1265-5-27-1,,rawa1265-5,27,əɲí sə́l ʃəŋit,əɲí sə́l ʃəŋit,[],(~ʃəŋiʔ),['chan2019'],,False,False,,1
rawa1265-5-28-1,,rawa1265-5,28,əɲí sə́l ʃàt,əɲí sə́l ʃàt,[],(~ʃət),['chan2019'],,False,False,,1
rawa1265-5-29-1,,rawa1265-5,29,əɲí sə́l dəɡɨ̀,əɲí sə́l dəɡɨ̀,[],,['chan2019'],,False,False,,1
rawa1265-5-30-1,,rawa1265-5,30,əsɨ̀m sə́l,əsɨ̀m sə́l,[],,['chan2019'],,False,False,,1
rawa1265-5-40-1,,rawa1265-5,40,əbrì sə́l,əbrì sə́l,[],,['chan2019'],,False,False,,1
rawa1265-5-50-1,,rawa1265-5,50,pəŋwà sə́l,pəŋwà sə́l,[],,['chan2019'],,False,False,,1
rawa1265-5-60-1,,rawa1265-5,60,kruʔ sə́l,kruʔ sə́l,[],,['chan2019'],,False,False,,1
rawa1265-5-70-1,,rawa1265-5,70,ʃəŋiʔ sə́l,ʃəŋiʔ sə́l,[],(~ʃəŋit),['chan2019'],,False,False,,1
rawa1265-5-80-1,,rawa1265-5,80,ʃət sə́l,ʃət sə́l,[],(~ʃat),['chan2019'],,False,False,,1
rawa1265-5-90-1,,rawa1265-5,90,dəɡɨ̀ sə́l,dəɡɨ̀ sə́l,[],,['chan2019'],,False,False,,1
rawa1265-5-100-1,,rawa1265-5,100,tʃi já,tʃi já,[],,['chan2019'],,False,False,,1
Rawa1265-5-200-1,,rawa1265-5,200,əɲí já,200. əɲí já,[],,['chan2019'],,False,False,,1
rawa1265-5-400-1,,rawa1265-5,400,əbrìjá,əbrìjá,[],,['chan2019'],,False,False,,1
Rawa1265-5-800-1,,rawa1265-5,800,ʃət já,800. ʃət já,[],,['chan2019'],,False,False,,1
rawa1265-5-1000-1,,rawa1265-5,1000,tʃi kíŋ,tʃi kíŋ,[],,['chan2019'],,False,False,,1
rawa1265-5-2000-1,,rawa1265-5,2000,əɲí kíŋ,əɲí kíŋ,[],,['chan2019'],,False,False,,1
