ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
hadi1240-1-1,,hadi1240,1,mato,mato,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-2-1,,hadi1240,2,lamo,lamo,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-3-1,,hadi1240,3,saso,saso,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-4-1,,hadi1240,4,sooro,sooro,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-5-1,,hadi1240,5,onto,onto,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-6-1,,hadi1240,6,loho,loho,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-7-1,,hadi1240,7,lamara,lamara,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-8-1,,hadi1240,8,sadeento,sadeento,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-9-1,,hadi1240,9,honso,honso,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-10-1,,hadi1240,10,tommo,tommo,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-11-1,,hadi1240,11,tommo-mato,tommo-mato,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-12-1,,hadi1240,12,tommo-lamo,tommo-lamo,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-13-1,,hadi1240,13,tommo-saso,tommo-saso,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-14-1,,hadi1240,14,tommo-sooro,tommo-sooro,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-15-1,,hadi1240,15,tommo-onto,tommo-onto,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-16-1,,hadi1240,16,tommo-loho,tommo-loho,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-17-1,,hadi1240,17,tommo-lamara,tommo-lamara,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-18-1,,hadi1240,18,tommo-sadeento,tommo-sadeento,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-19-1,,hadi1240,19,tommo-honso,tommo-honso,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-20-1,,hadi1240,20,lamiyye,lamiyye,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-21-1,,hadi1240,21,lamiyye-mato,lamiyye-mato,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-22-1,,hadi1240,22,lamiyye-lamo,lamiyye-lamo,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-23-1,,hadi1240,23,lamiyye-saso,lamiyye-saso,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-24-1,,hadi1240,24,lamiyye-sooro,lamiyye-sooro,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-25-1,,hadi1240,25,lamiyye-onto,lamiyye-onto,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-26-1,,hadi1240,26,lamiyye-loho,lamiyye-loho,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-27-1,,hadi1240,27,lamiyye-lamara,lamiyye-lamara,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-28-1,,hadi1240,28,lamiyye-sadeento,lamiyye-sadeento,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-29-1,,hadi1240,29,lamiyye-honso,lamiyye-honso,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-30-1,,hadi1240,30,sade,sade,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-40-1,,hadi1240,40,sore,sore,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-50-1,,hadi1240,50,ontayye,ontayye,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-60-1,,hadi1240,60,lahayye,lahayye,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-70-1,,hadi1240,70,lamarayye,lamarayye,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-80-1,,hadi1240,80,sadeentayye,sadeentayye,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-90-1,,hadi1240,90,honsayye,honsayye,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-100-1,,hadi1240,100,tʼibe,tʼibe,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-200-1,,hadi1240,200,lam-tʼibe,lam-tʼibe,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-1000-1,,hadi1240,1000,kuma,kuma,[],,[],,False,Hadiyya.htm,False,,1
hadi1240-2000-1,,hadi1240,2000,lam-kuma,lam-kuma,[],,[],,False,Hadiyya.htm,False,,1
