ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
mund1326-1-1,,mund1326,1,bìrì,bìrì,[],,[],,False,Mundu.htm,False,,1
mund1326-1-2,,mund1326,1,bìrìnɡ͡bɵ,bìrìnɡ͡bɵ,[],,[],,False,Mundu.htm,False,,1
mund1326-2-1,,mund1326,2,ɓəsù,ɓəsù,[],,[],,False,Mundu.htm,False,,1
mund1326-3-1,,mund1326,3,bata,bata,[],,[],,False,Mundu.htm,False,,1
mund1326-4-1,,mund1326,4,bala,bala,[],,[],,False,Mundu.htm,False,,1
mund1326-5-1,,mund1326,5,ɓúruve,ɓúruve,[],,[],,False,Mundu.htm,False,,1
mund1326-6-1,,mund1326,6,màɗìyà,màɗìyà,[],,[],,False,Mundu.htm,False,,1
mund1326-7-1,,mund1326,7,lɵ̀rɵzi,lɵ̀rɵzi,[],,[],,False,Mundu.htm,False,,1
mund1326-8-1,,mund1326,8,ɡ͡badzena,ɡ͡badzena,[],,[],,False,Mundu.htm,False,,1
mund1326-9-1,,mund1326,9,menewá,menewá,[],,[],,False,Mundu.htm,False,,1
mund1326-10-1,,mund1326,10,nzòkpa,nzòkpa,[],,[],,False,Mundu.htm,False,,1
mund1326-11-1,,mund1326,11,nzòkpa dɛ féye bìrìnɡ͡bɵ,nzòkpa dɛ féye bìrìnɡ͡bɵ,[],,[],,False,Mundu.htm,False,,1
mund1326-12-1,,mund1326,12,nzòkpa dɛ féye ɓəsù,nzòkpa dɛ féye ɓəsù,[],,[],,False,Mundu.htm,False,,1
mund1326-13-1,,mund1326,13,nzòkpa dɛ féye bata,nzòkpa dɛ féye bata,[],,[],,False,Mundu.htm,False,,1
mund1326-14-1,,mund1326,14,nzòkpa dɛ féye bala,nzòkpa dɛ féye bala,[],,[],,False,Mundu.htm,False,,1
mund1326-15-1,,mund1326,15,nzòkpa dɛ féye ɓúruve,nzòkpa dɛ féye ɓúruve,[],,[],,False,Mundu.htm,False,,1
mund1326-16-1,,mund1326,16,nzòkpa dɛ féye màɗìyà,nzòkpa dɛ féye màɗìyà,[],,[],,False,Mundu.htm,False,,1
mund1326-17-1,,mund1326,17,nzòkpa dɛ féye lɵ̀rɵzi,nzòkpa dɛ féye lɵ̀rɵzi,[],,[],,False,Mundu.htm,False,,1
mund1326-18-1,,mund1326,18,nzòkpa dɛ féye ɡ͡badzena,nzòkpa dɛ féye ɡ͡badzena,[],,[],,False,Mundu.htm,False,,1
mund1326-19-1,,mund1326,19,nzòkpa dɛ féye menewá,nzòkpa dɛ féye menewá,[],,[],,False,Mundu.htm,False,,1
mund1326-20-1,,mund1326,20,tèkpè bìrì,tèkpè bìrì,[],,[],,False,Mundu.htm,False,,1
mund1326-20-2,,mund1326,20,tèkè bìrì,tèkè bìrì,[],,[],,False,Mundu.htm,False,,1
mund1326-21-1,,mund1326,21,tèkpè bìrì dɛ féye bìrìnɡ͡bɵ,tèkpè bìrì dɛ féye bìrìnɡ͡bɵ,[],,[],,False,Mundu.htm,False,,1
mund1326-22-1,,mund1326,22,tèkpè bìrì dɛ féye ɓəsù,tèkpè bìrì dɛ féye ɓəsù,[],,[],,False,Mundu.htm,False,,1
mund1326-23-1,,mund1326,23,tèkpè bìrì dɛ féye bata,tèkpè bìrì dɛ féye bata,[],,[],,False,Mundu.htm,False,,1
mund1326-24-1,,mund1326,24,tèkpè bìrì dɛ féye bala,tèkpè bìrì dɛ féye bala,[],,[],,False,Mundu.htm,False,,1
mund1326-25-1,,mund1326,25,tèkpè bìrì dɛ féye ɓúruve,tèkpè bìrì dɛ féye ɓúruve,[],,[],,False,Mundu.htm,False,,1
mund1326-26-1,,mund1326,26,tèkpè bìrì dɛ féye màɗìyà,tèkpè bìrì dɛ féye màɗìyà,[],,[],,False,Mundu.htm,False,,1
mund1326-27-1,,mund1326,27,tèkpè bìrì dɛ féye lɵ̀rɵzi,tèkpè bìrì dɛ féye lɵ̀rɵzi,[],,[],,False,Mundu.htm,False,,1
mund1326-28-1,,mund1326,28,tèkpè bìrì dɛ féye ɡ͡badzena,tèkpè bìrì dɛ féye ɡ͡badzena,[],,[],,False,Mundu.htm,False,,1
mund1326-29-1,,mund1326,29,tèkpè bìrì dɛ féye menewá,tèkpè bìrì dɛ féye menewá,[],,[],,False,Mundu.htm,False,,1
mund1326-30-1,,mund1326,30,tèkpè bìrì dɛ féye nzòkpa,tèkpè bìrì dɛ féye nzòkpa,[],,[],,False,Mundu.htm,False,,1
mund1326-40-1,,mund1326,40,tèkpè ɓəsù,tèkpè ɓəsù,[],( 20 x 2 ),[],,False,Mundu.htm,False,,1
mund1326-50-1,,mund1326,50,tèkpè ɓəsù dɛ féye nzòkpa,tèkpè ɓəsù dɛ féye nzòkpa,[],,[],,False,Mundu.htm,False,,1
mund1326-60-1,,mund1326,60,tèkpè bata,tèkpè bata,[],( 20 x 3 ),[],,False,Mundu.htm,False,,1
mund1326-70-1,,mund1326,70,tèkpè bata dɛ féye nzòkpa,tèkpè bata dɛ féye nzòkpa,[],,[],,False,Mundu.htm,False,,1
mund1326-80-1,,mund1326,80,tèkpè bala,tèkpè bala,[],( 20 x 4 ),[],,False,Mundu.htm,False,,1
mund1326-90-1,,mund1326,90,tèkpè bala dɛ féye nzòkpa,tèkpè bala dɛ féye nzòkpa,[],,[],,False,Mundu.htm,False,,1
mund1326-100-1,,mund1326,100,tèkpè ɓúruve,tèkpè ɓúruve,[],( 20 x 5 ),[],,False,Mundu.htm,False,,1
mund1326-200-1,,mund1326,200,tèkpè nzókpa,tèkpè nzókpa,[],,[],,False,Mundu.htm,False,,1
mund1326-200-2,,mund1326,200,miya,miya,[],,[],,False,Mundu.htm,False,,1
mund1326-200-3,,mund1326,200,káma moko,káma moko,[],,[],,False,Mundu.htm,False,,1
mund1326-1000-1,,mund1326,1000,elːfu,elːfu,[],(Arabic),[],,False,Mundu.htm,False,,1
mund1326-1000-2,,mund1326,1000,kutu moko,kutu moko,[],,[],,False,Mundu.htm,False,,1
mund1326-1000-3,,mund1326,1000,mibule,mibule,[],,[],,False,Mundu.htm,False,,1
mund1326-2000-1,,mund1326,2000,itneːn elifu,itneːn elifu,[],,[],,False,Mundu.htm,False,,1
mund1326-2000-2,,mund1326,2000,kutu mibule,kutu mibule,[],,[],,False,Mundu.htm,False,,1
