ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
phui1238-1-1,,phui1238,1,déò,déò,[],,[],,False,Phuie.htm,False,,1
phui1238-1-2,,phui1238,1,dùdúmí,dùdúmí,[],,[],,False,Phuie.htm,False,,1
phui1238-2-1,,phui1238,2,ʔɛ̃́ɛ̃́,ʔɛ̃́ɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-3-1,,phui1238,3,ʔárʊ̀,ʔárʊ̀,[],,[],,False,Phuie.htm,False,,1
phui1238-4-1,,phui1238,4,ànɛ̃́,ànɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-4-2,,phui1238,4,ànɛ́ŋ ?,ànɛ́ŋ ?,[],,[],,False,Phuie.htm,True,,1
phui1238-5-1,,phui1238,5,ànɔ̃́,ànɔ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-5-2,,phui1238,5,ànɔ́ŋ ?,ànɔ́ŋ ?,[],,[],,False,Phuie.htm,True,,1
phui1238-6-1,,phui1238,6,ànṍ déò,ànṍ déò,[],( 5 + 1 ),[],,False,Phuie.htm,False,,1
phui1238-7-1,,phui1238,7,ànṍ ʔɛ̃́ɛ̃́,ànṍ ʔɛ̃́ɛ̃́,[],( 5 + 2 ),[],,False,Phuie.htm,False,,1
phui1238-8-1,,phui1238,8,ànɔ̃́ ʔárʊ̀,ànɔ̃́ ʔárʊ̀,[],( 5 + 3 ),[],,False,Phuie.htm,False,,1
phui1238-9-1,,phui1238,9,ànóŋ ànɛ̃́,ànóŋ ànɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-9-2,,phui1238,9,fí dùdúmí tʰõ̀,fí dùdúmí tʰõ̀,[],,[],,False,Phuie.htm,False,,1
phui1238-10-1,,phui1238,10,fí,fí,[],,[],,False,Phuie.htm,False,,1
phui1238-11-1,,phui1238,11,fí déò,fí déò,[],,[],,False,Phuie.htm,False,,1
phui1238-12-1,,phui1238,12,fí ʔɛ̃́ɛ̃́,fí ʔɛ̃́ɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-13-1,,phui1238,13,fí ʔárʊ̀,fí ʔárʊ̀,[],,[],,False,Phuie.htm,False,,1
phui1238-14-1,,phui1238,14,fí ànɛ̃́,fí ànɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-15-1,,phui1238,15,fí ànɔ̃́,fí ànɔ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-16-1,,phui1238,16,fí ànṍ déò,fí ànṍ déò,[],,[],,False,Phuie.htm,False,,1
phui1238-17-1,,phui1238,17,fí ànṍ ʔɛ̃́ɛ̃́,fí ànṍ ʔɛ̃́ɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-18-1,,phui1238,18,fí ànɔ̃́ ʔárʊ̀,fí ànɔ̃́ ʔárʊ̀,[],,[],,False,Phuie.htm,False,,1
phui1238-19-1,,phui1238,19,fí ànóŋ ànɛ̃́,fí ànóŋ ànɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-19-2,,phui1238,19,mááɡí dùdúmí tʰõ̀,mááɡí dùdúmí tʰõ̀,[],,[],,False,Phuie.htm,False,,1
phui1238-20-1,,phui1238,20,mááɡí,mááɡí,[],,[],,False,Phuie.htm,False,,1
phui1238-21-1,,phui1238,21,mááɡí nì déò,mááɡí nì déò,[],,[],,False,Phuie.htm,False,,1
phui1238-22-1,,phui1238,22,mááɡí nì ʔɛ̃́ɛ̃́,mááɡí nì ʔɛ̃́ɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-23-1,,phui1238,23,mááɡí nì ʔárʊ̀,mááɡí nì ʔárʊ̀,[],,[],,False,Phuie.htm,False,,1
phui1238-24-1,,phui1238,24,mááɡí nì ànɛ̃́,mááɡí nì ànɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-25-1,,phui1238,25,mááɡí nì ànɔ̃́,mááɡí nì ànɔ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-26-1,,phui1238,26,mááɡí nì ànṍ déò,mááɡí nì ànṍ déò,[],,[],,False,Phuie.htm,False,,1
phui1238-27-1,,phui1238,27,mááɡí nì ànṍ ʔɛ̃́ɛ̃́,mááɡí nì ànṍ ʔɛ̃́ɛ̃́,[],,[],,False,Phuie.htm,False,,1
phui1238-28-1,,phui1238,28,mááɡí nì ànɔ̃́ ʔárʊ̀,mááɡí nì ànɔ̃́ ʔárʊ̀,[],,[],,False,Phuie.htm,False,,1
phui1238-29-1,,phui1238,29,mááɡí nì ànṍ ànɛ́,mááɡí nì ànṍ ànɛ́,[],,[],,False,Phuie.htm,False,,1
phui1238-30-1,,phui1238,30,mááɡí nì fí,mááɡí nì fí,[],,[],,False,Phuie.htm,False,,1
