ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
pero1241-1-1-1,,pero1241-1,1,ɗók,ɗók,[],,[],,False,False,,1
pero1241-1-2-1,,pero1241-1,2,bélòw,bélòw,[],,[],,False,False,,1
pero1241-1-3-1,,pero1241-1,3,ɡ͡bónòŋ,ɡ͡bónòŋ,[],,[],,False,False,,1
pero1241-1-4-1,,pero1241-1,4,béeɗòw,béeɗòw,[],,[],,False,False,,1
pero1241-1-5-1,,pero1241-1,5,púat,púat,[],,[],,False,False,,1
pero1241-1-5-2,,pero1241-1,5,fwát,fwát,[],,[],,False,False,,1
pero1241-1-6-1,,pero1241-1,6,páttira múndi,páttira múndi,[],,[],,False,False,,1
pero1241-1-7-1,,pero1241-1,7,páttira bélòw,páttira bélòw,[],,[],,False,False,,1
pero1241-1-8-1,,pero1241-1,8,bídìdow,bídìdow,[],,[],,False,False,,1
pero1241-1-9-1,,pero1241-1,9,kómpòy,kómpòy,[],,[],,False,False,,1
pero1241-1-9-2,,pero1241-1,9,kómvòy,kómvòy,[],,[],,False,False,,1
pero1241-1-10-1,,pero1241-1,10,kó,kó,[],,[],,False,False,,1
pero1241-1-10-2,,pero1241-1,10,k͡púmmò,k͡púmmò,[],,[],,False,False,,1
pero1241-1-11-1,,pero1241-1,11,àré ɗòk,àré ɗòk,[],,[],,False,False,,1
pero1241-1-12-1,,pero1241-1,12,àré bélów,àré bélów,[],,[],,False,False,,1
pero1241-1-13-1,,pero1241-1,13,àré ɡ͡bónòŋ,àré ɡ͡bónòŋ,[],,[],,False,False,,1
pero1241-1-14-1,,pero1241-1,14,àré béeɗòw,àré béeɗòw,[],,[],,False,False,,1
pero1241-1-15-1,,pero1241-1,15,àré fwát,àré fwát,[],,[],,False,False,,1
pero1241-1-16-1,,pero1241-1,16,àré páttira múndi,àré páttira múndi,[],,[],,False,False,,1
pero1241-1-17-1,,pero1241-1,17,àré páttira bélòw,àré páttira bélòw,[],,[],,False,False,,1
pero1241-1-18-1,,pero1241-1,18,àré bídìdow,àré bídìdow,[],,[],,False,False,,1
pero1241-1-19-1,,pero1241-1,19,àré kómpòy,àré kómpòy,[],,[],,False,False,,1
pero1241-1-19-2,,pero1241-1,19,kómvòy,kómvòy,[],,[],,False,False,,1
pero1241-1-20-1,,pero1241-1,20,kó bélòw,kó bélòw,[],,[],,False,False,,1
pero1241-1-21-1,,pero1241-1,21,kó bélòw kàn ɗòk,kó bélòw kàn ɗòk,[],,[],,False,False,,1
pero1241-1-22-1,,pero1241-1,22,kó bélòw kàn bélòw,kó bélòw kàn bélòw,[],,[],,False,False,,1
pero1241-1-23-1,,pero1241-1,23,kó bélòw kàn ɡ͡bónòŋ,kó bélòw kàn ɡ͡bónòŋ,[],,[],,False,False,,1
pero1241-1-24-1,,pero1241-1,24,kó bélòw kàn béeɗòw,kó bélòw kàn béeɗòw,[],,[],,False,False,,1
pero1241-1-25-1,,pero1241-1,25,kó bélòw kàn fwát,kó bélòw kàn fwát,[],,[],,False,False,,1
pero1241-1-26-1,,pero1241-1,26,kó bélòw kàn páttira múndi,kó bélòw kàn páttira múndi,[],,[],,False,False,,1
pero1241-1-27-1,,pero1241-1,27,kó bélòw kàn páttira bélòw,kó bélòw kàn páttira bélòw,[],,[],,False,False,,1
pero1241-1-28-1,,pero1241-1,28,kó bélòw kàn bídìdow,kó bélòw kàn bídìdow,[],,[],,False,False,,1
pero1241-1-29-1,,pero1241-1,29,kó bélòw kàn kómpòy,kó bélòw kàn kómpòy,[],,[],,False,False,,1
pero1241-1-29-2,,pero1241-1,29,kómvòy,kómvòy,[],,[],,False,False,,1
pero1241-1-30-1,,pero1241-1,30,yàjì ɡ͡bónòŋ,yàjì ɡ͡bónòŋ,[],,[],,False,False,,1
pero1241-1-40-1,,pero1241-1,40,yàjì béeɗòw,yàjì béeɗòw,[],,[],,False,False,,1
pero1241-1-50-1,,pero1241-1,50,yàjì fwát,yàjì fwát,[],,[],,False,False,,1
pero1241-1-60-1,,pero1241-1,60,yàjì páttira múndi,yàjì páttira múndi,[],,[],,False,False,,1
pero1241-1-70-1,,pero1241-1,70,yàjì páttira bélòw,yàjì páttira bélòw,[],,[],,False,False,,1
pero1241-1-80-1,,pero1241-1,80,yàjì bídìdow,yàjì bídìdow,[],,[],,False,False,,1
pero1241-1-90-1,,pero1241-1,90,yàjì kómpòy,yàjì kómpòy,[],,[],,False,False,,1
pero1241-1-90-2,,pero1241-1,90,kómvòy,kómvòy,[],,[],,False,False,,1
pero1241-1-100-1,,pero1241-1,100,cíɡ,cíɡ,[],,[],,False,False,,1
pero1241-1-100-2,,pero1241-1,100,ʃìk,ʃìk,[],,[],,False,False,,1
pero1241-1-200-1,,pero1241-1,200,cíɡ bélów,cíɡ bélów,[],,[],,False,False,,1
pero1241-1-200-2,,pero1241-1,200,ʃìk bélów,ʃìk bélów,[],,[],,False,False,,1
pero1241-1-1000-1,,pero1241-1,1000,cík pómmò,cík pómmò,[],,[],,False,False,,1
pero1241-1-1000-2,,pero1241-1,1000,dik,dik,[],,[],,False,False,,1
pero1241-1-2000-1,,pero1241-1,2000,dik bélów,dik bélów,[],,[],,False,False,,1
