ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
arap1274-1-1-1,,arap1274-1,1,tʃɛ́ɛ́sɛj,tʃɛ́ɛ́sɛj,[],,[],,False,False,,1
arap1274-1-2-1,,arap1274-1,2,nɪ́ɪ́s,nɪ́ɪ́s,[],,[],,False,False,,1
arap1274-1-3-1,,arap1274-1,3,nɛ́ɛ́sɔ,nɛ́ɛ́sɔ,[],,[],,False,False,,1
arap1274-1-4-1,,arap1274-1,4,jɛ́ɪn,jɛ́ɪn,[],,[],,False,False,,1
arap1274-1-5-1,,arap1274-1,5,jɔɔθɔ́n,jɔɔθɔ́n,[],,[],,False,False,,1
arap1274-1-6-1,,arap1274-1,6,nɪ́ɪ́tɔɔtɔx,nɪ́ɪ́tɔɔtɔx,[],,[],,False,False,,1
arap1274-1-7-1,,arap1274-1,7,nɪ́ɪ́sɔɔtɔx,nɪ́ɪ́sɔɔtɔx,[],,[],,False,False,,1
arap1274-1-8-1,,arap1274-1,8,nɛ́ɛ́sɔɔtɔx,nɛ́ɛ́sɔɔtɔx,[],,[],,False,False,,1
arap1274-1-9-1,,arap1274-1,9,θɪ́ʔɔtɔx,θɪ́ʔɔtɔx,[],,[],,False,False,,1
arap1274-1-10-1,,arap1274-1,10,bɛ́tɛɛtɔx,bɛ́tɛɛtɔx,[],,[],,False,False,,1
arap1274-1-11-1,,arap1274-1,11,(bɛ́tɛɛtɔx) tʃɛ́ɛ́sɛɪnɪ́ʔ,(bɛ́tɛɛtɔx) tʃɛ́ɛ́sɛɪnɪ́ʔ,[],,[],,False,False,,1
arap1274-1-12-1,,arap1274-1,12,(bɛ́tɛɛtɔx) nɪ́ɪ́sɪɪnɪ́ʔ,(bɛ́tɛɛtɔx) nɪ́ɪ́sɪɪnɪ́ʔ,[],,[],,False,False,,1
arap1274-1-13-1,,arap1274-1,13,(bɛ́tɛɛtɔx) nɛ́ɛ́sɪɪnɪ́ʔ,(bɛ́tɛɛtɔx) nɛ́ɛ́sɪɪnɪ́ʔ,[],,[],,False,False,,1
arap1274-1-14-1,,arap1274-1,14,(bɛ́tɛɛtɔx) jɛ́ɪnɪɪnɪ́ʔ,(bɛ́tɛɛtɔx) jɛ́ɪnɪɪnɪ́ʔ,[],,[],,False,False,,1
arap1274-1-15-1,,arap1274-1,15,(bɛ́tɛɛtɔx) jɔɔθɔ́nɪɪnɪ́ʔ,(bɛ́tɛɛtɔx) jɔɔθɔ́nɪɪnɪ́ʔ,[],,[],,False,False,,1
