ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
yuro1248-1-1-1,,yuro1248-1,1,kooraʼ,kooraʼ,[],,[],,False,False,,1
yuro1248-1-1-2,,yuro1248-1,1,koʼr,koʼr,[],,[],,False,False,,1
yuro1248-1-2-1,,yuro1248-1,2,naʼaʼn,naʼaʼn,[],,[],,False,False,,1
yuro1248-1-3-1,,yuro1248-1,3,nahkseʼn,nahkseʼn,[],,[],,False,False,,1
yuro1248-1-4-1,,yuro1248-1,4,toʼon-,toʼon-,[],,[],,False,False,,1
yuro1248-1-4-2,,yuro1248-1,4,coʼon-,coʼon-,[],,[],,False,False,,1
yuro1248-1-5-1,,yuro1248-1,5,meruh,meruh,[],,[],,False,False,,1
yuro1248-1-6-1,,yuro1248-1,6,kohcew,kohcew,[],,[],,False,False,,1
yuro1248-1-7-1,,yuro1248-1,7,crwrsikʼ,crwrsikʼ,[],,[],,False,False,,1
yuro1248-1-8-1,,yuro1248-1,8,knewetikʼ,knewetikʼ,[],,[],,False,False,,1
yuro1248-1-9-1,,yuro1248-1,9,krrmikʼ,krrmikʼ,[],,[],,False,False,,1
yuro1248-1-10-1,,yuro1248-1,10,wehlow-,wehlow-,[],,[],,False,False,,1
yuro1248-1-11-1,,yuro1248-1,11,wɹɬɹwɹʔ yɬ nima koˀr nima koˀr,wɹɬɹwɹʔ yɬ nima koˀr nima koˀr,[],,[],,False,False,,1
yuro1248-1-20-1,,yuro1248-1,20,naˀmi weɬowa,naˀmi weɬowa,[],,[],,False,False,,1
yuro1248-1-31-1,,yuro1248-1,31,nahksemi weɬowa nima kohtog,nahksemi weɬowa nima kohtog,[],,[],,False,False,,1
yuro1248-1-100-1,,yuro1248-1,100,weɬici wɹɬɹwɹyɬ,weɬici wɹɬɹwɹyɬ,[],,[],,False,False,,1
yuro1248-1-600-1,,yuro1248-1,600,kohcew wɹɬɹwɹyɬ,kohcew wɹɬɹwɹyɬ,[],,[],,False,False,,1
