ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
awin1248-2-1-1,,awin1248-2,1,mɔh,mɔh,[],,['chan2019'],,False,False,,2
awin1248-2-2-1,,awin1248-2,2,pəːə,pəːə,[],,['chan2019'],,False,False,,2
awin1248-2-3-1,,awin1248-2,3,teːre,teːre,[],,['chan2019'],,False,False,,2
awin1248-2-4-1,,awin1248-2,4,kwa,kwa,[],,['chan2019'],,False,False,,2
awin1248-2-5-1,,awin1248-2,5,taa,taa,[],,['chan2019'],,False,False,,2
awin1248-2-6-1,,awin1248-2,6,ntuɡu,ntuɡu,[],,['chan2019'],,False,False,,2
awin1248-2-7-1,,awin1248-2,7,saːmbe,saːmbe,[],,['chan2019'],,False,False,,2
awin1248-2-8-1,,awin1248-2,8,nɨfeːme,nɨfeːme,[],,['chan2019'],,False,False,,2
awin1248-2-9-1,,awin1248-2,9,nɨpueh,nɨpueh,[],,['chan2019'],,False,False,,2
awin1248-2-10-1,,awin1248-2,10,nɨɡeːme,nɨɡeːme,[],,['chan2019'],,False,False,,2
awin1248-2-11-1,,awin1248-2,11,ntsɔp mɔh,ntsɔp mɔh,[],,['chan2019'],,False,False,,2
awin1248-2-12-1,,awin1248-2,12,ntsɔp pəːə,ntsɔp pəːə,[],,['chan2019'],,False,False,,2
awin1248-2-13-1,,awin1248-2,13,ntsɔp teːre,ntsɔp teːre,[],,['chan2019'],,False,False,,2
awin1248-2-14-1,,awin1248-2,14,ntsɔp nɨkwa,ntsɔp nɨkwa,[],,['chan2019'],,False,False,,2
awin1248-2-15-1,,awin1248-2,15,ntsɔp taa,ntsɔp taa,[],,['chan2019'],,False,False,,2
awin1248-2-16-1,,awin1248-2,16,ntsɔp ntuɡu,ntsɔp ntuɡu,[],,['chan2019'],,False,False,,2
awin1248-2-17-1,,awin1248-2,17,ntsɔp saːmbe,ntsɔp saːmbe,[],,['chan2019'],,False,False,,2
awin1248-2-18-1,,awin1248-2,18,ntsɔp nɨfeːme,ntsɔp nɨfeːme,[],,['chan2019'],,False,False,,2
awin1248-2-19-1,,awin1248-2,19,ntsɔp nɨpueh,ntsɔp nɨpueh,[],,['chan2019'],,False,False,,2
awin1248-2-20-1,,awin1248-2,20,meɡemembe,meɡemembe,[],,['chan2019'],,False,False,,2
awin1248-2-21-1,,awin1248-2,21,meɡemembe nɨ pu mɔh,meɡemembe nɨ pu mɔh,[],,['chan2019'],,False,False,,2
awin1248-2-22-1,,awin1248-2,22,meɡemembe nɨ pu pəːə,meɡemembe nɨ pu pəːə,[],,['chan2019'],,False,False,,2
awin1248-2-23-1,,awin1248-2,23,meɡemembe nɨ pu teːre,meɡemembe nɨ pu teːre,[],,['chan2019'],,False,False,,2
awin1248-2-24-1,,awin1248-2,24,meɡemembe nɨ pu nɨkwa,meɡemembe nɨ pu nɨkwa,[],,['chan2019'],,False,False,,2
awin1248-2-25-1,,awin1248-2,25,meɡemembe nɨ pu taa,meɡemembe nɨ pu taa,[],,['chan2019'],,False,False,,2
awin1248-2-26-1,,awin1248-2,26,meɡemembe nɨ pu ntuɡu,meɡemembe nɨ pu ntuɡu,[],,['chan2019'],,False,False,,2
awin1248-2-27-1,,awin1248-2,27,meɡemembe nɨ pu saːmbe,meɡemembe nɨ pu saːmbe,[],,['chan2019'],,False,False,,2
awin1248-2-28-1,,awin1248-2,28,meɡemembe nɨ pu nɨfeːme,meɡemembe nɨ pu nɨfeːme,[],,['chan2019'],,False,False,,2
awin1248-2-29-1,,awin1248-2,29,meɡemembe nɨ pu nɨpueh,meɡemembe nɨ pu nɨpueh,[],,['chan2019'],,False,False,,2
awin1248-2-30-1,,awin1248-2,30,meɡememteːre,meɡememteːre,[],,['chan2019'],,False,False,,2
awin1248-2-40-1,,awin1248-2,40,meɡememnɨkwa,meɡememnɨkwa,[],,['chan2019'],,False,False,,2
awin1248-2-50-1,,awin1248-2,50,meɡememtaa,meɡememtaa,[],,['chan2019'],,False,False,,2
awin1248-2-60-1,,awin1248-2,60,meɡememntuɡu,meɡememntuɡu,[],,['chan2019'],,False,False,,2
awin1248-2-70-1,,awin1248-2,70,meɡememsaːmbe,meɡememsaːmbe,[],,['chan2019'],,False,False,,2
awin1248-2-80-1,,awin1248-2,80,meɡememnɨfeːme,meɡememnɨfeːme,[],,['chan2019'],,False,False,,2
awin1248-2-90-1,,awin1248-2,90,meɡememnɨpueh,meɡememnɨpueh,[],,['chan2019'],,False,False,,2
awin1248-2-100-1,,awin1248-2,100,tah mkère,tah mkère,[],,['chan2019'],,False,False,,2
awin1248-2-200-1,,awin1248-2,200,mket pəːə,mket pəːə,[],,['chan2019'],,False,False,,2
awin1248-2-1000-1,,awin1248-2,1000,tah-ntʃoure,tah-ntʃoure,[],,['chan2019'],,False,False,,2
awin1248-2-2000-1,,awin1248-2,2000,ntʃoure pəːə,ntʃoure pəːə,[],,['chan2019'],,False,False,,2
