ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
bafa1249-1-1-1,,bafa1249-1,1,jimuʔu,jimuʔu,[],,['chan2019'],,False,False,,1
bafa1249-1-1-2,,bafa1249-1,1,muʔu³⁵,muʔu³⁵,[],,['chan2019'],,False,False,,1
bafa1249-1-1-3,,bafa1249-1,1,tiʔæ⁵³,tiʔæ⁵³,[],,['chan2019'],,False,False,,1
bafa1249-1-2-1,,bafa1249-1,2,jipɑɑ,jipɑɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-2-2,,bafa1249-1,2,piæ³⁵,piæ³⁵,[],,['chan2019'],,False,False,,1
bafa1249-1-3-1,,bafa1249-1,3,jitii,jitii,[],,['chan2019'],,False,False,,1
bafa1249-1-3-2,,bafa1249-1,3,tii³⁵,tii³⁵,[],,['chan2019'],,False,False,,1
bafa1249-1-4-1,,bafa1249-1,4,jikwə,jikwə,[],,['chan2019'],,False,False,,1
bafa1249-1-4-2,,bafa1249-1,4,kwə³,kwə³,[],,['chan2019'],,False,False,,1
bafa1249-1-5-1,,bafa1249-1,5,jintɑ̃ĩ⁵³,jintɑ̃ĩ⁵³,[],,['chan2019'],,False,False,,1
bafa1249-1-5-2,,bafa1249-1,5,tɑ̃ĩ⁵³,tɑ̃ĩ⁵³,[],,['chan2019'],,False,False,,1
bafa1249-1-6-1,,bafa1249-1,6,jintou,jintou,[],,['chan2019'],,False,False,,1
bafa1249-1-6-2,,bafa1249-1,6,ntou⁵,ntou⁵,[],,['chan2019'],,False,False,,1
bafa1249-1-7-1,,bafa1249-1,7,jikwætæ,jikwætæ,[],,['chan2019'],,False,False,,1
bafa1249-1-7-2,,bafa1249-1,7,kwætæ³⁵,kwætæ³⁵,[],,['chan2019'],,False,False,,1
bafa1249-1-8-1,,bafa1249-1,8,jifũɔ̃,jifũɔ̃,[],,['chan2019'],,False,False,,1
bafa1249-1-8-2,,bafa1249-1,8,fũɔ̃⁵,fũɔ̃⁵,[],,['chan2019'],,False,False,,1
bafa1249-1-9-1,,bafa1249-1,9,jipuʔu,jipuʔu,[],,['chan2019'],,False,False,,1
bafa1249-1-9-2,,bafa1249-1,9,puʔu³⁵,puʔu³⁵,[],,['chan2019'],,False,False,,1
bafa1249-1-10-1,,bafa1249-1,10,jiɣwũ,jiɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-10-2,,bafa1249-1,10,ɣwũ⁵³,ɣwũ⁵³,[],,['chan2019'],,False,False,,1
bafa1249-1-11-1,,bafa1249-1,11,tʃɥe jimuʔ,tʃɥe jimuʔ,[],,['chan2019'],,False,False,,1
bafa1249-1-11-2,,bafa1249-1,11,tiʔæ ntʃwɑ,tiʔæ ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-12-1,,bafa1249-1,12,piæ ntʃwɑ,piæ ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-13-1,,bafa1249-1,13,tii ntʃwɑ,tii ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-14-1,,bafa1249-1,14,kwə ntʃwɑ,kwə ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-15-1,,bafa1249-1,15,tɑ̃ĩ ntʃwɑ,tɑ̃ĩ ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-16-1,,bafa1249-1,16,ntou ntʃwɑ,ntou ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-17-1,,bafa1249-1,17,kwætæ ntʃwɑ,kwætæ ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-18-1,,bafa1249-1,18,fũɔ̃ ntʃwɑ,fũɔ̃ ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-19-1,,bafa1249-1,19,puʔu ntʃwɑ,puʔu ntʃwɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-20-1,,bafa1249-1,20,piæ ɣwũ,piæ ɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-21-1,,bafa1249-1,21,piæ ɣwũ ŋɡə jimuʔu,piæ ɣwũ ŋɡə jimuʔu,[],,['chan2019'],,False,False,,1
bafa1249-1-22-1,,bafa1249-1,22,piæ ɣwũ ŋɡə jipɑɑ,piæ ɣwũ ŋɡə jipɑɑ,[],,['chan2019'],,False,False,,1
bafa1249-1-23-1,,bafa1249-1,23,piæ ɣwũ ŋɡə jitii,piæ ɣwũ ŋɡə jitii,[],,['chan2019'],,False,False,,1
bafa1249-1-24-1,,bafa1249-1,24,piæ ɣwũ ŋɡə jikwə,piæ ɣwũ ŋɡə jikwə,[],,['chan2019'],,False,False,,1
bafa1249-1-25-1,,bafa1249-1,25,piæ ɣwũ ŋɡə jintɑ̃ĩ,piæ ɣwũ ŋɡə jintɑ̃ĩ,[],,['chan2019'],,False,False,,1
bafa1249-1-26-1,,bafa1249-1,26,piæ ɣwũ ŋɡə jintou,piæ ɣwũ ŋɡə jintou,[],,['chan2019'],,False,False,,1
bafa1249-1-27-1,,bafa1249-1,27,piæ ɣwũ ŋɡə jikwætæ,piæ ɣwũ ŋɡə jikwætæ,[],,['chan2019'],,False,False,,1
bafa1249-1-28-1,,bafa1249-1,28,piæ ɣwũ ŋɡə jifũɔ̃,piæ ɣwũ ŋɡə jifũɔ̃,[],,['chan2019'],,False,False,,1
bafa1249-1-29-1,,bafa1249-1,29,piæ ɣwũ ŋɡə jipuʔu,piæ ɣwũ ŋɡə jipuʔu,[],,['chan2019'],,False,False,,1
bafa1249-1-30-1,,bafa1249-1,30,tii ɣwũ,tii ɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-40-1,,bafa1249-1,40,kwə ɣwũ,kwə ɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-50-1,,bafa1249-1,50,tɑ̃ĩ ɣwũ,tɑ̃ĩ ɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-60-1,,bafa1249-1,60,ntou ɣwũ,ntou ɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-70-1,,bafa1249-1,70,kwætæ ɣwũ,kwætæ ɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-80-1,,bafa1249-1,80,fũɔ̃ ɣwũ,fũɔ̃ ɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-90-1,,bafa1249-1,90,puʔu ɣwũ,puʔu ɣwũ,[],,['chan2019'],,False,False,,1
bafa1249-1-100-1,,bafa1249-1,100,tiʔæ ŋkɯɯ,tiʔæ ŋkɯɯ,[],,['chan2019'],,False,False,,1
bafa1249-1-200-1,,bafa1249-1,200,pia ŋkɯɯ,pia ŋkɯɯ,[],,['chan2019'],,False,False,,1
bafa1249-1-1000-1,,bafa1249-1,1000,tiʔæ ŋkɛ̃ɛ̃,tiʔæ ŋkɛ̃ɛ̃,[],,['chan2019'],,False,False,,1
bafa1249-1-2000-1,,bafa1249-1,2000,piæ ŋkɛ̃ɛ̃,piæ ŋkɛ̃ɛ̃,[],,['chan2019'],,False,False,,1
