ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
jjuu1238-1-1-1,,jjuu1238-1,1,yiruŋ,yiruŋ,[],,[],,False,False,,1
jjuu1238-1-1-2,,jjuu1238-1,1,yirəŋ,yirəŋ,[],,[],,False,False,,1
jjuu1238-1-2-1,,jjuu1238-1,2,-hwa,-hwa,[],,[],,False,False,,1
jjuu1238-1-3-1,,jjuu1238-1,3,-tat,-tat,[],,[],,False,False,,1
jjuu1238-1-4-1,,jjuu1238-1,4,-nai,-nai,[],,[],,False,False,,1
jjuu1238-1-5-1,,jjuu1238-1,5,-pfwɔn,-pfwɔn,[],,[],,False,False,,1
jjuu1238-1-6-1,,jjuu1238-1,6,kətat,kətat,[],( 2 x 3 ),[],,False,False,,1
jjuu1238-1-7-1,,jjuu1238-1,7,tiːruŋ,tiːruŋ,[],,[],,False,False,,1
jjuu1238-1-8-1,,jjuu1238-1,8,naimʊwak,naimʊwak,[],,[],,False,False,,1
jjuu1238-1-9-1,,jjuu1238-1,9,kumʊwiːruŋ,kumʊwiːruŋ,[],,[],,False,False,,1
jjuu1238-1-10-1,,jjuu1238-1,10,swak,swak,[],,[],,False,False,,1
jjuu1238-1-11-1,,jjuu1238-1,11,swak ba yiruŋ,swak ba yiruŋ,[],,[],,False,False,,1
jjuu1238-1-12-1,,jjuu1238-1,12,swak ba hwa,swak ba hwa,[],,[],,False,False,,1
jjuu1238-1-13-1,,jjuu1238-1,13,swak ba tat,swak ba tat,[],,[],,False,False,,1
jjuu1238-1-14-1,,jjuu1238-1,14,swak ba nai,swak ba nai,[],,[],,False,False,,1
jjuu1238-1-15-1,,jjuu1238-1,15,swak ba pfwɔn,swak ba pfwɔn,[],,[],,False,False,,1
jjuu1238-1-16-1,,jjuu1238-1,16,swak ba kətat,swak ba kətat,[],,[],,False,False,,1
jjuu1238-1-17-1,,jjuu1238-1,17,swak ba tiːruŋ,swak ba tiːruŋ,[],,[],,False,False,,1
jjuu1238-1-18-1,,jjuu1238-1,18,swak ba naimʊwak,swak ba naimʊwak,[],,[],,False,False,,1
jjuu1238-1-19-1,,jjuu1238-1,19,swak ba kumʊwiːruŋ,swak ba kumʊwiːruŋ,[],,[],,False,False,,1
jjuu1238-1-20-1,,jjuu1238-1,20,swak hwa,swak hwa,[],,[],,False,False,,1
jjuu1238-1-21-1,,jjuu1238-1,21,swak hwa ba yiruŋ,swak hwa ba yiruŋ,[],,[],,False,False,,1
jjuu1238-1-22-1,,jjuu1238-1,22,swak hwa ba hwa,swak hwa ba hwa,[],,[],,False,False,,1
jjuu1238-1-23-1,,jjuu1238-1,23,swak hwa ba tat,swak hwa ba tat,[],,[],,False,False,,1
jjuu1238-1-24-1,,jjuu1238-1,24,swak hwa ba nai,swak hwa ba nai,[],,[],,False,False,,1
jjuu1238-1-25-1,,jjuu1238-1,25,swak hwa ba pfwɔn,swak hwa ba pfwɔn,[],,[],,False,False,,1
jjuu1238-1-26-1,,jjuu1238-1,26,swak hwa ba kətat,swak hwa ba kətat,[],,[],,False,False,,1
jjuu1238-1-27-1,,jjuu1238-1,27,swak hwa ba tiːruŋ,swak hwa ba tiːruŋ,[],,[],,False,False,,1
jjuu1238-1-28-1,,jjuu1238-1,28,swak hwa ba naimʊwak,swak hwa ba naimʊwak,[],,[],,False,False,,1
jjuu1238-1-29-1,,jjuu1238-1,29,swak hwa ba kumʊwiːruŋ,swak hwa ba kumʊwiːruŋ,[],,[],,False,False,,1
jjuu1238-1-30-1,,jjuu1238-1,30,swak tat,swak tat,[],,[],,False,False,,1
jjuu1238-1-40-1,,jjuu1238-1,40,swak nai,swak nai,[],,[],,False,False,,1
jjuu1238-1-50-1,,jjuu1238-1,50,swak pfwɔn,swak pfwɔn,[],,[],,False,False,,1
jjuu1238-1-60-1,,jjuu1238-1,60,swak kətat,swak kətat,[],,[],,False,False,,1
jjuu1238-1-70-1,,jjuu1238-1,70,swak tiːruŋ,swak tiːruŋ,[],,[],,False,False,,1
jjuu1238-1-80-1,,jjuu1238-1,80,swak naimʊwak,swak naimʊwak,[],,[],,False,False,,1
jjuu1238-1-90-1,,jjuu1238-1,90,swak kumʊwiːruŋ,swak kumʊwiːruŋ,[],,[],,False,False,,1
jjuu1238-1-100-1,,jjuu1238-1,100,tʃìí,tʃìí,[],,[],,False,False,,1
jjuu1238-1-200-1,,jjuu1238-1,200,tʃìí swa,tʃìí swa,[],( 100 x 2 ),[],,False,False,,1
jjuu1238-1-1000-1,,jjuu1238-1,1000,tʃìí swak,tʃìí swak,[],( 100 x 10 ),[],,False,False,,1
jjuu1238-1-2000-1,,jjuu1238-1,2000,tʃìí swak hwa,tʃìí swak hwa,[],( 100 x 10 x 2 ),[],,False,False,,1
