ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
kapy1238-1-1,,kapy1238,1,ūŋɡēmé,ūŋɡēmé,[],,[],,False,Kapya.htm,False,,1
kapy1238-2-1,,kapy1238,2,īfɡɔ̀,īfɡɔ̀,[],,[],,False,Kapya.htm,False,,1
kapy1238-3-1,,kapy1238,3,ītà,ītà,[],,[],,False,Kapya.htm,False,,1
kapy1238-4-1,,kapy1238,4,īɲɨɪ̀,īɲɨɪ̀,[],,[],,False,Kapya.htm,False,,1
kapy1238-5-1,,kapy1238,5,ìtú,ìtú,[],,[],,False,Kapya.htm,False,,1
kapy1238-6-1,,kapy1238,6,tú ŋɡì,tú ŋɡì,[],( 5+ 1 ),[],,False,Kapya.htm,False,,1
kapy1238-7-1,,kapy1238,7,tú ófɡõ,tú ófɡõ,[],( 5+ 2 ),[],,False,Kapya.htm,False,,1
kapy1238-8-1,,kapy1238,8,tú àtà,tú àtà,[],( 5+ 3 ),[],,False,Kapya.htm,False,,1
kapy1238-9-1,,kapy1238,9,tú īɲɨɪ̀,tú īɲɨɪ̀,[],( 5+ 4 ),[],,False,Kapya.htm,False,,1
kapy1238-10-1,,kapy1238,10,èbʲí,èbʲí,[],,[],,False,Kapya.htm,False,,1
kapy1238-10-2,,kapy1238,10,èbzí,èbzí,[],,[],,False,Kapya.htm,False,,1
kapy1238-11-1,,kapy1238,11,11 to 19 ??,11 to 19 ??,[],,[],,False,Kapya.htm,True,,1
kapy1238-20-1,,kapy1238,20,rùkó,rùkó,[],,[],,False,Kapya.htm,False,,1
kapy1238-21-1,,kapy1238,21,21 to 29 ??,21 to 29 ??,[],,[],,False,Kapya.htm,True,,1
kapy1238-30-1,,kapy1238,30,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-40-1,,kapy1238,40,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-50-1,,kapy1238,50,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-60-1,,kapy1238,60,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-70-1,,kapy1238,70,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-80-1,,kapy1238,80,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-90-1,,kapy1238,90,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-100-1,,kapy1238,100,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-200-1,,kapy1238,200,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-1000-1,,kapy1238,1000,??,??,[],,[],,False,Kapya.htm,True,,1
kapy1238-2000-1,,kapy1238,2000,??,??,[],,[],,False,Kapya.htm,True,,1
