ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
mamb1296-1-1,,mamb1296,1,tʃòóŋá,tʃòóŋá,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-1-2,,mamb1296,1,onɡa (chonɡa) = onɡa,onɡa (chonɡa) = onɡa,[],(tʃonɡa) ?,[],,False,Mambwe-Lungu.htm,True,,2
mamb1296-2-1,,mamb1296,2,ví-ílí,ví-ílí,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-2-2,,mamb1296,2,ili,ili,[],(vili),[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-3-1,,mamb1296,3,ví-tátù,ví-tátù,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-3-2,,mamb1296,3,itatu (vitatu) = itatʊ ?,itatu (vitatu) = itatʊ ?,[],,[],,False,Mambwe-Lungu.htm,True,,2
mamb1296-4-1,,mamb1296,4,ví-nì,ví-nì,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-4-2,,mamb1296,4,ine (vine) = ínɛ,ine (vine) = ínɛ,[],(vínɛ) ?,[],,False,Mambwe-Lungu.htm,True,,2
mamb1296-5-1,,mamb1296,5,ví-sáánò,ví-sáánò,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-5-2,,mamb1296,5,isano (visano) = isâno ?,isano (visano) = isâno ?,[],,[],,False,Mambwe-Lungu.htm,True,,2
mamb1296-6-1,,mamb1296,6,mùtààndá,mùtààndá,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-6-2,,mamb1296,6,mutanda,mutanda,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-7-1,,mamb1296,7,tʃíníímbálí,tʃíníímbálí,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-7-2,,mamb1296,7,cinimbali = tʃinimbali ?,cinimbali = tʃinimbali ?,[],,[],,False,Mambwe-Lungu.htm,True,,2
mamb1296-8-1,,mamb1296,8,tʃínáánì,tʃínáánì,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-8-2,,mamb1296,8,fundimbali,fundimbali,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-9-1,,mamb1296,9,fúúndíìmbàlí,fúúndíìmbàlí,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-9-2,,mamb1296,9,vinimbali,vinimbali,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-10-1,,mamb1296,10,í-kúmì,í-kúmì,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-10-2,,mamb1296,10,ikúmi,ikúmi,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-11-1,,mamb1296,11,í-kúmì nà tʃòóŋá,í-kúmì nà tʃòóŋá,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-11-2,,mamb1296,11,ikúmi na ɪmwɪ,ikúmi na ɪmwɪ,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-12-1,,mamb1296,12,í-kúmì nà ví-ílí,í-kúmì nà ví-ílí,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-12-2,,mamb1296,12,ikúmi na ivɪɾi,ikúmi na ivɪɾi,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-13-1,,mamb1296,13,í-kúmì nà ví-tátù,í-kúmì nà ví-tátù,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-13-2,,mamb1296,13,ikúmi na itatʊ,ikúmi na itatʊ,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-14-1,,mamb1296,14,í-kúmì nà ví-nì,í-kúmì nà ví-nì,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-14-2,,mamb1296,14,ikúmi na ínɛ,ikúmi na ínɛ,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-15-1,,mamb1296,15,í-kúmì nà ví-sáánò,í-kúmì nà ví-sáánò,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-15-2,,mamb1296,15,ikúmi na isâːnɔ,ikúmi na isâːnɔ,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-16-1,,mamb1296,16,í-kúmì nà mùtààndá,í-kúmì nà mùtààndá,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-16-2,,mamb1296,16,ikúmi na isásatʊ,ikúmi na isásatʊ,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-17-1,,mamb1296,17,í-kúmì nà tʃíníímbálì,í-kúmì nà tʃíníímbálì,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-17-2,,mamb1296,17,ikúmi na mʊfʊ́ŋɡatɪ,ikúmi na mʊfʊ́ŋɡatɪ,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-18-1,,mamb1296,18,í-kúmì nà tʃínáánì,í-kúmì nà tʃínáánì,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-18-2,,mamb1296,18,ikúmi na inâːnɛ,ikúmi na inâːnɛ,[],,[],,False,Mambwe-Lungu.htm,False,,2
mamb1296-19-1,,mamb1296,19,í-kúmì nà fúúndíìmbàlí,í-kúmì nà fúúndíìmbàlí,[],,[],,False,Mambwe-Lungu.htm,False,,1
mamb1296-19-2,,mamb1296,19,ikúmi na kɛːnda,ikúmi na kɛːnda,[],,[],,False,Mambwe-Lungu.htm,False,,2
