ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mbow1246-1-1-1,,mbow1246-1,1,kamweya,kamweya,[],,[],,False,False,,1
mbow1246-1-2-1,,mbow1246-1,2,tuili,tuili,[],,[],,False,False,,1
mbow1246-1-3-1,,mbow1246-1,3,tuñatu,tuñatu,[],,[],,False,False,,1
mbow1246-1-4-1,,mbow1246-1,4,tune,tune,[],,[],,False,False,,1
mbow1246-1-5-1,,mbow1246-1,5,mutanu,mutanu,[],,[],,False,False,,1
mbow1246-1-6-1,,mbow1246-1,6,mutanu ni kamweya,mutanu ni kamweya,[],( 5 + 1 ),[],,False,False,,1
mbow1246-1-7-1,,mbow1246-1,7,mutanu ni tuili,mutanu ni tuili,[],( 5 + 2 ),[],,False,False,,1
mbow1246-1-8-1,,mbow1246-1,8,mutanu ni tuñatu,mutanu ni tuñatu,[],( 5 + 3 ),[],,False,False,,1
mbow1246-1-9-1,,mbow1246-1,9,mutanu ni tune,mutanu ni tune,[],( 5 + 4 ),[],,False,False,,1
mbow1246-1-10-1,,mbow1246-1,10,liʃumi,liʃumi,[],,[],,False,False,,1
mbow1246-1-11-1,,mbow1246-1,11,liʃumi ni kamweya,liʃumi ni kamweya,[],,[],,False,False,,1
mbow1246-1-12-1,,mbow1246-1,12,liʃumi ni tuili,liʃumi ni tuili,[],,[],,False,False,,1
mbow1246-1-13-1,,mbow1246-1,13,liʃumi ni tuñatu,liʃumi ni tuñatu,[],,[],,False,False,,1
mbow1246-1-14-1,,mbow1246-1,14,liʃumi ni tune,liʃumi ni tune,[],,[],,False,False,,1
mbow1246-1-15-1,,mbow1246-1,15,liʃumi ni mutanu,liʃumi ni mutanu,[],,[],,False,False,,1
mbow1246-1-16-1,,mbow1246-1,16,liʃumi ni mutanu ni kamweya,liʃumi ni mutanu ni kamweya,[],,[],,False,False,,1
mbow1246-1-17-1,,mbow1246-1,17,liʃumi ni mutanu ni tuili,liʃumi ni mutanu ni tuili,[],,[],,False,False,,1
mbow1246-1-18-1,,mbow1246-1,18,liʃumi ni mutanu ni tuñatu,liʃumi ni mutanu ni tuñatu,[],,[],,False,False,,1
mbow1246-1-19-1,,mbow1246-1,19,liʃumi ni mutanu ni tune,liʃumi ni mutanu ni tune,[],,[],,False,False,,1
mbow1246-1-20-1,,mbow1246-1,20,makumi ayili,makumi ayili,[],,[],,False,False,,1
mbow1246-1-21-1,,mbow1246-1,21,makumi ayili ni kamweya,makumi ayili ni kamweya,[],,[],,False,False,,1
mbow1246-1-22-1,,mbow1246-1,22,makumi ayili ni tuili,makumi ayili ni tuili,[],,[],,False,False,,1
mbow1246-1-23-1,,mbow1246-1,23,makumi ayili ni tuñatu,makumi ayili ni tuñatu,[],,[],,False,False,,1
mbow1246-1-24-1,,mbow1246-1,24,makumi ayili ni tune,makumi ayili ni tune,[],,[],,False,False,,1
mbow1246-1-25-1,,mbow1246-1,25,makumi ayili ni mutanu,makumi ayili ni mutanu,[],,[],,False,False,,1
mbow1246-1-26-1,,mbow1246-1,26,makumi ayili ni mutanu ni kamweya,makumi ayili ni mutanu ni kamweya,[],,[],,False,False,,1
mbow1246-1-27-1,,mbow1246-1,27,makumi ayili ni mutanu ni tuili,makumi ayili ni mutanu ni tuili,[],,[],,False,False,,1
mbow1246-1-28-1,,mbow1246-1,28,makumi ayili ni mutanu ni tuñatu,makumi ayili ni mutanu ni tuñatu,[],,[],,False,False,,1
mbow1246-1-29-1,,mbow1246-1,29,makumi ayili ni mutanu ni tune,makumi ayili ni mutanu ni tune,[],,[],,False,False,,1
mbow1246-1-30-1,,mbow1246-1,30,makumi añatu,makumi añatu,[],,[],,False,False,,1
mbow1246-1-40-1,,mbow1246-1,40,makumi ane,makumi ane,[],,[],,False,False,,1
mbow1246-1-50-1,,mbow1246-1,50,makumi atanu,makumi atanu,[],,[],,False,False,,1
mbow1246-1-60-1,,mbow1246-1,60,makumi mutanu nalimweya,makumi mutanu nalimweya,[],,[],,False,False,,1
mbow1246-1-70-1,,mbow1246-1,70,makumi mutanu nalituili,makumi mutanu nalituili,[],,[],,False,False,,1
mbow1246-1-80-1,,mbow1246-1,80,makumi mutanu ni añatu,makumi mutanu ni añatu,[],,[],,False,False,,1
mbow1246-1-90-1,,mbow1246-1,90,makumi mutanu nane,makumi mutanu nane,[],,[],,False,False,,1
mbow1246-1-100-1,,mbow1246-1,100,mwanda,mwanda,[],,[],,False,False,,1
mbow1246-1-200-1,,mbow1246-1,200,myanda iyili,myanda iyili,[],,[],,False,False,,1
mbow1246-1-1000-1,,mbow1246-1,1000,lilute,lilute,[],,[],,False,False,,1
mbow1246-1-1000-2,,mbow1246-1,1000,2,2,[],,[],,False,True,,1
mbow1246-1-1000-3,,mbow1246-1,1000,000,000,[],,[],,False,True,,1
mbow1246-1-1000-4,,mbow1246-1,1000,000. malute ayili,000. malute ayili,[],,[],,False,True,,1
