ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mpie1238-2-1-1,,mpie1238-2,1,nɡuatɔ,nɡuatɔ,[],,[],,False,False,,2
mpie1238-2-2-1,,mpie1238-2,2,ɓá,ɓá,[],,[],,False,False,,2
mpie1238-2-3-1,,mpie1238-2,3,laali,laali,[],,[],,False,False,,2
mpie1238-2-4-1,,mpie1238-2,4,nán,nán,[],,[],,False,False,,2
mpie1238-2-5-1,,mpie1238-2,5,taáni,taáni,[],,[],,False,False,,2
mpie1238-2-6-1,,mpie1238-2,6,taán(i) nɛ nɡuatɔ,taán(i) nɛ nɡuatɔ,[],( 5 + 1 ),[],,False,False,,2
mpie1238-2-7-1,,mpie1238-2,7,taán(i) nɛ ɓá,taán(i) nɛ ɓá,[],( 5 + 2 ),[],,False,False,,2
mpie1238-2-8-1,,mpie1238-2,8,taán(i) nɛ laali,taán(i) nɛ laali,[],( 5 + 3 ),[],,False,False,,2
mpie1238-2-9-1,,mpie1238-2,9,taán(i) nɛ nán,taán(i) nɛ nán,[],( 5 + 4 ),[],,False,False,,2
mpie1238-2-10-1,,mpie1238-2,10,kaamó,kaamó,[],,[],,False,False,,2
mpie1238-2-11-1,,mpie1238-2,11,kaamó nɛ nɡuatɔ,kaamó nɛ nɡuatɔ,[],,[],,False,False,,2
mpie1238-2-12-1,,mpie1238-2,12,kaamó nɛ ɓá,kaamó nɛ ɓá,[],,[],,False,False,,2
mpie1238-2-13-1,,mpie1238-2,13,kaamó nɛ laali,kaamó nɛ laali,[],,[],,False,False,,2
mpie1238-2-14-1,,mpie1238-2,14,kaamó nɛ nán,kaamó nɛ nán,[],,[],,False,False,,2
mpie1238-2-15-1,,mpie1238-2,15,kaamó nɛ taáni,kaamó nɛ taáni,[],,[],,False,False,,2
mpie1238-2-16-1,,mpie1238-2,16,kaamó nɛ taán(i) nɛ nɡuatɔ,kaamó nɛ taán(i) nɛ nɡuatɔ,[],,[],,False,False,,2
mpie1238-2-17-1,,mpie1238-2,17,kaamó nɛ taán(i) nɛ ɓá,kaamó nɛ taán(i) nɛ ɓá,[],,[],,False,False,,2
mpie1238-2-18-1,,mpie1238-2,18,kaamó nɛ taán(i) nɛ laali,kaamó nɛ taán(i) nɛ laali,[],,[],,False,False,,2
mpie1238-2-19-1,,mpie1238-2,19,kaamó nɛ taán(i) nɛ nán,kaamó nɛ taán(i) nɛ nán,[],,[],,False,False,,2
mpie1238-2-20-1,,mpie1238-2,20,mɛkaa ɓá,mɛkaa ɓá,[],,[],,False,False,,2
mpie1238-2-21-1,,mpie1238-2,21,mɛkaa ɓá nɛ nɡuatɔ,mɛkaa ɓá nɛ nɡuatɔ,[],,[],,False,False,,2
mpie1238-2-22-1,,mpie1238-2,22,mɛkaa ɓá nɛ ɓá,mɛkaa ɓá nɛ ɓá,[],,[],,False,False,,2
mpie1238-2-23-1,,mpie1238-2,23,mɛkaa ɓá nɛ laali,mɛkaa ɓá nɛ laali,[],,[],,False,False,,2
mpie1238-2-24-1,,mpie1238-2,24,mɛkaa ɓá nɛ nán,mɛkaa ɓá nɛ nán,[],,[],,False,False,,2
mpie1238-2-25-1,,mpie1238-2,25,mɛkaa ɓá nɛ taáni,mɛkaa ɓá nɛ taáni,[],,[],,False,False,,2
mpie1238-2-26-1,,mpie1238-2,26,mɛkaa ɓá nɛ taán(i) nɛ nɡuatɔ,mɛkaa ɓá nɛ taán(i) nɛ nɡuatɔ,[],,[],,False,False,,2
mpie1238-2-27-1,,mpie1238-2,27,mɛkaa ɓá nɛ taán(i) nɛ ɓá,mɛkaa ɓá nɛ taán(i) nɛ ɓá,[],,[],,False,False,,2
mpie1238-2-28-1,,mpie1238-2,28,mɛkaa ɓá nɛ taán(i) nɛ laali,mɛkaa ɓá nɛ taán(i) nɛ laali,[],,[],,False,False,,2
mpie1238-2-29-1,,mpie1238-2,29,mɛkaa ɓá nɛ taán(i) nɛ nán,mɛkaa ɓá nɛ taán(i) nɛ nán,[],,[],,False,False,,2
mpie1238-2-30-1,,mpie1238-2,30,mɛkaa laali,mɛkaa laali,[],,[],,False,False,,2
mpie1238-2-40-1,,mpie1238-2,40,mɛkaa nán,mɛkaa nán,[],,[],,False,False,,2
mpie1238-2-50-1,,mpie1238-2,50,mɛkaa taáni,mɛkaa taáni,[],,[],,False,False,,2
mpie1238-2-60-1,,mpie1238-2,60,mɛkaa taáni nɛ nɡuatɔ,mɛkaa taáni nɛ nɡuatɔ,[],,[],,False,False,,2
mpie1238-2-70-1,,mpie1238-2,70,mɛkaa taáni nɛ ɓá,mɛkaa taáni nɛ ɓá,[],,[],,False,False,,2
mpie1238-2-80-1,,mpie1238-2,80,mɛkaa taáni nɛ laali,mɛkaa taáni nɛ laali,[],,[],,False,False,,2
mpie1238-2-90-1,,mpie1238-2,90,mɛkaa taáni nɛ nán,mɛkaa taáni nɛ nán,[],,[],,False,False,,2
mpie1238-2-100-1,,mpie1238-2,100,ɡɔmaí,ɡɔmaí,[],,[],,False,False,,2
mpie1238-2-100-2,,mpie1238-2,100,101. ɡɔmaí nɛ nɡuatɔ,101. ɡɔmaí nɛ nɡuatɔ,[],,[],,False,True,,2
mpie1238-2-1000-1,,mpie1238-2,1000,tɔmaí nɡuatɔ,tɔmaí nɡuatɔ,[],,[],,False,False,,2
