ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
ngan1299-2-1-1,,ngan1299-2,1,miba,miba,[],,[],,False,False,,2
ngan1299-2-2-1,,ngan1299-2,2,mile,mile,[],,[],,False,False,,2
ngan1299-2-3-1,,ngan1299-2,3,mita,mita,[],,[],,False,False,,2
ngan1299-2-4-1,,ngan1299-2,4,minan,minan,[],,[],,False,False,,2
ngan1299-2-5-1,,ngan1299-2,5,miŋun,miŋun,[],,[],,False,False,,2
ngan1299-2-6-1,,ngan1299-2,6,miluob,miluob,[],,[],,False,False,,2
ngan1299-2-7-1,,ngan1299-2,7,milole,milole,[],,[],,False,False,,2
ngan1299-2-8-1,,ngan1299-2,8,miniin,miniin,[],,[],,False,False,,2
ngan1299-2-9-1,,ngan1299-2,9,miwɛ,miwɛ,[],,[],,False,False,,2
ngan1299-2-10-1,,ngan1299-2,10,piik,piik,[],,[],,False,False,,2
ngan1299-2-11-1,,ngan1299-2,11,piik niin miba,piik niin miba,[],,[],,False,False,,2
ngan1299-2-12-1,,ngan1299-2,12,piik niin mile,piik niin mile,[],,[],,False,False,,2
ngan1299-2-13-1,,ngan1299-2,13,piik niin mita,piik niin mita,[],,[],,False,False,,2
ngan1299-2-14-1,,ngan1299-2,14,piik niin minan,piik niin minan,[],,[],,False,False,,2
ngan1299-2-15-1,,ngan1299-2,15,piik niin miŋun,piik niin miŋun,[],,[],,False,False,,2
ngan1299-2-16-1,,ngan1299-2,16,piik niin miluob,piik niin miluob,[],,[],,False,False,,2
ngan1299-2-17-1,,ngan1299-2,17,piik niin milole,piik niin milole,[],,[],,False,False,,2
ngan1299-2-18-1,,ngan1299-2,18,piik niin miniin,piik niin miniin,[],,[],,False,False,,2
ngan1299-2-19-1,,ngan1299-2,19,piik niin miwɛ,piik niin miwɛ,[],,[],,False,False,,2
ngan1299-2-20-1,,ngan1299-2,20,pile,pile,[],,[],,False,False,,2
ngan1299-2-21-1,,ngan1299-2,21,pile niin miba,pile niin miba,[],,[],,False,False,,2
ngan1299-2-22-1,,ngan1299-2,22,pile niin mile,pile niin mile,[],,[],,False,False,,2
ngan1299-2-23-1,,ngan1299-2,23,pile niin mita,pile niin mita,[],,[],,False,False,,2
ngan1299-2-24-1,,ngan1299-2,24,pile niin minan,pile niin minan,[],,[],,False,False,,2
ngan1299-2-25-1,,ngan1299-2,25,pile niin miŋun,pile niin miŋun,[],,[],,False,False,,2
ngan1299-2-26-1,,ngan1299-2,26,pile niin miluob,pile niin miluob,[],,[],,False,False,,2
ngan1299-2-27-1,,ngan1299-2,27,pile niin milole,pile niin milole,[],,[],,False,False,,2
ngan1299-2-28-1,,ngan1299-2,28,pile niin miniin,pile niin miniin,[],,[],,False,False,,2
ngan1299-2-29-1,,ngan1299-2,29,pile niin miwɛi,pile niin miwɛi,[],,[],,False,False,,2
ngan1299-2-30-1,,ngan1299-2,30,pita,pita,[],,[],,False,False,,2
ngan1299-2-40-1,,ngan1299-2,40,pinan,pinan,[],,[],,False,False,,2
ngan1299-2-50-1,,ngan1299-2,50,piŋun,piŋun,[],,[],,False,False,,2
ngan1299-2-60-1,,ngan1299-2,60,piluob,piluob,[],,[],,False,False,,2
ngan1299-2-70-1,,ngan1299-2,70,pilole,pilole,[],,[],,False,False,,2
ngan1299-2-80-1,,ngan1299-2,80,piniin,piniin,[],,[],,False,False,,2
ngan1299-2-90-1,,ngan1299-2,90,piwɛ,piwɛ,[],,[],,False,False,,2
ngan1299-2-100-1,,ngan1299-2,100,kɔuk,kɔuk,[],,[],,False,False,,2
