ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
paas1238-1-1-1,,paas1238-1,1,kɪ́dɪ́ɡɪ́,kɪ́dɪ́ɡɪ́,[],,[],,False,False,,1
paas1238-1-1-2,,paas1238-1,1,dííŋ,dííŋ,[],,[],,False,False,,1
paas1238-1-2-1,,paas1238-1,2,bàlìyà,bàlìyà,[],,[],,False,False,,1
paas1238-1-2-2,,paas1238-1,2,lìyà,lìyà,[],,[],,False,False,,1
paas1238-1-3-1,,paas1238-1,3,bòtò,bòtò,[],,[],,False,False,,1
paas1238-1-3-2,,paas1238-1,3,tóó,tóó,[],,[],,False,False,,1
paas1238-1-4-1,,paas1238-1,4,bànāā,bànāā,[],,[],,False,False,,1
paas1238-1-4-2,,paas1238-1,4,náá,náá,[],,[],,False,False,,1
paas1238-1-5-1,,paas1238-1,5,bɔ̀nɔ̀ŋ,bɔ̀nɔ̀ŋ,[],,[],,False,False,,1
paas1238-1-5-2,,paas1238-1,5,nɔ́ɔ́ŋ,nɔ́ɔ́ŋ,[],,[],,False,False,,1
paas1238-1-6-1,,paas1238-1,6,bàdʊ̀,bàdʊ̀,[],,[],,False,False,,1
paas1238-1-6-2,,paas1238-1,6,dʊ́ʊ́,dʊ́ʊ́,[],,[],,False,False,,1
paas1238-1-7-1,,paas1238-1,7,bàpɛ̀,bàpɛ̀,[],,[],,False,False,,1
paas1238-1-7-2,,paas1238-1,7,pɛ́ɛ́,pɛ́ɛ́,[],,[],,False,False,,1
paas1238-1-8-1,,paas1238-1,8,kyórí,kyórí,[],,[],,False,False,,1
paas1238-1-8-2,,paas1238-1,8,kyórí,kyórí,[],,[],,False,False,,1
paas1238-1-9-1,,paas1238-1,9,níbí,níbí,[],,[],,False,False,,1
paas1238-1-9-2,,paas1238-1,9,níbí,níbí,[],,[],,False,False,,1
paas1238-1-10-1,,paas1238-1,10,fí,fí,[],,[],,False,False,,1
paas1238-1-10-2,,paas1238-1,10,fí,fí,[],,[],,False,False,,1
paas1238-1-11-1,,paas1238-1,11,fí béé kɪ́dɪ́ɡɪ́,fí béé kɪ́dɪ́ɡɪ́,[],,[],,False,False,,1
paas1238-1-11-2,,paas1238-1,11,fídííŋ,fídííŋ,[],,[],,False,False,,1
paas1238-1-12-1,,paas1238-1,12,fí béé bàlìyà,fí béé bàlìyà,[],,[],,False,False,,1
paas1238-1-12-2,,paas1238-1,12,fílìyà,fílìyà,[],,[],,False,False,,1
paas1238-1-13-1,,paas1238-1,13,fí béé bòtò,fí béé bòtò,[],,[],,False,False,,1
paas1238-1-13-2,,paas1238-1,13,fítóó,fítóó,[],,[],,False,False,,1
paas1238-1-14-1,,paas1238-1,14,fí béé bànāā,fí béé bànāā,[],,[],,False,False,,1
paas1238-1-14-2,,paas1238-1,14,fínáa,fínáa,[],,[],,False,False,,1
paas1238-1-15-1,,paas1238-1,15,fí béé bɔ̀nɔ̀ŋ,fí béé bɔ̀nɔ̀ŋ,[],,[],,False,False,,1
paas1238-1-15-2,,paas1238-1,15,fínɔ́ɔ́ŋ,fínɔ́ɔ́ŋ,[],,[],,False,False,,1
paas1238-1-16-1,,paas1238-1,16,fí béé bàdʊ̀,fí béé bàdʊ̀,[],,[],,False,False,,1
paas1238-1-16-2,,paas1238-1,16,fídʊ́ʊ́,fídʊ́ʊ́,[],,[],,False,False,,1
paas1238-1-17-1,,paas1238-1,17,fí béé bàpɛ̀,fí béé bàpɛ̀,[],,[],,False,False,,1
paas1238-1-17-2,,paas1238-1,17,fípɛ́ɛ́,fípɛ́ɛ́,[],,[],,False,False,,1
paas1238-1-18-1,,paas1238-1,18,fí béé kyórí,fí béé kyórí,[],,[],,False,False,,1
paas1238-1-18-2,,paas1238-1,18,fíkyórí,fíkyórí,[],,[],,False,False,,1
paas1238-1-19-1,,paas1238-1,19,fí béé níbí,fí béé níbí,[],,[],,False,False,,1
paas1238-1-19-2,,paas1238-1,19,fíníbí,fíníbí,[],,[],,False,False,,1
paas1238-1-20-1,,paas1238-1,20,mɔ̄líyà,mɔ̄líyà,[],,[],,False,False,,1
paas1238-1-20-2,,paas1238-1,20,mɔ̄líya,mɔ̄líya,[],,[],,False,False,,1
paas1238-1-21-1,,paas1238-1,21,mɔ̄líyà béé kɪ́dɪ́ɡɪ́,mɔ̄líyà béé kɪ́dɪ́ɡɪ́,[],,[],,False,False,,1
paas1238-1-21-2,,paas1238-1,21,mɔ́ɭdííŋ,mɔ́ɭdííŋ,[],,[],,False,False,,1
paas1238-1-22-1,,paas1238-1,22,mɔ̄líyà béé bàlìyà,mɔ̄líyà béé bàlìyà,[],,[],,False,False,,1
paas1238-1-22-2,,paas1238-1,22,mɔ́ɭlìyà,mɔ́ɭlìyà,[],,[],,False,False,,1
paas1238-1-23-1,,paas1238-1,23,mɔ̄líyà béé bòtò,mɔ̄líyà béé bòtò,[],,[],,False,False,,1
paas1238-1-23-2,,paas1238-1,23,mɔ́ɭtóó,mɔ́ɭtóó,[],,[],,False,False,,1
paas1238-1-24-1,,paas1238-1,24,mɔ̄líyà béé bànāā,mɔ̄líyà béé bànāā,[],,[],,False,False,,1
paas1238-1-24-2,,paas1238-1,24,mɔ́ɭnáa,mɔ́ɭnáa,[],,[],,False,False,,1
paas1238-1-25-1,,paas1238-1,25,mɔ̄líyà béé bɔ̀nɔ̀ŋ,mɔ̄líyà béé bɔ̀nɔ̀ŋ,[],,[],,False,False,,1
