ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
pimb1238-1-1-1,,pimb1238-1,1,kámwi,kámwi,[],,[],,False,False,,1
pimb1238-1-2-1,,pimb1238-1,2,tuβílí,tuβílí,[],,[],,False,False,,1
pimb1238-1-3-1,,pimb1238-1,3,tutátu,tutátu,[],,[],,False,False,,1
pimb1238-1-4-1,,pimb1238-1,4,túne,túne,[],,[],,False,False,,1
pimb1238-1-5-1,,pimb1238-1,5,tútaánu,tútaánu,[],,[],,False,False,,1
pimb1238-1-6-1,,pimb1238-1,6,mukááɡa,mukááɡa,[],,[],,False,False,,1
pimb1238-1-7-1,,pimb1238-1,7,mupúŋɡáti,mupúŋɡáti,[],,[],,False,False,,1
pimb1238-1-8-1,,pimb1238-1,8,munááne,munááne,[],,[],,False,False,,1
pimb1238-1-9-1,,pimb1238-1,9,kenda,kenda,[],,[],,False,False,,1
pimb1238-1-10-1,,pimb1238-1,10,íkumi,íkumi,[],,[],,False,False,,1
pimb1238-1-11-1,,pimb1238-1,11,íkumi ná kámwi,íkumi ná kámwi,[],,[],,False,False,,1
pimb1238-1-12-1,,pimb1238-1,12,íkumi ná tuβílí,íkumi ná tuβílí,[],,[],,False,False,,1
pimb1238-1-13-1,,pimb1238-1,13,íkumi ná tutátu,íkumi ná tutátu,[],,[],,False,False,,1
pimb1238-1-14-1,,pimb1238-1,14,íkumi ná túne,íkumi ná túne,[],,[],,False,False,,1
pimb1238-1-15-1,,pimb1238-1,15,íkumi ná tútaánu,íkumi ná tútaánu,[],,[],,False,False,,1
pimb1238-1-16-1,,pimb1238-1,16,íkumi ná mukááɡa,íkumi ná mukááɡa,[],,[],,False,False,,1
pimb1238-1-17-1,,pimb1238-1,17,íkumi ná mupúŋɡáti,íkumi ná mupúŋɡáti,[],,[],,False,False,,1
pimb1238-1-18-1,,pimb1238-1,18,íkumi ná munááne,íkumi ná munááne,[],,[],,False,False,,1
pimb1238-1-19-1,,pimb1238-1,19,íkumi ná kenda,íkumi ná kenda,[],,[],,False,False,,1
pimb1238-1-20-1,,pimb1238-1,20,makumi áβílí,makumi áβílí,[],,[],,False,False,,1
pimb1238-1-21-1,,pimb1238-1,21,makumi áβílí na kámwi,makumi áβílí na kámwi,[],,[],,False,False,,1
pimb1238-1-22-1,,pimb1238-1,22,makumi áβílí na tuβílí,makumi áβílí na tuβílí,[],,[],,False,False,,1
pimb1238-1-23-1,,pimb1238-1,23,makumi áβílí na tutátu,makumi áβílí na tutátu,[],,[],,False,False,,1
pimb1238-1-24-1,,pimb1238-1,24,makumi áβílí na túne,makumi áβílí na túne,[],,[],,False,False,,1
pimb1238-1-25-1,,pimb1238-1,25,makumi áβílí na tútaánu,makumi áβílí na tútaánu,[],,[],,False,False,,1
pimb1238-1-26-1,,pimb1238-1,26,makumi áβílí na mukááɡa,makumi áβílí na mukááɡa,[],,[],,False,False,,1
pimb1238-1-27-1,,pimb1238-1,27,makumi áβílí na mupúŋɡáti,makumi áβílí na mupúŋɡáti,[],,[],,False,False,,1
pimb1238-1-28-1,,pimb1238-1,28,makumi áβílí na munááne,makumi áβílí na munááne,[],,[],,False,False,,1
pimb1238-1-29-1,,pimb1238-1,29,makumi áβílí na kenda,makumi áβílí na kenda,[],,[],,False,False,,1
pimb1238-1-30-1,,pimb1238-1,30,makumi átatú,makumi átatú,[],,[],,False,False,,1
pimb1238-1-40-1,,pimb1238-1,40,makumi áne,makumi áne,[],,[],,False,False,,1
pimb1238-1-50-1,,pimb1238-1,50,makumi ataánu,makumi ataánu,[],,[],,False,False,,1
pimb1238-1-60-1,,pimb1238-1,60,makumi mukááɡa,makumi mukááɡa,[],,[],,False,False,,1
pimb1238-1-70-1,,pimb1238-1,70,makumi mupúŋɡáti,makumi mupúŋɡáti,[],,[],,False,False,,1
pimb1238-1-80-1,,pimb1238-1,80,makumi munááné,makumi munááné,[],,[],,False,False,,1
pimb1238-1-90-1,,pimb1238-1,90,makumi kenda,makumi kenda,[],,[],,False,False,,1
pimb1238-1-100-1,,pimb1238-1,100,íɡana,íɡana,[],,[],,False,False,,1
pimb1238-1-200-1,,pimb1238-1,200,máɡana aβílí,máɡana aβílí,[],,[],,False,False,,1
pimb1238-1-1000-1,,pimb1238-1,1000,tʃífumbi,tʃífumbi,[],,[],,False,False,,1
pimb1238-1-2000-1,,pimb1238-1,2000,vífumbi viβílí,vífumbi viβílí,[],,[],,False,False,,1
