ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
sima1258-1-1-1,,sima1258-1,1,-mweya,-mweya,[],,[],,False,False,,1
sima1258-1-2-1,,sima1258-1,2,-ili,-ili,[],,[],,False,False,,1
sima1258-1-3-1,,sima1258-1,3,-atu,-atu,[],,[],,False,False,,1
sima1258-1-4-1,,sima1258-1,4,-ne,-ne,[],,[],,False,False,,1
sima1258-1-5-1,,sima1258-1,5,mu-tanu,mu-tanu,[],,[],,False,False,,1
sima1258-1-6-1,,sima1258-1,6,mutanu na -mweya,mutanu na -mweya,[],( 5 + 1 ),[],,False,False,,1
sima1258-1-7-1,,sima1258-1,7,mutanu na -ili,mutanu na -ili,[],( 5 + 2 ),[],,False,False,,1
sima1258-1-8-1,,sima1258-1,8,mutanu na -atu,mutanu na -atu,[],( 5 + 3 ),[],,False,False,,1
sima1258-1-9-1,,sima1258-1,9,mutanu na -ne,mutanu na -ne,[],( 5 + 4 ),[],,False,False,,1
sima1258-1-10-1,,sima1258-1,10,likumi,likumi,[],,[],,False,False,,1
sima1258-1-11-1,,sima1258-1,11,likumi na -mweya,likumi na -mweya,[],,[],,False,False,,1
sima1258-1-12-1,,sima1258-1,12,likumi na -ili,likumi na -ili,[],,[],,False,False,,1
sima1258-1-13-1,,sima1258-1,13,likumi na -atu,likumi na -atu,[],,[],,False,False,,1
sima1258-1-14-1,,sima1258-1,14,likumi na -ne,likumi na -ne,[],,[],,False,False,,1
sima1258-1-15-1,,sima1258-1,15,likumi na mutanu,likumi na mutanu,[],,[],,False,False,,1
sima1258-1-16-1,,sima1258-1,16,likumi mutanu na -mweya,likumi mutanu na -mweya,[],,[],,False,False,,1
sima1258-1-17-1,,sima1258-1,17,likumi mutanu na -ili,likumi mutanu na -ili,[],,[],,False,False,,1
sima1258-1-18-1,,sima1258-1,18,likumi mutanu na -atu,likumi mutanu na -atu,[],,[],,False,False,,1
sima1258-1-19-1,,sima1258-1,19,likumi mutanu na -ne,likumi mutanu na -ne,[],,[],,False,False,,1
sima1258-1-20-1,,sima1258-1,20,makumi meli,makumi meli,[],,[],,False,False,,1
sima1258-1-21-1,,sima1258-1,21,makumi meli na -mweya,makumi meli na -mweya,[],,[],,False,False,,1
sima1258-1-22-1,,sima1258-1,22,makumi meli na -ili,makumi meli na -ili,[],,[],,False,False,,1
sima1258-1-23-1,,sima1258-1,23,makumi meli na -atu,makumi meli na -atu,[],,[],,False,False,,1
sima1258-1-24-1,,sima1258-1,24,makumi meli na -ne,makumi meli na -ne,[],,[],,False,False,,1
sima1258-1-25-1,,sima1258-1,25,makumi meli na mutanu,makumi meli na mutanu,[],,[],,False,False,,1
sima1258-1-26-1,,sima1258-1,26,makumi meli na mutanu na -mweya,makumi meli na mutanu na -mweya,[],,[],,False,False,,1
sima1258-1-27-1,,sima1258-1,27,makumi meli na mutanu na -ili,makumi meli na mutanu na -ili,[],,[],,False,False,,1
sima1258-1-28-1,,sima1258-1,28,makumi meli na mutanu na -atu,makumi meli na mutanu na -atu,[],,[],,False,False,,1
sima1258-1-29-1,,sima1258-1,29,makumi meli na mutanu na -ne,makumi meli na mutanu na -ne,[],,[],,False,False,,1
sima1258-1-30-1,,sima1258-1,30,makumi maatu,makumi maatu,[],,[],,False,False,,1
sima1258-1-40-1,,sima1258-1,40,makumi mane,makumi mane,[],,[],,False,False,,1
sima1258-1-50-1,,sima1258-1,50,makumi a mutanu,makumi a mutanu,[],,[],,False,False,,1
sima1258-1-60-1,,sima1258-1,60,makumi a mutanu na likumi,makumi a mutanu na likumi,[],,[],,False,False,,1
sima1258-1-70-1,,sima1258-1,70,makumi a mutanu na makumi -ili,makumi a mutanu na makumi -ili,[],,[],,False,False,,1
sima1258-1-80-1,,sima1258-1,80,makumi a mutanu na makumi -atu,makumi a mutanu na makumi -atu,[],,[],,False,False,,1
sima1258-1-90-1,,sima1258-1,90,makumi a mutanu na makumi -ne,makumi a mutanu na makumi -ne,[],,[],,False,False,,1
sima1258-1-100-1,,sima1258-1,100,mwanda,mwanda,[],,[],,False,False,,1
sima1258-1-100-2,,sima1258-1,100,mwanja,mwanja,[],,[],,False,False,,1
sima1258-1-200-1,,sima1258-1,200,mianda -ili,mianda -ili,[],,[],,False,False,,1
sima1258-1-1000-1,,sima1258-1,1000,mianda ca likumi,mianda ca likumi,[],,[],,False,False,,1
