ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
sout2787-2-1-1,,sout2787-2,1,bàlè,bàlè,[],,['chan2019'],,False,False,,2
sout2787-2-2-1,,sout2787-2,2,bìʃùú,bìʃùú,[],,['chan2019'],,False,False,,2
sout2787-2-3-1,,sout2787-2,3,vòtàá,vòtàá,[],,['chan2019'],,False,False,,2
sout2787-2-4-1,,sout2787-2,4,vwànɔ̄,vwànɔ̄,[],,['chan2019'],,False,False,,2
sout2787-2-5-1,,sout2787-2,5,mìndúù,mìndúù,[],,['chan2019'],,False,False,,2
sout2787-2-6-1,,sout2787-2,6,mìndúù mànɜ̄ bàlè ( 5 + 1 )̄,mìndúù mànɜ̄ bàlè ( 5 + 1 )̄,[],,['chan2019'],,False,True,,2
sout2787-2-7-1,,sout2787-2,7,mìndúù mànɜ̄ bìʃùú,mìndúù mànɜ̄ bìʃùú,[],( 5 + 2 ),['chan2019'],,False,False,,2
sout2787-2-8-1,,sout2787-2,8,mìndúù mànɜ̄ vòtàá,mìndúù mànɜ̄ vòtàá,[],( 5 + 3 ),['chan2019'],,False,False,,2
sout2787-2-9-1,,sout2787-2,9,mìndúù mànɜ̄ vwànɔ̄,mìndúù mànɜ̄ vwànɔ̄,[],( 5 + 4 ),['chan2019'],,False,False,,2
sout2787-2-10-1,,sout2787-2,10,lɜ̀konòɡ͡bè,lɜ̀konòɡ͡bè,[],(lit: ''all the fingers''),['chan2019'],,False,False,,2
sout2787-2-11-1,,sout2787-2,11,konòɡ͡bè t͡ʃèpànɜ̀ bàlè,konòɡ͡bè t͡ʃèpànɜ̀ bàlè,[],,['chan2019'],,False,False,,2
sout2787-2-12-1,,sout2787-2,12,konòɡ͡bè t͡ʃèpànɜ̀ bìʃùú,konòɡ͡bè t͡ʃèpànɜ̀ bìʃùú,[],,['chan2019'],,False,False,,2
