ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
xhos1239-2-1-1,,xhos1239-2,1,ɲɛ,ɲɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-2-1,,xhos1239-2,2,mbini,mbini,[],,['chan2019'],,False,False,,2
xhos1239-2-3-1,,xhos1239-2,3,ntʼatʰu,ntʼatʰu,[],,['chan2019'],,False,False,,2
xhos1239-2-4-1,,xhos1239-2,4,nɛ,nɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-5-1,,xhos1239-2,5,ntɬʼanu,ntɬʼanu,[],,['chan2019'],,False,False,,2
xhos1239-2-6-1,,xhos1239-2,6,ntʼandatʰu,ntʼandatʰu,[],,['chan2019'],,False,False,,2
xhos1239-2-7-1,,xhos1239-2,7,siǁʰɛŋǁɛ,siǁʰɛŋǁɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-8-1,,xhos1239-2,8,sib̤ɔzɔ,sib̤ɔzɔ,[],,['chan2019'],,False,False,,2
xhos1239-2-9-1,,xhos1239-2,9,litʰɔɓa,litʰɔɓa,[],,['chan2019'],,False,False,,2
xhos1239-2-10-1,,xhos1239-2,10,liʃumi,liʃumi,[],,['chan2019'],,False,False,,2
xhos1239-2-11-1,,xhos1239-2,11,liʃumi elinaɲɛ,liʃumi elinaɲɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-12-1,,xhos1239-2,12,liʃumi elinambini,liʃumi elinambini,[],,['chan2019'],,False,False,,2
xhos1239-2-13-1,,xhos1239-2,13,liʃumi elinantʼatʰu,liʃumi elinantʼatʰu,[],,['chan2019'],,False,False,,2
xhos1239-2-14-1,,xhos1239-2,14,liʃumi elinanɛ,liʃumi elinanɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-15-1,,xhos1239-2,15,liʃumi elinantɬʼanu,liʃumi elinantɬʼanu,[],,['chan2019'],,False,False,,2
xhos1239-2-16-1,,xhos1239-2,16,liʃumi elinantʼandatʰu,liʃumi elinantʼandatʰu,[],,['chan2019'],,False,False,,2
xhos1239-2-17-1,,xhos1239-2,17,liʃumi elinesiǁʰɛŋǁɛ,liʃumi elinesiǁʰɛŋǁɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-18-1,,xhos1239-2,18,liʃumi elina sib̤ɔzɔ,liʃumi elina sib̤ɔzɔ,[],,['chan2019'],,False,False,,2
xhos1239-2-19-1,,xhos1239-2,19,liʃumi elinɛtʰɔɓa,liʃumi elinɛtʰɔɓa,[],,['chan2019'],,False,False,,2
xhos1239-2-20-1,,xhos1239-2,20,amaʃumi amaɓini,amaʃumi amaɓini,[],,['chan2019'],,False,False,,2
xhos1239-2-21-1,,xhos1239-2,21,amaʃumi amaɓini anaɲɛ,amaʃumi amaɓini anaɲɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-22-1,,xhos1239-2,22,amaʃumi amaɓini amambini,amaʃumi amaɓini amambini,[],,['chan2019'],,False,False,,2
xhos1239-2-23-1,,xhos1239-2,23,amaʃumi amaɓini anantʼatʰu,amaʃumi amaɓini anantʼatʰu,[],,['chan2019'],,False,False,,2
xhos1239-2-24-1,,xhos1239-2,24,amaʃumi amaɓini ananɛ,amaʃumi amaɓini ananɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-25-1,,xhos1239-2,25,amaʃumi amaɓini anesiɬʼanu,amaʃumi amaɓini anesiɬʼanu,[],,['chan2019'],,False,False,,2
xhos1239-2-26-1,,xhos1239-2,26,amaʃumi amaɓini anesitʰandatʰu,amaʃumi amaɓini anesitʰandatʰu,[],,['chan2019'],,False,False,,2
xhos1239-2-27-1,,xhos1239-2,27,amaʃumi amaɓini anesiǁʰɛŋǁɛ,amaʃumi amaɓini anesiǁʰɛŋǁɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-28-1,,xhos1239-2,28,amaʃumi amaɓini anesib̤ɔzɔ,amaʃumi amaɓini anesib̤ɔzɔ,[],,['chan2019'],,False,False,,2
xhos1239-2-29-1,,xhos1239-2,29,amaʃumi amaɓini anɛtʰɔɓa,amaʃumi amaɓini anɛtʰɔɓa,[],,['chan2019'],,False,False,,2
xhos1239-2-30-1,,xhos1239-2,30,amaʃumi amatʰatʰu,amaʃumi amatʰatʰu,[],,['chan2019'],,False,False,,2
xhos1239-2-40-1,,xhos1239-2,40,amaʃumi amanɛ,amaʃumi amanɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-50-1,,xhos1239-2,50,amaʃumi amaɬanu,amaʃumi amaɬanu,[],,['chan2019'],,False,False,,2
xhos1239-2-60-1,,xhos1239-2,60,amaʃumi amatʰandatʰu,amaʃumi amatʰandatʰu,[],,['chan2019'],,False,False,,2
xhos1239-2-70-1,,xhos1239-2,70,amaʃumi asiǁʰɛŋǁɛ,amaʃumi asiǁʰɛŋǁɛ,[],,['chan2019'],,False,False,,2
xhos1239-2-80-1,,xhos1239-2,80,amaʃumi asib̤ɔzɔ,amaʃumi asib̤ɔzɔ,[],,['chan2019'],,False,False,,2
xhos1239-2-90-1,,xhos1239-2,90,amaʃumi alitʰɔɓa,amaʃumi alitʰɔɓa,[],,['chan2019'],,False,False,,2
xhos1239-2-100-1,,xhos1239-2,100,ikʰulu,ikʰulu,[],,['chan2019'],,False,False,,2
xhos1239-2-200-1,,xhos1239-2,200,amakʰulu amaɓini,amakʰulu amaɓini,[],,['chan2019'],,False,False,,2
xhos1239-2-1000-1,,xhos1239-2,1000,iwakʼa,iwakʼa,[],,['chan2019'],,False,False,,2
xhos1239-2-2000-1,,xhos1239-2,2000,amawakʼa amaɓini,amawakʼa amaɓini,[],,['chan2019'],,False,False,,2
