ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
bijo1238-1-1-1,,bijo1238-1,1,mɪjʌɖ̚,mɪjʌɖ̚,[],,[],,False,False,,1
bijo1238-1-2-1,,bijo1238-1,2,bʌɾɪja,bʌɾɪja,[],,[],,False,False,,1
bijo1238-1-3-1,,bijo1238-1,3,peja,peja,[],,[],,False,False,,1
bijo1238-1-4-1,,bijo1238-1,4,t͡ʃaɾ ɡoʈ,t͡ʃaɾ ɡoʈ,[],< Indo-Aryan ,[],,True,False,,1
bijo1238-1-5-1,,bijo1238-1,5,pãt͡ʃ ɡoʈ,pãt͡ʃ ɡoʈ,[],,[],,False,False,,1
bijo1238-1-6-1,,bijo1238-1,6,t͡ʃʰaᵘ ɡoʈ,t͡ʃʰaᵘ ɡoʈ,[],,[],,False,False,,1
bijo1238-1-7-1,,bijo1238-1,7,sat̪ ɡoʈ,sat̪ ɡoʈ,[],,[],,False,False,,1
bijo1238-1-8-1,,bijo1238-1,8,aʈʰ ɡoʈ,aʈʰ ɡoʈ,[],,[],,False,False,,1
bijo1238-1-9-1,,bijo1238-1,9,naᵘ ɡoʈ,naᵘ ɡoʈ,[],,[],,False,False,,1
bijo1238-1-10-1,,bijo1238-1,10,d̪as ɡoʈ,d̪as ɡoʈ,[],,[],,False,False,,1
bijo1238-1-11-1,,bijo1238-1,11,ɡaɾa ɡoʈ,ɡaɾa ɡoʈ,[],,[],,False,False,,1
bijo1238-1-12-1,,bijo1238-1,12,baɾa ɡoʈ,baɾa ɡoʈ,[],,[],,False,False,,1
bijo1238-1-13-1,,bijo1238-1,13,t̪eɾa ɡoʈ,t̪eɾa ɡoʈ,[],,[],,False,False,,1
bijo1238-1-14-1,,bijo1238-1,14,t͡ʃaᵘd̪a ɡoʈ,t͡ʃaᵘd̪a ɡoʈ,[],,[],,False,False,,1
bijo1238-1-15-1,,bijo1238-1,15,pan̪d̪ɾa ɡoʈ,pan̪d̪ɾa ɡoʈ,[],,[],,False,False,,1
bijo1238-1-16-1,,bijo1238-1,16,sola ɡoʈ,sola ɡoʈ,[],,[],,False,False,,1
bijo1238-1-17-1,,bijo1238-1,17,sʌt̪ɾa ɡoʈ,sʌt̪ɾa ɡoʈ,[],,[],,False,False,,1
bijo1238-1-18-1,,bijo1238-1,18,aʈʰaɾa ɡoʈ,aʈʰaɾa ɡoʈ,[],,[],,False,False,,1
bijo1238-1-19-1,,bijo1238-1,19,ʊnːaⁱs ɡoʈ,ʊnːaⁱs ɡoʈ,[],,[],,False,False,,1
bijo1238-1-20-1,,bijo1238-1,20,bis ɡoʈ,bis ɡoʈ,[],,[],,False,False,,1
bijo1238-1-21-1,,bijo1238-1,21,ekais ɡoʈ,ekais ɡoʈ,[],,[],,False,False,,1
bijo1238-1-22-1,,bijo1238-1,22,bais ɡoʈ,bais ɡoʈ,[],,[],,False,False,,1
bijo1238-1-23-1,,bijo1238-1,23,t̪ais ɡoʈ,t̪ais ɡoʈ,[],,[],,False,False,,1
bijo1238-1-24-1,,bijo1238-1,24,t͡ʃaᵘbis ɡoʈ,t͡ʃaᵘbis ɡoʈ,[],,[],,False,False,,1
bijo1238-1-25-1,,bijo1238-1,25,pat͡ʃːis ɡoʈ,pat͡ʃːis ɡoʈ,[],,[],,False,False,,1
bijo1238-1-26-1,,bijo1238-1,26,t͡ʃʰabːis ɡoʈ,t͡ʃʰabːis ɡoʈ,[],,[],,False,False,,1
bijo1238-1-27-1,,bijo1238-1,27,sat̪ais ɡoʈ,sat̪ais ɡoʈ,[],,[],,False,False,,1
bijo1238-1-28-1,,bijo1238-1,28,aʈʰais ɡoʈ,aʈʰais ɡoʈ,[],,[],,False,False,,1
bijo1238-1-29-1,,bijo1238-1,29,ʊn̪t̪is ɡoʈ,ʊn̪t̪is ɡoʈ,[],,[],,False,False,,1
bijo1238-1-30-1,,bijo1238-1,30,t̪is ɡoʈ,t̪is ɡoʈ,[],,[],,False,False,,1
bijo1238-1-40-1,,bijo1238-1,40,t͡ʃalis ɡoʈ,t͡ʃalis ɡoʈ,[],,[],,False,False,,1
