ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
bata1289-1-1-1,,bata1289-1,1,sada,sada,[],,[],,False,False,,1
bata1289-1-2-1,,bata1289-1,2,dua,dua,[],,[],,False,False,,1
bata1289-1-3-1,,bata1289-1,3,tolu,tolu,[],,[],,False,False,,1
bata1289-1-4-1,,bata1289-1,4,opat,opat,[],,[],,False,False,,1
bata1289-1-5-1,,bata1289-1,5,lima,lima,[],,[],,False,False,,1
bata1289-1-6-1,,bata1289-1,6,onom,onom,[],,[],,False,False,,1
bata1289-1-7-1,,bata1289-1,7,pitu,pitu,[],,[],,False,False,,1
bata1289-1-8-1,,bata1289-1,8,walu,walu,[],,[],,False,False,,1
bata1289-1-9-1,,bata1289-1,9,sia,sia,[],,[],,False,False,,1
bata1289-1-10-1,,bata1289-1,10,sapulu,sapulu,[],,[],,False,False,,1
bata1289-1-10-2,,bata1289-1,10,sapuluh,sapuluh,[],,[],,False,False,,1
bata1289-1-11-1,,bata1289-1,11,sapulu sada,sapulu sada,[],,[],,False,False,,1
bata1289-1-12-1,,bata1289-1,12,sapulu dua,sapulu dua,[],,[],,False,False,,1
bata1289-1-13-1,,bata1289-1,13,sapulu tolu,sapulu tolu,[],,[],,False,False,,1
bata1289-1-14-1,,bata1289-1,14,sapulu opat,sapulu opat,[],,[],,False,False,,1
bata1289-1-15-1,,bata1289-1,15,sapulu lima,sapulu lima,[],,[],,False,False,,1
bata1289-1-16-1,,bata1289-1,16,sapulu onom,sapulu onom,[],,[],,False,False,,1
bata1289-1-17-1,,bata1289-1,17,sapulu pitu,sapulu pitu,[],,[],,False,False,,1
bata1289-1-18-1,,bata1289-1,18,sapulu walu,sapulu walu,[],,[],,False,False,,1
bata1289-1-19-1,,bata1289-1,19,sapulu sia,sapulu sia,[],,[],,False,False,,1
bata1289-1-20-1,,bata1289-1,20,dua pulu,dua pulu,[],,[],,False,False,,1
bata1289-1-21-1,,bata1289-1,21,dua pulu sada,dua pulu sada,[],,[],,False,False,,1
bata1289-1-22-1,,bata1289-1,22,dua pulu dua,dua pulu dua,[],,[],,False,False,,1
bata1289-1-23-1,,bata1289-1,23,dua pulu tolu,dua pulu tolu,[],,[],,False,False,,1
bata1289-1-24-1,,bata1289-1,24,dua pulu opat,dua pulu opat,[],,[],,False,False,,1
bata1289-1-25-1,,bata1289-1,25,dua pulu lima,dua pulu lima,[],,[],,False,False,,1
bata1289-1-26-1,,bata1289-1,26,dua pulu onom,dua pulu onom,[],,[],,False,False,,1
bata1289-1-27-1,,bata1289-1,27,dua pulu pitu,dua pulu pitu,[],,[],,False,False,,1
bata1289-1-28-1,,bata1289-1,28,dua pulu walu,dua pulu walu,[],,[],,False,False,,1
bata1289-1-29-1,,bata1289-1,29,dua pulu sia,dua pulu sia,[],,[],,False,False,,1
bata1289-1-30-1,,bata1289-1,30,tolu pulu,tolu pulu,[],,[],,False,False,,1
bata1289-1-40-1,,bata1289-1,40,opat pulu,opat pulu,[],,[],,False,False,,1
bata1289-1-50-1,,bata1289-1,50,lima pulu,lima pulu,[],,[],,False,False,,1
bata1289-1-60-1,,bata1289-1,60,onom pulu,onom pulu,[],,[],,False,False,,1
bata1289-1-70-1,,bata1289-1,70,pitu pulu,pitu pulu,[],,[],,False,False,,1
bata1289-1-80-1,,bata1289-1,80,walu pulu,walu pulu,[],,[],,False,False,,1
bata1289-1-90-1,,bata1289-1,90,sia pulu,sia pulu,[],,[],,False,False,,1
bata1289-1-100-1,,bata1289-1,100,saratus,saratus,[],,[],,False,False,,1
bata1289-1-200-1,,bata1289-1,200,dua ratus,dua ratus,[],,[],,False,False,,1
bata1289-1-1000-1,,bata1289-1,1000,saribu,saribu,[],,[],,False,False,,1
bata1289-1-2000-1,,bata1289-1,2000,dua ribu,dua ribu,[],,[],,False,False,,1
