ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
bobo1254-1-1-1,,bobo1254-1,1,san,san,[],,[],,False,False,,1
bobo1254-1-2-1,,bobo1254-1,2,lua,lua,[],,[],,False,False,,1
bobo1254-1-3-1,,bobo1254-1,3,tol,tol,[],,[],,False,False,,1
bobo1254-1-4-1,,bobo1254-1,4,fɛt,fɛt,[],,[],,False,False,,1
bobo1254-1-5-1,,bobo1254-1,5,lima,lima,[],,[],,False,False,,1
bobo1254-1-6-1,,bobo1254-1,6,nom,nom,[],,[],,False,False,,1
bobo1254-1-7-1,,bobo1254-1,7,fit,fit,[],,[],,False,False,,1
bobo1254-1-8-1,,bobo1254-1,8,wal,wal,[],,[],,False,False,,1
bobo1254-1-9-1,,bobo1254-1,9,siwa,siwa,[],,[],,False,False,,1
bobo1254-1-10-1,,bobo1254-1,10,vuta,vuta,[],,[],,False,False,,1
bobo1254-1-10-2,,bobo1254-1,10,huta,huta,[],,[],,False,False,,1
bobo1254-1-100-1,,bobo1254-1,100,',',[],,[],,False,True,,1
