ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
cent2084-1-1-1,,cent2084-1,1,ta:kday,ta:kday,[],,[],,False,False,,1
cent2084-1-2-1,,cent2084-1,2,duwa,duwa,[],,[],,False,False,,1
cent2084-1-3-1,,cent2084-1,3,tallu,tallu,[],,[],,False,False,,1
cent2084-1-4-1,,cent2084-1,4,appa:t,appa:t,[],,[],,False,False,,1
cent2084-1-5-1,,cent2084-1,5,lima,lima,[],,[],,False,False,,1
cent2084-1-6-1,,cent2084-1,6,annam,annam,[],,[],,False,False,,1
cent2084-1-7-1,,cent2084-1,7,pitu,pitu,[],,[],,False,False,,1
cent2084-1-8-1,,cent2084-1,8,walu,walu,[],,[],,False,False,,1
cent2084-1-9-1,,cent2084-1,9,siya:m,siya:m,[],,[],,False,False,,1
cent2084-1-10-1,,cent2084-1,10,mafulu,mafulu,[],,[],,False,False,,1
cent2084-1-11-1,,cent2084-1,11,mafulu ta:kday,mafulu ta:kday,[],,[],,False,False,,1
cent2084-1-12-1,,cent2084-1,12,mafulu duwa,mafulu duwa,[],,[],,False,False,,1
cent2084-1-13-1,,cent2084-1,13,mafulu tallu,mafulu tallu,[],,[],,False,False,,1
cent2084-1-14-1,,cent2084-1,14,mafulu appa:t,mafulu appa:t,[],,[],,False,False,,1
cent2084-1-15-1,,cent2084-1,15,mafulu lima,mafulu lima,[],,[],,False,False,,1
cent2084-1-16-1,,cent2084-1,16,mafulu annam,mafulu annam,[],,[],,False,False,,1
cent2084-1-17-1,,cent2084-1,17,mafulu pitu,mafulu pitu,[],,[],,False,False,,1
cent2084-1-18-1,,cent2084-1,18,mafulu walu,mafulu walu,[],,[],,False,False,,1
cent2084-1-19-1,,cent2084-1,19,mafulu siya:m,mafulu siya:m,[],,[],,False,False,,1
cent2084-1-20-1,,cent2084-1,20,dwa:fulu,dwa:fulu,[],,[],,False,False,,1
cent2084-1-21-1,,cent2084-1,21,dwa:fulu ta:kday,dwa:fulu ta:kday,[],,[],,False,False,,1
cent2084-1-22-1,,cent2084-1,22,dwa:fulu duwa,dwa:fulu duwa,[],,[],,False,False,,1
cent2084-1-23-1,,cent2084-1,23,dwa:fulu tallu,dwa:fulu tallu,[],,[],,False,False,,1
cent2084-1-24-1,,cent2084-1,24,dwa:fulu appa:t,dwa:fulu appa:t,[],,[],,False,False,,1
cent2084-1-25-1,,cent2084-1,25,dwa:fulu lima,dwa:fulu lima,[],,[],,False,False,,1
cent2084-1-26-1,,cent2084-1,26,dwa:fulu annam,dwa:fulu annam,[],,[],,False,False,,1
cent2084-1-27-1,,cent2084-1,27,dwa:fulu pitu,dwa:fulu pitu,[],,[],,False,False,,1
cent2084-1-28-1,,cent2084-1,28,dwa:fulu walu,dwa:fulu walu,[],,[],,False,False,,1
cent2084-1-29-1,,cent2084-1,29,dwa:fulu siya:m,dwa:fulu siya:m,[],,[],,False,False,,1
cent2084-1-30-1,,cent2084-1,30,tallufulu,tallufulu,[],,[],,False,False,,1
cent2084-1-40-1,,cent2084-1,40,appa:tafulu,appa:tafulu,[],,[],,False,False,,1
cent2084-1-50-1,,cent2084-1,50,limaːfulu,limaːfulu,[],,[],,False,False,,1
cent2084-1-60-1,,cent2084-1,60,annamfulu,annamfulu,[],,[],,False,False,,1
cent2084-1-70-1,,cent2084-1,70,pitufulu,pitufulu,[],,[],,False,False,,1
cent2084-1-80-1,,cent2084-1,80,walufulu,walufulu,[],,[],,False,False,,1
cent2084-1-90-1,,cent2084-1,90,siya:mfulu,siya:mfulu,[],,[],,False,False,,1
cent2084-1-100-1,,cent2084-1,100,maɡatut,maɡatut,[],,[],,False,False,,1
cent2084-1-200-1,,cent2084-1,200,dwa:ɡatut,dwa:ɡatut,[],,[],,False,False,,1
cent2084-1-1000-1,,cent2084-1,1000,maribu,maribu,[],,[],,False,False,,1
cent2084-1-2000-1,,cent2084-1,2000,dwa:ribu,dwa:ribu,[],,[],,False,False,,1
