ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
east2465-1-1-1,,east2465-1,1,ʔot,ʔot,[],,['chan2019'],,False,False,,1
east2465-1-2-1,,east2465-1,2,'roɡʷa,'roɡʷa,[],,['chan2019'],,False,False,,1
east2465-1-3-1,,east2465-1,3,lat,lat,[],,['chan2019'],,False,False,,1
east2465-1-4-1,,east2465-1,4,ka,ka,[],,['chan2019'],,False,False,,1
east2465-1-5-1,,east2465-1,5,'lema,'lema,[],,['chan2019'],,False,False,,1
east2465-1-6-1,,east2465-1,6,dum,dum,[],,['chan2019'],,False,False,,1
east2465-1-7-1,,east2465-1,7,du'bam,du'bam,[],,['chan2019'],,False,False,,1
east2465-1-8-1,,east2465-1,8,ka'ruɡʷa,ka'ruɡʷa,[],,['chan2019'],,False,False,,1
east2465-1-9-1,,east2465-1,9,'sera,'sera,[],,['chan2019'],,False,False,,1
east2465-1-10-1,,east2465-1,10,u'rew̥a,u'rew̥a,[],,['chan2019'],,False,False,,1
east2465-1-100-1,,east2465-1,100,rat,rat,[],,['chan2019'],,False,False,,1
east2465-1-1000-1,,east2465-1,1000,'riɸun,'riɸun,[],,['chan2019'],,False,False,,1
