ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
emae1237-1-1-1,,emae1237-1,1,tasi,tasi,[],,[],,False,False,,1
emae1237-1-2-1,,emae1237-1,2,rua,rua,[],,[],,False,False,,1
emae1237-1-3-1,,emae1237-1,3,toru,toru,[],,[],,False,False,,1
emae1237-1-4-1,,emae1237-1,4,faː,faː,[],,[],,False,False,,1
emae1237-1-5-1,,emae1237-1,5,rima,rima,[],,[],,False,False,,1
emae1237-1-6-1,,emae1237-1,6,ono,ono,[],,[],,False,False,,1
emae1237-1-7-1,,emae1237-1,7,fitu,fitu,[],,[],,False,False,,1
emae1237-1-8-1,,emae1237-1,8,βaru,βaru,[],,[],,False,False,,1
emae1237-1-9-1,,emae1237-1,9,siβa,siβa,[],,[],,False,False,,1
emae1237-1-10-1,,emae1237-1,10,ŋafuru,ŋafuru,[],,[],,False,False,,1
emae1237-1-11-1,,emae1237-1,11,ŋafuru e tasi manatu ma tasi,ŋafuru e tasi manatu ma tasi,[],,[],,False,False,,1
emae1237-1-12-1,,emae1237-1,12,ŋafuru e tasi manatu ma rua,ŋafuru e tasi manatu ma rua,[],,[],,False,False,,1
emae1237-1-13-1,,emae1237-1,13,ŋafuru e tasi manatu ma tolu,ŋafuru e tasi manatu ma tolu,[],,[],,False,False,,1
emae1237-1-14-1,,emae1237-1,14,ŋafuru e tasi manatu ma faː,ŋafuru e tasi manatu ma faː,[],,[],,False,False,,1
emae1237-1-15-1,,emae1237-1,15,ŋafuru e tasi manatu ma rima,ŋafuru e tasi manatu ma rima,[],,[],,False,False,,1
emae1237-1-16-1,,emae1237-1,16,ŋafuru e tasi manatu ma ono,ŋafuru e tasi manatu ma ono,[],,[],,False,False,,1
emae1237-1-17-1,,emae1237-1,17,ŋafuru e tasi manatu ma fitu,ŋafuru e tasi manatu ma fitu,[],,[],,False,False,,1
emae1237-1-18-1,,emae1237-1,18,ŋafuru e tasi manatu ma βaru,ŋafuru e tasi manatu ma βaru,[],,[],,False,False,,1
emae1237-1-19-1,,emae1237-1,19,ŋafuru e tasi manatu ma siβa,ŋafuru e tasi manatu ma siβa,[],,[],,False,False,,1
emae1237-1-20-1,,emae1237-1,20,ŋafuru e rua,ŋafuru e rua,[],,[],,False,False,,1
emae1237-1-21-1,,emae1237-1,21,ŋafuru e rua manatu ma tasi,ŋafuru e rua manatu ma tasi,[],,[],,False,False,,1
emae1237-1-22-1,,emae1237-1,22,ŋafuru e rua manatu ma rua,ŋafuru e rua manatu ma rua,[],,[],,False,False,,1
emae1237-1-23-1,,emae1237-1,23,ŋafuru e rua manatu ma tolu,ŋafuru e rua manatu ma tolu,[],,[],,False,False,,1
emae1237-1-24-1,,emae1237-1,24,ŋafuru e rua manatu ma faː,ŋafuru e rua manatu ma faː,[],,[],,False,False,,1
emae1237-1-25-1,,emae1237-1,25,ŋafuru e rua manatu ma rima,ŋafuru e rua manatu ma rima,[],,[],,False,False,,1
emae1237-1-26-1,,emae1237-1,26,ŋafuru e rua manatu ma ono,ŋafuru e rua manatu ma ono,[],,[],,False,False,,1
emae1237-1-27-1,,emae1237-1,27,ŋafuru e rua manatu ma fitu,ŋafuru e rua manatu ma fitu,[],,[],,False,False,,1
emae1237-1-28-1,,emae1237-1,28,ŋafuru e rua manatu ma βaru,ŋafuru e rua manatu ma βaru,[],,[],,False,False,,1
emae1237-1-29-1,,emae1237-1,29,ŋafuru e rua manatu ma siβa,ŋafuru e rua manatu ma siβa,[],,[],,False,False,,1
emae1237-1-30-1,,emae1237-1,30,ŋafuru e toru,ŋafuru e toru,[],,[],,False,False,,1
emae1237-1-40-1,,emae1237-1,40,ŋafuru e fa:,ŋafuru e fa:,[],,[],,False,False,,1
emae1237-1-50-1,,emae1237-1,50,ŋafuru e rima,ŋafuru e rima,[],,[],,False,False,,1
emae1237-1-60-1,,emae1237-1,60,ŋafuru e ono,ŋafuru e ono,[],,[],,False,False,,1
emae1237-1-70-1,,emae1237-1,70,ŋafuru e fitu,ŋafuru e fitu,[],,[],,False,False,,1
emae1237-1-80-1,,emae1237-1,80,ŋafuru e βaru,ŋafuru e βaru,[],,[],,False,False,,1
emae1237-1-90-1,,emae1237-1,90,ŋafuru e siβa,ŋafuru e siβa,[],,[],,False,False,,1
emae1237-1-1000-1,,emae1237-1,1000,manu,manu,[],,[],,False,False,,1
