ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
java1254-1-1-1,,java1254-1,1,siɟ̊i̤,siɟ̊i̤,[],,[],,False,False,,1
java1254-1-2-1,,java1254-1,2,loro,loro,[],,[],,False,False,,1
java1254-1-3-1,,java1254-1,3,təlu,təlu,[],,[],,False,False,,1
java1254-1-4-1,,java1254-1,4,papat,papat,[],,[],,False,False,,1
java1254-1-5-1,,java1254-1,5,limɔ,limɔ,[],,[],,False,False,,1
java1254-1-6-1,,java1254-1,6,ənəm,ənəm,[],,[],,False,False,,1
java1254-1-7-1,,java1254-1,7,pitu,pitu,[],,[],,False,False,,1
java1254-1-8-1,,java1254-1,8,wɔlu,wɔlu,[],,[],,False,False,,1
java1254-1-9-1,,java1254-1,9,sɔŋɔ,sɔŋɔ,[],,[],,False,False,,1
java1254-1-10-1,,java1254-1,10,səpulo,səpulo,[],,[],,False,False,,1
java1254-1-11-1,,java1254-1,11,səwəlas,səwəlas,[],,[],,False,False,,1
java1254-1-12-1,,java1254-1,12,rɔlas,rɔlas,[],,[],,False,False,,1
java1254-1-13-1,,java1254-1,13,təlulas,təlulas,[],,[],,False,False,,1
java1254-1-14-1,,java1254-1,14,pat b̥ə̤las,pat b̥ə̤las,[],,[],,False,False,,1
java1254-1-15-1,,java1254-1,15,limɔlas,limɔlas,[],,[],,False,False,,1
java1254-1-16-1,,java1254-1,16,nəm bəlas,nəm bəlas,[],,[],,False,False,,1
java1254-1-17-1,,java1254-1,17,pitulas,pitulas,[],,[],,False,False,,1
java1254-1-18-1,,java1254-1,18,wɔlulas,wɔlulas,[],,[],,False,False,,1
java1254-1-19-1,,java1254-1,19,sɔŋɔlas,sɔŋɔlas,[],,[],,False,False,,1
java1254-1-20-1,,java1254-1,20,rɔŋ pulo,rɔŋ pulo,[],,[],,False,False,,1
java1254-1-21-1,,java1254-1,21,səlikor,səlikor,[],,[],,False,False,,1
java1254-1-22-1,,java1254-1,22,rorikor,rorikor,[],,[],,False,False,,1
java1254-1-23-1,,java1254-1,23,təlu likor,təlu likor,[],,[],,False,False,,1
java1254-1-24-1,,java1254-1,24,pat likor,pat likor,[],,[],,False,False,,1
java1254-1-25-1,,java1254-1,25,səlawe,səlawe,[],,[],,False,False,,1
java1254-1-26-1,,java1254-1,26,nəm likor,nəm likor,[],,[],,False,False,,1
java1254-1-27-1,,java1254-1,27,pitu likor,pitu likor,[],,[],,False,False,,1
java1254-1-28-1,,java1254-1,28,wɔlu likor,wɔlu likor,[],,[],,False,False,,1
java1254-1-29-1,,java1254-1,29,sɔŋɔ likor,sɔŋɔ likor,[],,[],,False,False,,1
java1254-1-30-1,,java1254-1,30,təloŋ pulo,təloŋ pulo,[],,[],,False,False,,1
java1254-1-40-1,,java1254-1,40,pataŋ pulo,pataŋ pulo,[],,[],,False,False,,1
java1254-1-50-1,,java1254-1,50,sɛkət,sɛkət,[],,[],,False,False,,1
java1254-1-60-1,,java1254-1,60,suwid̥a̤̰,suwid̥a̤̰,[],,[],,False,False,,1
java1254-1-70-1,,java1254-1,70,pitoŋ pulo,pitoŋ pulo,[],,[],,False,False,,1
java1254-1-80-1,,java1254-1,80,wɔloŋ pulo,wɔloŋ pulo,[],,[],,False,False,,1
java1254-1-90-1,,java1254-1,90,saŋaŋ pulo,saŋaŋ pulo,[],,[],,False,False,,1
java1254-1-100-1,,java1254-1,100,satus,satus,[],,[],,False,False,,1
java1254-1-200-1,,java1254-1,200,rɔŋatus,rɔŋatus,[],,[],,False,False,,1
java1254-1-1000-1,,java1254-1,1000,sɛwu,sɛwu,[],,[],,False,False,,1
java1254-1-2000-1,,java1254-1,2000,rɔŋ ɛwu,rɔŋ ɛwu,[],,[],,False,False,,1
