ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
maku1277-1-1-1,,maku1277-1,1,ʔitɛ́tla,ʔitɛ́tla,[],,[],,False,False,,1
maku1277-1-2-1,,maku1277-1,2,hɔrúʷa,hɔrúʷa,[],,[],,False,False,,1
maku1277-1-3-1,,maku1277-1,3,hɔkélu,hɔkélu,[],,[],,False,False,,1
maku1277-1-4-1,,maku1277-1,4,hɔʷáka,hɔʷáka,[],,[],,False,False,,1
maku1277-1-5-1,,maku1277-1,5,hɔlíma,hɔlíma,[],,[],,False,False,,1
maku1277-1-6-1,,maku1277-1,6,hɔnéme,hɔnéme,[],,[],,False,False,,1
maku1277-1-7-1,,maku1277-1,7,hɔhíku,hɔhíku,[],,[],,False,False,,1
maku1277-1-8-1,,maku1277-1,8,hɔʷáva,hɔʷáva,[],,[],,False,False,,1
maku1277-1-9-1,,maku1277-1,9,hɔsíʲa,hɔsíʲa,[],,[],,False,False,,1
maku1277-1-10-1,,maku1277-1,10,ʔitéli,ʔitéli,[],,[],,False,False,,1
maku1277-1-11-1,,maku1277-1,11,ʔitéli ʔitɛ́tla,ʔitéli ʔitɛ́tla,[],,[],,False,False,,1
maku1277-1-12-1,,maku1277-1,12,ʔitéli hɔrúʷa,ʔitéli hɔrúʷa,[],,[],,False,False,,1
maku1277-1-13-1,,maku1277-1,13,ʔitéli hɔkélu,ʔitéli hɔkélu,[],,[],,False,False,,1
maku1277-1-14-1,,maku1277-1,14,ʔitéli hɔʷáka,ʔitéli hɔʷáka,[],,[],,False,False,,1
maku1277-1-15-1,,maku1277-1,15,ʔitéli hɔlíma,ʔitéli hɔlíma,[],,[],,False,False,,1
maku1277-1-16-1,,maku1277-1,16,ʔitéli hɔnéme,ʔitéli hɔnéme,[],,[],,False,False,,1
maku1277-1-17-1,,maku1277-1,17,ʔitéli hɔhíku,ʔitéli hɔhíku,[],,[],,False,False,,1
maku1277-1-18-1,,maku1277-1,18,ʔitéli hɔʷáva,ʔitéli hɔʷáva,[],,[],,False,False,,1
maku1277-1-19-1,,maku1277-1,19,ʔitéli hɔsíʲa,ʔitéli hɔsíʲa,[],,[],,False,False,,1
maku1277-1-20-1,,maku1277-1,20,hɛ̙lɛrúʷa,hɛ̙lɛrúʷa,[],,[],,False,False,,1
maku1277-1-21-1,,maku1277-1,21,hɛ̙lɛrúʷa ʔitɛ́tla,hɛ̙lɛrúʷa ʔitɛ́tla,[],,[],,False,False,,1
maku1277-1-22-1,,maku1277-1,22,hɛ̙lɛrúʷa hɔrúʷa,hɛ̙lɛrúʷa hɔrúʷa,[],,[],,False,False,,1
maku1277-1-23-1,,maku1277-1,23,hɛ̙lɛrúʷa hɔkélu,hɛ̙lɛrúʷa hɔkélu,[],,[],,False,False,,1
maku1277-1-24-1,,maku1277-1,24,hɛ̙lɛrúʷa hɔʷáka,hɛ̙lɛrúʷa hɔʷáka,[],,[],,False,False,,1
maku1277-1-25-1,,maku1277-1,25,hɛ̙lɛrúʷa hɔlíma,hɛ̙lɛrúʷa hɔlíma,[],,[],,False,False,,1
maku1277-1-26-1,,maku1277-1,26,hɛ̙lɛrúʷa hɔnéme,hɛ̙lɛrúʷa hɔnéme,[],,[],,False,False,,1
maku1277-1-27-1,,maku1277-1,27,hɛ̙lɛrúʷa hɔhíku,hɛ̙lɛrúʷa hɔhíku,[],,[],,False,False,,1
maku1277-1-28-1,,maku1277-1,28,hɛ̙lɛrúʷa hɔʷáva,hɛ̙lɛrúʷa hɔʷáva,[],,[],,False,False,,1
maku1277-1-29-1,,maku1277-1,29,hɛ̙lɛrúʷa hɔsíʲa,hɛ̙lɛrúʷa hɔsíʲa,[],,[],,False,False,,1
maku1277-1-30-1,,maku1277-1,30,hɛ̙lɛkélu,hɛ̙lɛkélu,[],,[],,False,False,,1
maku1277-1-40-1,,maku1277-1,40,hɛ̙lɛvaka,hɛ̙lɛvaka,[],,[],,False,False,,1
maku1277-1-50-1,,maku1277-1,50,hɛ̙lɛlima,hɛ̙lɛlima,[],,[],,False,False,,1
maku1277-1-60-1,,maku1277-1,60,hɛ̙lɛnɛ́me,hɛ̙lɛnɛ́me,[],,[],,False,False,,1
maku1277-1-70-1,,maku1277-1,70,hɛ̙lɛhíku,hɛ̙lɛhíku,[],,[],,False,False,,1
maku1277-1-80-1,,maku1277-1,80,hɛ̙lɛkáfa,hɛ̙lɛkáfa,[],,[],,False,False,,1
maku1277-1-90-1,,maku1277-1,90,hɛ̙lɛsíʲa,hɛ̙lɛsíʲa,[],,[],,False,False,,1
maku1277-1-100-1,,maku1277-1,100,ratusá,ratusá,[],,[],,False,False,,1
maku1277-1-200-1,,maku1277-1,200,raturúʷa,raturúʷa,[],,[],,False,False,,1
maku1277-1-1000-1,,maku1277-1,1000,ríhunnɛ,ríhunnɛ,[],,[],,False,False,,1
maku1277-1-2000-1,,maku1277-1,2000,ríhun ɛcɛ,ríhun ɛcɛ,[],,[],,False,False,,1
