ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
mang1405-1-1,,mang1405,1,t͡ʃaː,t͡ʃaː,[],,[],,False,Manggarai.htm,False,,1
mang1405-1-2,,mang1405,1,t͡ʃaː,t͡ʃaː,[],,[],,False,Manggarai.htm,False,,2
mang1405-1-3,,mang1405,1,t͡ʃaː,t͡ʃaː,[],,[],,False,Manggarai.htm,False,,3
mang1405-1-4,,mang1405,1,sa,sa,[],,[],,False,Riung.htm,False,,1
mang1405-1-5,,mang1405,1,zaʔ,zaʔ,[],,[],,False,Riung.htm,False,,1
mang1405-2-1,,mang1405,2,suaː,suaː,[],,[],,False,Manggarai.htm,False,,1
mang1405-2-2,,mang1405,2,suaː,suaː,[],,[],,False,Manggarai.htm,False,,2
mang1405-2-3,,mang1405,2,suaː,suaː,[],,[],,False,Manggarai.htm,False,,3
mang1405-2-4,,mang1405,2,zua,zua,[],,[],,False,Riung.htm,False,,1
mang1405-3-1,,mang1405,3,təlu,təlu,[],,[],,False,Manggarai.htm,False,,1
mang1405-3-2,,mang1405,3,təlu,təlu,[],,[],,False,Manggarai.htm,False,,2
mang1405-3-3,,mang1405,3,təlu,təlu,[],,[],,False,Manggarai.htm,False,,3
mang1405-3-4,,mang1405,3,təlu,təlu,[],,[],,False,Riung.htm,False,,1
mang1405-4-1,,mang1405,4,paːt,paːt,[],,[],,False,Manggarai.htm,False,,1
mang1405-4-2,,mang1405,4,paːt,paːt,[],,[],,False,Manggarai.htm,False,,2
mang1405-4-3,,mang1405,4,paːt,paːt,[],,[],,False,Manggarai.htm,False,,3
mang1405-4-4,,mang1405,4,pat,pat,[],,[],,False,Riung.htm,False,,1
mang1405-5-1,,mang1405,5,lima,lima,[],,[],,False,Manggarai.htm,False,,1
mang1405-5-2,,mang1405,5,lima,lima,[],,[],,False,Manggarai.htm,False,,2
mang1405-5-3,,mang1405,5,lima,lima,[],,[],,False,Manggarai.htm,False,,3
mang1405-5-4,,mang1405,5,lima,lima,[],,[],,False,Riung.htm,False,,1
mang1405-6-1,,mang1405,6,ənam,ənam,[],,[],,False,Manggarai.htm,False,,1
mang1405-6-2,,mang1405,6,ənəm,ənəm,[],,[],,False,Manggarai.htm,False,,1
mang1405-6-3,,mang1405,6,ənam,ənam,[],,[],,False,Manggarai.htm,False,,2
mang1405-6-4,,mang1405,6,ənəm,ənəm,[],,[],,False,Manggarai.htm,False,,2
mang1405-6-5,,mang1405,6,ənam,ənam,[],,[],,False,Manggarai.htm,False,,3
mang1405-6-6,,mang1405,6,ənəm,ənəm,[],,[],,False,Manggarai.htm,False,,3
mang1405-6-7,,mang1405,6,non,non,[],,[],,False,Riung.htm,False,,1
mang1405-7-1,,mang1405,7,pitu,pitu,[],,[],,False,Manggarai.htm,False,,1
mang1405-7-2,,mang1405,7,pitu,pitu,[],,[],,False,Manggarai.htm,False,,2
mang1405-7-3,,mang1405,7,pitu,pitu,[],,[],,False,Manggarai.htm,False,,3
mang1405-7-4,,mang1405,7,pituʔ,pituʔ,[],,[],,False,Riung.htm,False,,1
mang1405-8-1,,mang1405,8,alo,alo,[],,[],,False,Manggarai.htm,False,,1
mang1405-8-2,,mang1405,8,alo,alo,[],,[],,False,Manggarai.htm,False,,2
mang1405-8-3,,mang1405,8,alo,alo,[],,[],,False,Manggarai.htm,False,,3
mang1405-8-4,,mang1405,8,waluʔ,waluʔ,[],,[],,False,Riung.htm,False,,1
mang1405-9-1,,mang1405,9,t͡ʃiok,t͡ʃiok,[],,[],,False,Manggarai.htm,False,,1
mang1405-9-2,,mang1405,9,t͡ʃiok,t͡ʃiok,[],,[],,False,Manggarai.htm,False,,2
mang1405-9-3,,mang1405,9,t͡ʃiok,t͡ʃiok,[],,[],,False,Manggarai.htm,False,,3
mang1405-9-4,,mang1405,9,siwaʔ,siwaʔ,[],,[],,False,Riung.htm,False,,1
mang1405-10-1,,mang1405,10,(t͡ʃa) ᵐpulu,(t͡ʃa) ᵐpulu,[],,[],,False,Manggarai.htm,False,,1
mang1405-10-2,,mang1405,10,t͡ʃəᵐpulu,t͡ʃəᵐpulu,[],,[],,False,Manggarai.htm,False,,1
mang1405-10-3,,mang1405,10,(t͡ʃa)pulu,(t͡ʃa)pulu,[],,[],,False,Manggarai.htm,False,,2
mang1405-10-4,,mang1405,10,t͡ʃəpulu,t͡ʃəpulu,[],,[],,False,Manggarai.htm,False,,2
mang1405-10-5,,mang1405,10,(t͡ʃa)pulu,(t͡ʃa)pulu,[],,[],,False,Manggarai.htm,False,,3
mang1405-10-6,,mang1405,10,(za)puluʔ,(za)puluʔ,[],,[],,False,Riung.htm,False,,1
mang1405-11-1,,mang1405,11,t͡ʃaᵐpulu t͡ʃaː,t͡ʃaᵐpulu t͡ʃaː,[],,[],,False,Manggarai.htm,False,,1
mang1405-11-2,,mang1405,11,t͡ʃapulu t͡ʃaː,t͡ʃapulu t͡ʃaː,[],,[],,False,Manggarai.htm,False,,2
