ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mara1397-1-1-1,,mara1397-1,1,ko-siiri,ko-siiri,[],,['chan2019'],,False,False,,1
mara1397-1-2-1,,mara1397-1,2,ko-iru,ko-iru,[],,['chan2019'],,False,False,,1
mara1397-1-3-1,,mara1397-1,3,toru,toru,[],,['chan2019'],,False,False,,1
mara1397-1-4-1,,mara1397-1,4,a'ti,a'ti,[],,['chan2019'],,False,False,,1
mara1397-1-5-1,,mara1397-1,5,riŋ,riŋ,[],,['chan2019'],,False,False,,1
mara1397-1-6-1,,mara1397-1,6,wona,wona,[],,['chan2019'],,False,False,,1
mara1397-1-7-1,,mara1397-1,7,itu,itu,[],,['chan2019'],,False,False,,1
mara1397-1-8-1,,mara1397-1,8,wa'ru,wa'ru,[],,['chan2019'],,False,False,,1
mara1397-1-9-1,,mara1397-1,9,si'u,si'u,[],,['chan2019'],,False,False,,1
mara1397-1-10-1,,mara1397-1,10,haura,haura,[],,['chan2019'],,False,False,,1
