ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mask1242-1-1-1,,mask1242-1,1,sua,sua,[],,[],,False,False,,1
mask1242-1-2-1,,mask1242-1,2,ɛɾu,ɛɾu,[],,[],,False,False,,1
mask1242-1-3-1,,mask1242-1,3,itøɾ,itøɾ,[],,[],,False,False,,1
mask1242-1-4-1,,mask1242-1,4,iβat,iβat,[],,[],,False,False,,1
mask1242-1-5-1,,mask1242-1,5,ɛɾɪm,ɛɾɪm,[],,[],,False,False,,1
mask1242-1-6-1,,mask1242-1,6,məlɛɸtɛs,məlɛɸtɛs,[],( 5 + 1 ),[],,False,False,,1
mask1242-1-7-1,,mask1242-1,7,məlɛβrʊ,məlɛβrʊ,[],( 5 + 2 ),[],,False,False,,1
mask1242-1-8-1,,mask1242-1,8,məlɛβtøɾ,məlɛβtøɾ,[],( 5 + 3 ),[],,False,False,,1
mask1242-1-9-1,,mask1242-1,9,məlapat,məlapat,[],( 5 + 4 ),[],,False,False,,1
mask1242-1-10-1,,mask1242-1,10,səŋaβyr,səŋaβyr,[],,[],,False,False,,1
mask1242-1-11-1,,mask1242-1,11,səŋaβyr pisan ɛsua,səŋaβyr pisan ɛsua,[],,[],,False,False,,1
mask1242-1-12-1,,mask1242-1,12,səŋaβyr pisan ɛɾu,səŋaβyr pisan ɛɾu,[],,[],,False,False,,1
mask1242-1-13-1,,mask1242-1,13,səŋaβyr pisan itøɾ,səŋaβyr pisan itøɾ,[],,[],,False,False,,1
mask1242-1-14-1,,mask1242-1,14,səŋaβyr pisan iβat,səŋaβyr pisan iβat,[],,[],,False,False,,1
mask1242-1-15-1,,mask1242-1,15,səŋaβyr pisan ɛɾɪm,səŋaβyr pisan ɛɾɪm,[],,[],,False,False,,1
mask1242-1-16-1,,mask1242-1,16,səŋaβyr pisan məlɛɸtɛs,səŋaβyr pisan məlɛɸtɛs,[],,[],,False,False,,1
mask1242-1-17-1,,mask1242-1,17,səŋaβyr pisan məlɛβrʊ,səŋaβyr pisan məlɛβrʊ,[],,[],,False,False,,1
mask1242-1-18-1,,mask1242-1,18,səŋaβyr pisan məlɛβtøɾ,səŋaβyr pisan məlɛβtøɾ,[],,[],,False,False,,1
mask1242-1-19-1,,mask1242-1,19,səŋaβyr pisan məlapat,səŋaβyr pisan məlapat,[],,[],,False,False,,1
mask1242-1-20-1,,mask1242-1,20,səŋaβyr βaxa ɾu,səŋaβyr βaxa ɾu,[],,[],,False,False,,1
mask1242-1-21-1,,mask1242-1,21,səŋaβyr βaxa ɾu pisan ɛsua,səŋaβyr βaxa ɾu pisan ɛsua,[],,[],,False,False,,1
mask1242-1-22-1,,mask1242-1,22,səŋaβyr βaxa ɾu pisan ɛɾu,səŋaβyr βaxa ɾu pisan ɛɾu,[],,[],,False,False,,1
mask1242-1-23-1,,mask1242-1,23,səŋaβyr βaxa ɾu pisan itøɾ,səŋaβyr βaxa ɾu pisan itøɾ,[],,[],,False,False,,1
mask1242-1-24-1,,mask1242-1,24,səŋaβyr βaxa ɾu pisan iβat,səŋaβyr βaxa ɾu pisan iβat,[],,[],,False,False,,1
mask1242-1-25-1,,mask1242-1,25,səŋaβyr βaxa ɾu pisan ɛɾɪm,səŋaβyr βaxa ɾu pisan ɛɾɪm,[],,[],,False,False,,1
mask1242-1-26-1,,mask1242-1,26,səŋaβyr βaxa ɾu pisan məlɛɸtɛs,səŋaβyr βaxa ɾu pisan məlɛɸtɛs,[],,[],,False,False,,1
mask1242-1-27-1,,mask1242-1,27,səŋaβyr βaxa ɾu pisan məlɛβrʊ,səŋaβyr βaxa ɾu pisan məlɛβrʊ,[],,[],,False,False,,1
mask1242-1-28-1,,mask1242-1,28,səŋaβyr βaxa ɾu pisan məlɛβtøɾ,səŋaβyr βaxa ɾu pisan məlɛβtøɾ,[],,[],,False,False,,1
mask1242-1-29-1,,mask1242-1,29,səŋaβyr βaxa ɾu pisan məlapat,səŋaβyr βaxa ɾu pisan məlapat,[],,[],,False,False,,1
mask1242-1-30-1,,mask1242-1,30,səŋaβyr βaxa toɾ,səŋaβyr βaxa toɾ,[],,[],,False,False,,1
mask1242-1-40-1,,mask1242-1,40,səŋaβyr βaxa βat,səŋaβyr βaxa βat,[],,[],,False,False,,1
mask1242-1-50-1,,mask1242-1,50,səŋaβyr βaxa ɾim,səŋaβyr βaxa ɾim,[],,[],,False,False,,1
mask1242-1-60-1,,mask1242-1,60,səŋaβyr βaxa məlɛɸtɛs,səŋaβyr βaxa məlɛɸtɛs,[],,[],,False,False,,1
mask1242-1-70-1,,mask1242-1,70,səŋaβyr βaxa məlɛβrʊ,səŋaβyr βaxa məlɛβrʊ,[],,[],,False,False,,1
mask1242-1-80-1,,mask1242-1,80,səŋaβyr βaxa məlɛβtøɾ,səŋaβyr βaxa məlɛβtøɾ,[],,[],,False,False,,1
mask1242-1-90-1,,mask1242-1,90,səŋaβyr βaxa məlapat,səŋaβyr βaxa məlapat,[],,[],,False,False,,1
mask1242-1-100-1,,mask1242-1,100,isab βaha-sua,isab βaha-sua,[],,[],,False,False,,1
mask1242-1-100-2,,mask1242-1,100,sab tosua,sab tosua,[],,[],,False,False,,1
mask1242-1-100-3,,mask1242-1,100,adret,adret,[],,[],,False,False,,1
mask1242-1-200-1,,mask1242-1,200,isab βaha-sua,isab βaha-sua,[],,[],,False,False,,1
mask1242-1-200-2,,mask1242-1,200,sab toɾu,sab toɾu,[],,[],,False,False,,1
mask1242-1-1000-1,,mask1242-1,1000,nəlai βaha-sua,nəlai βaha-sua,[],,[],,False,False,,1
mask1242-1-1000-2,,mask1242-1,1000,nəlai tosua,nəlai tosua,[],,[],,False,False,,1
mask1242-1-1000-3,,mask1242-1,1000,tausəd,tausəd,[],,[],,False,False,,1
mask1242-1-2000-1,,mask1242-1,2000,nəlai βaha-ɾu,nəlai βaha-ɾu,[],,[],,False,False,,1
mask1242-1-2000-2,,mask1242-1,2000,nəlai toɾu,nəlai toɾu,[],,[],,False,False,,1
