ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
mokl1243-1-1-1,,mokl1243-1,1,cʰaːʔ,cʰaːʔ,[],,[],,False,False,,1
mokl1243-1-2-1,,mokl1243-1,2,duwaːʔ,duwaːʔ,[],,[],,False,False,,1
mokl1243-1-3-1,,mokl1243-1,3,kəloy,kəloy,[],,[],,False,False,,1
mokl1243-1-3-2,,mokl1243-1,3,təlɔy,təlɔy,[],,[],,False,False,,1
mokl1243-1-4-1,,mokl1243-1,4,paːt,paːt,[],,[],,False,False,,1
mokl1243-1-5-1,,mokl1243-1,5,nɛmaːʔ,nɛmaːʔ,[],,[],,False,False,,1
mokl1243-1-6-1,,mokl1243-1,6,nam,nam,[],,[],,False,False,,1
mokl1243-1-7-1,,mokl1243-1,7,duyuːk,duyuːk,[],,[],,False,False,,1
mokl1243-1-7-2,,mokl1243-1,7,duɟuːk,duɟuːk,[],,[],,False,False,,1
mokl1243-1-8-1,,mokl1243-1,8,waloy,waloy,[],,[],,False,False,,1
mokl1243-1-9-1,,mokl1243-1,9,cʰɛway,cʰɛway,[],,[],,False,False,,1
mokl1243-1-10-1,,mokl1243-1,10,cʰəplɔh,cʰəplɔh,[],,[],,False,False,,1
mokl1243-1-11-1,,mokl1243-1,11,(cʰə)plɔh cɛːt,(cʰə)plɔh cɛːt,[],,[],,False,False,,1
mokl1243-1-12-1,,mokl1243-1,12,plɔhwaːʔ,plɔhwaːʔ,[],,[],,False,False,,1
mokl1243-1-13-1,,mokl1243-1,13,plɔhləy,plɔhləy,[],,[],,False,False,,1
mokl1243-1-14-1,,mokl1243-1,14,plɔhpaːt,plɔhpaːt,[],,[],,False,False,,1
mokl1243-1-15-1,,mokl1243-1,15,plɔhmaːʔ,plɔhmaːʔ,[],,[],,False,False,,1
mokl1243-1-16-1,,mokl1243-1,16,plɔhnam,plɔhnam,[],,[],,False,False,,1
mokl1243-1-17-1,,mokl1243-1,17,plɔhyuːk,plɔhyuːk,[],,[],,False,False,,1
mokl1243-1-18-1,,mokl1243-1,18,plɔhwaloy,plɔhwaloy,[],,[],,False,False,,1
mokl1243-1-19-1,,mokl1243-1,19,plɔhway,plɔhway,[],,[],,False,False,,1
mokl1243-1-20-1,,mokl1243-1,20,waːʔplɔh,waːʔplɔh,[],,[],,False,False,,1
mokl1243-1-21-1,,mokl1243-1,21,waːʔplɔhcɛːt,waːʔplɔhcɛːt,[],,[],,False,False,,1
mokl1243-1-22-1,,mokl1243-1,22,waːʔplɔhwaːʔ,waːʔplɔhwaːʔ,[],,[],,False,False,,1
mokl1243-1-23-1,,mokl1243-1,23,waːʔplɔhləy,waːʔplɔhləy,[],,[],,False,False,,1
mokl1243-1-24-1,,mokl1243-1,24,waːʔplɔhpaːt,waːʔplɔhpaːt,[],,[],,False,False,,1
mokl1243-1-25-1,,mokl1243-1,25,waːʔplɔhmaːʔ,waːʔplɔhmaːʔ,[],,[],,False,False,,1
mokl1243-1-26-1,,mokl1243-1,26,waːʔplɔhnam,waːʔplɔhnam,[],,[],,False,False,,1
mokl1243-1-27-1,,mokl1243-1,27,waːʔplɔhyuːk,waːʔplɔhyuːk,[],,[],,False,False,,1
mokl1243-1-28-1,,mokl1243-1,28,waːʔplɔhwaloy,waːʔplɔhwaloy,[],,[],,False,False,,1
mokl1243-1-29-1,,mokl1243-1,29,waːʔplɔhway,waːʔplɔhway,[],,[],,False,False,,1
mokl1243-1-30-1,,mokl1243-1,30,təloyplɔh,təloyplɔh,[],,[],,False,False,,1
mokl1243-1-40-1,,mokl1243-1,40,paːtplɔh,paːtplɔh,[],,[],,False,False,,1
mokl1243-1-50-1,,mokl1243-1,50,maplɔh,maplɔh,[],,[],,False,False,,1
mokl1243-1-60-1,,mokl1243-1,60,namplɔh,namplɔh,[],,[],,False,False,,1
mokl1243-1-70-1,,mokl1243-1,70,yuːkplɔh,yuːkplɔh,[],,[],,False,False,,1
mokl1243-1-80-1,,mokl1243-1,80,waloyplɔh,waloyplɔh,[],,[],,False,False,,1
mokl1243-1-90-1,,mokl1243-1,90,wayplɔh,wayplɔh,[],,[],,False,False,,1
mokl1243-1-100-1,,mokl1243-1,100,ʔanatɔh,ʔanatɔh,[],,[],,False,False,,1
mokl1243-1-200-1,,mokl1243-1,200,waːʔnatɔh,waːʔnatɔh,[],,[],,False,False,,1
mokl1243-1-1000-1,,mokl1243-1,1000,apʰan,apʰan,[],( < Thai  ),[],,True,False,,1
mokl1243-1-2000-1,,mokl1243-1,2000,waːʔpʰan,waːʔpʰan,[],,[],,False,False,,1
