ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
nort2845-1-1-1,,nort2845-1,1,e tahi,e tahi,[],,['chan2019'],,False,False,,1
nort2845-1-2-1,,nort2845-1,2,e ʔua,e ʔua,[],,['chan2019'],,False,False,,1
nort2845-1-3-1,,nort2845-1,3,e toʔu,e toʔu,[],,['chan2019'],,False,False,,1
nort2845-1-4-1,,nort2845-1,4,e haː,e haː,[],,['chan2019'],,False,False,,1
nort2845-1-5-1,,nort2845-1,5,e ʔima,e ʔima,[],,['chan2019'],,False,False,,1
nort2845-1-6-1,,nort2845-1,6,e ono,e ono,[],,['chan2019'],,False,False,,1
nort2845-1-7-1,,nort2845-1,7,e hitu,e hitu,[],,['chan2019'],,False,False,,1
nort2845-1-8-1,,nort2845-1,8,e vaʔu,e vaʔu,[],,['chan2019'],,False,False,,1
nort2845-1-9-1,,nort2845-1,9,e iva,e iva,[],,['chan2019'],,False,False,,1
nort2845-1-10-1,,nort2845-1,10,ʔonohuʔu,ʔonohuʔu,[],,['chan2019'],,False,False,,1
nort2845-1-11-1,,nort2845-1,11,ʔonohuʔu ma tahi,ʔonohuʔu ma tahi,[],,['chan2019'],,False,False,,1
nort2845-1-12-1,,nort2845-1,12,ʔonohuʔu ma ʔua,ʔonohuʔu ma ʔua,[],,['chan2019'],,False,False,,1
nort2845-1-13-1,,nort2845-1,13,ʔonohuʔu ma toʔu,ʔonohuʔu ma toʔu,[],,['chan2019'],,False,False,,1
nort2845-1-14-1,,nort2845-1,14,ʔonohuʔu ma haː,ʔonohuʔu ma haː,[],,['chan2019'],,False,False,,1
nort2845-1-15-1,,nort2845-1,15,ʔonohuʔu ma ʔima,ʔonohuʔu ma ʔima,[],,['chan2019'],,False,False,,1
nort2845-1-16-1,,nort2845-1,16,ʔonohuʔu ma ono,ʔonohuʔu ma ono,[],,['chan2019'],,False,False,,1
nort2845-1-17-1,,nort2845-1,17,ʔonohuʔu ma hitu,ʔonohuʔu ma hitu,[],,['chan2019'],,False,False,,1
nort2845-1-18-1,,nort2845-1,18,ʔonohuʔu ma vaʔu,ʔonohuʔu ma vaʔu,[],,['chan2019'],,False,False,,1
nort2845-1-19-1,,nort2845-1,19,ʔonohuʔu ma iva,ʔonohuʔu ma iva,[],,['chan2019'],,False,False,,1
nort2845-1-20-1,,nort2845-1,20,tekau,tekau,[],,['chan2019'],,False,False,,1
nort2845-1-21-1,,nort2845-1,21,tekau ma tahi,tekau ma tahi,[],,['chan2019'],,False,False,,1
nort2845-1-22-1,,nort2845-1,22,tekau ma ʔua,tekau ma ʔua,[],,['chan2019'],,False,False,,1
nort2845-1-23-1,,nort2845-1,23,tekau ma toʔu,tekau ma toʔu,[],,['chan2019'],,False,False,,1
nort2845-1-24-1,,nort2845-1,24,tekau ma faː,tekau ma faː,[],,['chan2019'],,False,False,,1
nort2845-1-25-1,,nort2845-1,25,tekau ma ʔima,tekau ma ʔima,[],,['chan2019'],,False,False,,1
nort2845-1-26-1,,nort2845-1,26,tekau ma ono,tekau ma ono,[],,['chan2019'],,False,False,,1
nort2845-1-27-1,,nort2845-1,27,tekau ma fitu,tekau ma fitu,[],,['chan2019'],,False,False,,1
