ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
rapa1245-2-1-1,,rapa1245-2,1,taʔi,taʔi,[],,[],,False,False,,2
rapa1245-2-1-2,,rapa1245-2,1,koːtaʔi,koːtaʔi,[],,[],,False,False,,2
rapa1245-2-2-1,,rapa1245-2,2,rua,rua,[],,[],,False,False,,2
rapa1245-2-3-1,,rapa1245-2,3,toru,toru,[],,[],,False,False,,2
rapa1245-2-4-1,,rapa1245-2,4,ʔaː,ʔaː,[],,[],,False,False,,2
rapa1245-2-4-2,,rapa1245-2,4,maʔa,maʔa,[],,[],,False,False,,2
rapa1245-2-5-1,,rapa1245-2,5,rima,rima,[],,[],,False,False,,2
rapa1245-2-6-1,,rapa1245-2,6,ono,ono,[],,[],,False,False,,2
rapa1245-2-7-1,,rapa1245-2,7,ʔitu,ʔitu,[],,[],,False,False,,2
rapa1245-2-8-1,,rapa1245-2,8,varu,varu,[],,[],,False,False,,2
rapa1245-2-8-2,,rapa1245-2,8,vaʔu,vaʔu,[],,[],,False,False,,2
rapa1245-2-9-1,,rapa1245-2,9,iva,iva,[],,[],,False,False,,2
rapa1245-2-10-1,,rapa1245-2,10,(koːtaʔi) roŋouru,(koːtaʔi) roŋouru,[],,[],,False,False,,2
rapa1245-2-11-1,,rapa1245-2,11,koːtaʔi roŋouru ma taʔi,koːtaʔi roŋouru ma taʔi,[],,[],,False,False,,2
rapa1245-2-12-1,,rapa1245-2,12,koːtaʔi roŋouru ma rua,koːtaʔi roŋouru ma rua,[],,[],,False,False,,2
rapa1245-2-13-1,,rapa1245-2,13,koːtaʔi roŋouru ma toru,koːtaʔi roŋouru ma toru,[],,[],,False,False,,2
rapa1245-2-14-1,,rapa1245-2,14,koːtaʔi roŋouru ma ʔaː,koːtaʔi roŋouru ma ʔaː,[],,[],,False,False,,2
rapa1245-2-15-1,,rapa1245-2,15,koːtaʔi roŋouru ma rima,koːtaʔi roŋouru ma rima,[],,[],,False,False,,2
rapa1245-2-16-1,,rapa1245-2,16,koːtaʔi roŋouru ma ono,koːtaʔi roŋouru ma ono,[],,[],,False,False,,2
rapa1245-2-17-1,,rapa1245-2,17,koːtaʔi roŋouru ma ʔitu,koːtaʔi roŋouru ma ʔitu,[],,[],,False,False,,2
rapa1245-2-18-1,,rapa1245-2,18,koːtaʔi roŋouru ma varu,koːtaʔi roŋouru ma varu,[],,[],,False,False,,2
rapa1245-2-19-1,,rapa1245-2,19,koːtaʔi roŋouru ma iva,koːtaʔi roŋouru ma iva,[],,[],,False,False,,2
rapa1245-2-20-1,,rapa1245-2,20,rua roŋouru,rua roŋouru,[],,[],,False,False,,2
rapa1245-2-21-1,,rapa1245-2,21,rua roŋouru ma taʔi,rua roŋouru ma taʔi,[],,[],,False,False,,2
rapa1245-2-22-1,,rapa1245-2,22,rua roŋouru ma rua,rua roŋouru ma rua,[],,[],,False,False,,2
rapa1245-2-23-1,,rapa1245-2,23,rua roŋouru ma toru,rua roŋouru ma toru,[],,[],,False,False,,2
rapa1245-2-24-1,,rapa1245-2,24,rua roŋouru ma ʔaː,rua roŋouru ma ʔaː,[],,[],,False,False,,2
rapa1245-2-25-1,,rapa1245-2,25,rua roŋouru ma rima,rua roŋouru ma rima,[],,[],,False,False,,2
rapa1245-2-26-1,,rapa1245-2,26,rua roŋouru ma ono,rua roŋouru ma ono,[],,[],,False,False,,2
rapa1245-2-27-1,,rapa1245-2,27,rua roŋouru ma ʔitu,rua roŋouru ma ʔitu,[],,[],,False,False,,2
rapa1245-2-28-1,,rapa1245-2,28,rua roŋouru ma varu,rua roŋouru ma varu,[],,[],,False,False,,2
rapa1245-2-29-1,,rapa1245-2,29,rua roŋouru ma iva,rua roŋouru ma iva,[],,[],,False,False,,2
rapa1245-2-30-1,,rapa1245-2,30,toru roŋouru,toru roŋouru,[],,[],,False,False,,2
rapa1245-2-40-1,,rapa1245-2,40,ʔaː roŋouru,ʔaː roŋouru,[],,[],,False,False,,2
rapa1245-2-50-1,,rapa1245-2,50,rima roŋouru,rima roŋouru,[],,[],,False,False,,2
rapa1245-2-60-1,,rapa1245-2,60,ono roŋouru,ono roŋouru,[],,[],,False,False,,2
rapa1245-2-70-1,,rapa1245-2,70,ʔitu roŋouru,ʔitu roŋouru,[],,[],,False,False,,2
rapa1245-2-80-1,,rapa1245-2,80,varu roŋouru,varu roŋouru,[],,[],,False,False,,2
rapa1245-2-90-1,,rapa1245-2,90,iva roŋouru,iva roŋouru,[],,[],,False,False,,2
rapa1245-2-100-1,,rapa1245-2,100,(koːtaʔi) rau,(koːtaʔi) rau,[],,[],,False,False,,2
rapa1245-2-100-2,,rapa1245-2,100,hoːʔeː haːnere,hoːʔeː haːnere,[],,[],,False,False,,2
rapa1245-2-200-1,,rapa1245-2,200,rua rau,rua rau,[],,[],,False,False,,2
rapa1245-2-200-2,,rapa1245-2,200,piti haːnere,piti haːnere,[],,[],,False,False,,2
rapa1245-2-1000-1,,rapa1245-2,1000,(koːtaʔi) mano,(koːtaʔi) mano,[],,[],,False,False,,2
rapa1245-2-1000-2,,rapa1245-2,1000,hoːʔeː taʔutini,hoːʔeː taʔutini,[],,[],,False,False,,2
rapa1245-2-2000-1,,rapa1245-2,2000,rua mano,rua mano,[],,[],,False,False,,2
rapa1245-2-2000-2,,rapa1245-2,2000,piti taʔutini,piti taʔutini,[],,[],,False,False,,2
