ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
sang1337-1-1,,sang1337,1,sa,sa,[],,[],,False,Sangil.htm,False,,1
sang1337-1-2,,sang1337,1,sɨmbauʔ,sɨmbauʔ,[],,[],,False,Sangil.htm,False,,1
sang1337-2-1,,sang1337,2,dua,dua,[],,[],,False,Sangil.htm,False,,1
sang1337-2-2,,sang1337,2,daɭua,daɭua,[],,[],,False,Sangil.htm,False,,1
sang1337-3-1,,sang1337,3,taw,taw,[],,[],,False,Sangil.htm,False,,1
sang1337-3-2,,sang1337,3,tataw,tataw,[],,[],,False,Sangil.htm,False,,1
sang1337-4-1,,sang1337,4,paʔ,paʔ,[],,[],,False,Sangil.htm,False,,1
sang1337-5-1,,sang1337,5,lima,lima,[],,[],,False,Sangil.htm,False,,1
sang1337-6-1,,sang1337,6,nuŋ,nuŋ,[],,[],,False,Sangil.htm,False,,1
sang1337-7-1,,sang1337,7,pitu,pitu,[],,[],,False,Sangil.htm,False,,1
sang1337-8-1,,sang1337,8,waw,waw,[],,[],,False,Sangil.htm,False,,1
sang1337-9-1,,sang1337,9,siaw,siaw,[],,[],,False,Sangil.htm,False,,1
sang1337-10-1,,sang1337,10,mapuo,mapuo,[],,[],,False,Sangil.htm,False,,1
sang1337-11-1,,sang1337,11,mapuo sa,mapuo sa,[],,[],,False,Sangil.htm,False,,1
sang1337-12-1,,sang1337,12,mapuo dua,mapuo dua,[],,[],,False,Sangil.htm,False,,1
sang1337-13-1,,sang1337,13,mapuo taw,mapuo taw,[],,[],,False,Sangil.htm,False,,1
sang1337-14-1,,sang1337,14,mapuo paʔ,mapuo paʔ,[],,[],,False,Sangil.htm,False,,1
sang1337-15-1,,sang1337,15,mapuo lima,mapuo lima,[],,[],,False,Sangil.htm,False,,1
sang1337-16-1,,sang1337,16,mapuo nuŋ,mapuo nuŋ,[],,[],,False,Sangil.htm,False,,1
sang1337-17-1,,sang1337,17,mapuo pitu,mapuo pitu,[],,[],,False,Sangil.htm,False,,1
sang1337-18-1,,sang1337,18,mapuo waw,mapuo waw,[],,[],,False,Sangil.htm,False,,1
sang1337-19-1,,sang1337,19,mapuo siaw,mapuo siaw,[],,[],,False,Sangil.htm,False,,1
sang1337-20-1,,sang1337,20,duampuo,duampuo,[],,[],,False,Sangil.htm,False,,1
sang1337-21-1,,sang1337,21,duampuo sa,duampuo sa,[],,[],,False,Sangil.htm,False,,1
sang1337-22-1,,sang1337,22,duampuo rua,duampuo rua,[],,[],,False,Sangil.htm,False,,1
sang1337-23-1,,sang1337,23,duampuo taw,duampuo taw,[],,[],,False,Sangil.htm,False,,1
sang1337-24-1,,sang1337,24,duampuo paʔ,duampuo paʔ,[],,[],,False,Sangil.htm,False,,1
sang1337-25-1,,sang1337,25,duampuo lima,duampuo lima,[],,[],,False,Sangil.htm,False,,1
sang1337-26-1,,sang1337,26,duampuo nuŋ,duampuo nuŋ,[],,[],,False,Sangil.htm,False,,1
sang1337-27-1,,sang1337,27,duampuo pitu,duampuo pitu,[],,[],,False,Sangil.htm,False,,1
sang1337-28-1,,sang1337,28,duampuo waw,duampuo waw,[],,[],,False,Sangil.htm,False,,1
sang1337-29-1,,sang1337,29,duampuo siaw,duampuo siaw,[],,[],,False,Sangil.htm,False,,1
sang1337-30-1,,sang1337,30,taumpuo,taumpuo,[],,[],,False,Sangil.htm,False,,1
sang1337-40-1,,sang1337,40,paʔ umpuo,paʔ umpuo,[],,[],,False,Sangil.htm,False,,1
sang1337-50-1,,sang1337,50,limampuo,limampuo,[],,[],,False,Sangil.htm,False,,1
sang1337-60-1,,sang1337,60,nuŋ puo,nuŋ puo,[],,[],,False,Sangil.htm,False,,1
sang1337-70-1,,sang1337,70,pitumpuo,pitumpuo,[],,[],,False,Sangil.htm,False,,1
sang1337-80-1,,sang1337,80,wawumpuo,wawumpuo,[],,[],,False,Sangil.htm,False,,1
sang1337-90-1,,sang1337,90,siampuo,siampuo,[],,[],,False,Sangil.htm,False,,1
sang1337-100-1,,sang1337,100,marasuʔ,marasuʔ,[],,[],,False,Sangil.htm,False,,1
sang1337-200-1,,sang1337,200,duarasuʔ,duarasuʔ,[],,[],,False,Sangil.htm,False,,1
sang1337-1000-1,,sang1337,1000,sɨriβu,sɨriβu,[],,[],,False,Sangil.htm,False,,1
sang1337-2000-1,,sang1337,2000,duariβu,duariβu,[],,[],,False,Sangil.htm,False,,1
