ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
weje1237-1-1-1,,weje1237-1,1,iya,iya,[],,[],,False,False,,1
weje1237-1-2-1,,weje1237-1,2,duada,duada,[],,[],,False,False,,1
weje1237-1-3-1,,weje1237-1,3,touda,touda,[],,[],,False,False,,1
weje1237-1-4-1,,weje1237-1,4,pata,pata,[],,[],,False,False,,1
weje1237-1-5-1,,weje1237-1,5,limma,limma,[],,[],,False,False,,1
weje1237-1-6-1,,weje1237-1,6,enne,enne,[],( e = [e] or [ə] ??),[],,False,False,,1
weje1237-1-7-1,,weje1237-1,7,pittu,pittu,[],,[],,False,False,,1
weje1237-1-8-1,,weje1237-1,8,poddo,poddo,[],,[],,False,False,,1
weje1237-1-9-1,,weje1237-1,9,iwwa,iwwa,[],,[],,False,False,,1
weje1237-1-10-1,,weje1237-1,10,kabullu,kabullu,[],,[],,False,False,,1
weje1237-1-11-1,,weje1237-1,11,kabullu iya,kabullu iya,[],,[],,False,False,,1
weje1237-1-12-1,,weje1237-1,12,kabullu duada,kabullu duada,[],,[],,False,False,,1
weje1237-1-13-1,,weje1237-1,13,kabullu touda,kabullu touda,[],,[],,False,False,,1
weje1237-1-14-1,,weje1237-1,14,kabullu pata,kabullu pata,[],,[],,False,False,,1
weje1237-1-15-1,,weje1237-1,15,kabullu limma,kabullu limma,[],,[],,False,False,,1
weje1237-1-16-1,,weje1237-1,16,kabullu enne,kabullu enne,[],,[],,False,False,,1
weje1237-1-17-1,,weje1237-1,17,kabullu pittu,kabullu pittu,[],,[],,False,False,,1
weje1237-1-18-1,,weje1237-1,18,kabullu poddo,kabullu poddo,[],,[],,False,False,,1
weje1237-1-19-1,,weje1237-1,19,kabullu iwa,kabullu iwa,[],,[],,False,False,,1
weje1237-1-20-1,,weje1237-1,20,duakabullu,duakabullu,[],,[],,False,False,,1
weje1237-1-21-1,,weje1237-1,21,duakabullu iya,duakabullu iya,[],,[],,False,False,,1
weje1237-1-22-1,,weje1237-1,22,duakabullu duada,duakabullu duada,[],,[],,False,False,,1
weje1237-1-23-1,,weje1237-1,23,duakabullu touda,duakabullu touda,[],,[],,False,False,,1
weje1237-1-24-1,,weje1237-1,24,duakabullu pata,duakabullu pata,[],,[],,False,False,,1
weje1237-1-25-1,,weje1237-1,25,duakabullu limma,duakabullu limma,[],,[],,False,False,,1
weje1237-1-26-1,,weje1237-1,26,duakabullu enne,duakabullu enne,[],,[],,False,False,,1
weje1237-1-27-1,,weje1237-1,27,duakabullu pittu,duakabullu pittu,[],,[],,False,False,,1
weje1237-1-28-1,,weje1237-1,28,duakabullu poddo,duakabullu poddo,[],,[],,False,False,,1
weje1237-1-29-1,,weje1237-1,29,duakabullu iwwa,duakabullu iwwa,[],,[],,False,False,,1
weje1237-1-30-1,,weje1237-1,30,toudakabullu,toudakabullu,[],,[],,False,False,,1
weje1237-1-40-1,,weje1237-1,40,patakabullu,patakabullu,[],,[],,False,False,,1
weje1237-1-50-1,,weje1237-1,50,limmakabullu,limmakabullu,[],,[],,False,False,,1
weje1237-1-60-1,,weje1237-1,60,ennekabullu,ennekabullu,[],,[],,False,False,,1
weje1237-1-70-1,,weje1237-1,70,pittukabullu,pittukabullu,[],,[],,False,False,,1
weje1237-1-80-1,,weje1237-1,80,podopatakabullu,podopatakabullu,[],,[],,False,False,,1
weje1237-1-90-1,,weje1237-1,90,iwwakabullu,iwwakabullu,[],,[],,False,False,,1
weje1237-1-100-1,,weje1237-1,100,ŋau,ŋau,[],,[],,False,False,,1
weje1237-1-200-1,,weje1237-1,200,duadaŋau,duadaŋau,[],,[],,False,False,,1
weje1237-1-1000-1,,weje1237-1,1000,rata,rata,[],,[],,False,False,,1
weje1237-1-2000-1,,weje1237-1,2000,duarata,duarata,[],,[],,False,False,,1
