ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
yabe1254-2-1-1,,yabe1254-2,1,tɛŋ,tɛŋ,[],,[],,False,False,,2
yabe1254-2-1-2,,yabe1254-2,1,ta-ɛŋ,ta-ɛŋ,[],,[],,False,False,,2
yabe1254-2-2-1,,yabe1254-2,2,luàɡeʔ,luàɡeʔ,[],,[],,False,False,,2
yabe1254-2-2-2,,yabe1254-2,2,làɡeʔ,làɡeʔ,[],,[],,False,False,,2
yabe1254-2-3-1,,yabe1254-2,3,teleàʔ,teleàʔ,[],,[],,False,False,,2
yabe1254-2-4-1,,yabe1254-2,4,àʔlèʔ,àʔlèʔ,[],,[],,False,False,,2
yabe1254-2-5-1,,yabe1254-2,5,lɛmɛŋ tɛŋ,lɛmɛŋ tɛŋ,[],(litː 'hand one'),[],,False,False,,2
yabe1254-2-6-1,,yabe1254-2,6,lɛmɛŋ tɛŋ ŋano ta,lɛmɛŋ tɛŋ ŋano ta,[],( 5 + 1 ),[],,False,False,,2
yabe1254-2-7-1,,yabe1254-2,7,lɛmɛŋ tɛŋ ŋano luàɡeʔ,lɛmɛŋ tɛŋ ŋano luàɡeʔ,[],( 5 + 2 ),[],,False,False,,2
yabe1254-2-8-1,,yabe1254-2,8,lɛmɛŋ tɛŋ ŋano teleàʔ,lɛmɛŋ tɛŋ ŋano teleàʔ,[],( 5 + 3 ),[],,False,False,,2
yabe1254-2-9-1,,yabe1254-2,9,lɛmɛŋ tɛŋ ŋano àʔlèʔ,lɛmɛŋ tɛŋ ŋano àʔlèʔ,[],( 5 + 4 ),[],,False,False,,2
yabe1254-2-10-1,,yabe1254-2,10,lɛmɛŋ lu,lɛmɛŋ lu,[],(litː 'hands two'),[],,False,False,,2
yabe1254-2-11-1,,yabe1254-2,11,lɛmɛŋ lu ŋano ta,lɛmɛŋ lu ŋano ta,[],,[],,False,False,,2
yabe1254-2-12-1,,yabe1254-2,12,lɛmɛŋ lu ŋano luàɡeʔ,lɛmɛŋ lu ŋano luàɡeʔ,[],,[],,False,False,,2
yabe1254-2-13-1,,yabe1254-2,13,lɛmɛŋ lu ŋano teleàʔ,lɛmɛŋ lu ŋano teleàʔ,[],,[],,False,False,,2
yabe1254-2-14-1,,yabe1254-2,14,lɛmɛŋ lu ŋano àʔlèʔ,lɛmɛŋ lu ŋano àʔlèʔ,[],,[],,False,False,,2
yabe1254-2-15-1,,yabe1254-2,15,lɛmɛŋ lu ŋano lɛmɛŋtɛŋ,lɛmɛŋ lu ŋano lɛmɛŋtɛŋ,[],,[],,False,False,,2
