ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
bagi1246-1-1-1,,bagi1246-1,1,kɛ́ɗɛ̀,kɛ́ɗɛ̀,[],,[],,False,False,,1
bagi1246-1-2-1,,bagi1246-1,2,sapi,sapi,[],,[],,False,False,,1
bagi1246-1-3-1,,bagi1246-1,3,mtá,mtá,[],,[],,False,False,,1
bagi1246-1-4-1,,bagi1246-1,4,só,só,[],,[],,False,False,,1
bagi1246-1-5-1,,bagi1246-1,5,mí,mí,[],,[],,False,False,,1
bagi1246-1-6-1,,bagi1246-1,6,mìká,mìká,[],,[],,False,False,,1
bagi1246-1-7-1,,bagi1246-1,7,tʃílí,tʃílí,[],,[],,False,False,,1
bagi1246-1-8-1,,bagi1246-1,8,marta,marta,[],,[],,False,False,,1
bagi1246-1-9-1,,bagi1246-1,9,doso,doso,[],,[],,False,False,,1
bagi1246-1-10-1,,bagi1246-1,10,dòk kemɛ́,dòk kemɛ́,[],,[],,False,False,,1
bagi1246-1-11-1,,bagi1246-1,11,dòk kemɛ́ kàr kɛ́ɗɛ̀,dòk kemɛ́ kàr kɛ́ɗɛ̀,[],,[],,False,False,,1
bagi1246-1-12-1,,bagi1246-1,12,dòk kemɛ́ kàr sap,dòk kemɛ́ kàr sap,[],,[],,False,False,,1
bagi1246-1-13-1,,bagi1246-1,13,dòk kemɛ́ kàr mtá,dòk kemɛ́ kàr mtá,[],,[],,False,False,,1
bagi1246-1-14-1,,bagi1246-1,14,dòk kemɛ́ kàr só,dòk kemɛ́ kàr só,[],,[],,False,False,,1
bagi1246-1-15-1,,bagi1246-1,15,dòk kemɛ́ kàr mí,dòk kemɛ́ kàr mí,[],,[],,False,False,,1
bagi1246-1-16-1,,bagi1246-1,16,dòk kemɛ́ kàr mìká,dòk kemɛ́ kàr mìká,[],,[],,False,False,,1
bagi1246-1-17-1,,bagi1246-1,17,dòk kemɛ́ kàr tʃí̄lí,dòk kemɛ́ kàr tʃí̄lí,[],,[],,False,False,,1
bagi1246-1-18-1,,bagi1246-1,18,dòk kemɛ́ kàr marta,dòk kemɛ́ kàr marta,[],,[],,False,False,,1
bagi1246-1-19-1,,bagi1246-1,19,dòk kemɛ́ kàr doso,dòk kemɛ́ kàr doso,[],,[],,False,False,,1
bagi1246-1-20-1,,bagi1246-1,20,dùɡ sap,dùɡ sap,[],,[],,False,False,,1
bagi1246-1-21-1,,bagi1246-1,21,dùɡ sap kàr kɛ́ɗɛ̀,dùɡ sap kàr kɛ́ɗɛ̀,[],,[],,False,False,,1
bagi1246-1-22-1,,bagi1246-1,22,dùɡ sap kàr sap,dùɡ sap kàr sap,[],,[],,False,False,,1
bagi1246-1-23-1,,bagi1246-1,23,dùɡ sap kàr mtá,dùɡ sap kàr mtá,[],,[],,False,False,,1
bagi1246-1-24-1,,bagi1246-1,24,dùɡ sap kàr só,dùɡ sap kàr só,[],,[],,False,False,,1
bagi1246-1-25-1,,bagi1246-1,25,dùɡ sap kàr mí,dùɡ sap kàr mí,[],,[],,False,False,,1
bagi1246-1-26-1,,bagi1246-1,26,dùɡ sap kàr mìká,dùɡ sap kàr mìká,[],,[],,False,False,,1
bagi1246-1-27-1,,bagi1246-1,27,dùɡ sap kàr tʃílí,dùɡ sap kàr tʃílí,[],,[],,False,False,,1
bagi1246-1-28-1,,bagi1246-1,28,dùɡ sap kàr marta,dùɡ sap kàr marta,[],,[],,False,False,,1
bagi1246-1-29-1,,bagi1246-1,29,dùɡ sap kàr doso,dùɡ sap kàr doso,[],,[],,False,False,,1
bagi1246-1-30-1,,bagi1246-1,30,dùɡ mtá,dùɡ mtá,[],,[],,False,False,,1
bagi1246-1-40-1,,bagi1246-1,40,dùɡ só,dùɡ só,[],,[],,False,False,,1
bagi1246-1-50-1,,bagi1246-1,50,dùɡ mí,dùɡ mí,[],,[],,False,False,,1
bagi1246-1-60-1,,bagi1246-1,60,dùɡ mìká,dùɡ mìká,[],,[],,False,False,,1
bagi1246-1-70-1,,bagi1246-1,70,dùɡ tʃí̄lí,dùɡ tʃí̄lí,[],,[],,False,False,,1
bagi1246-1-80-1,,bagi1246-1,80,dùɡ marta,dùɡ marta,[],,[],,False,False,,1
bagi1246-1-90-1,,bagi1246-1,90,dùɡ doso,dùɡ doso,[],,[],,False,False,,1
bagi1246-1-100-1,,bagi1246-1,100,àrú,àrú,[],,[],,False,False,,1
bagi1246-1-200-1,,bagi1246-1,200,àrú sap,àrú sap,[],,[],,False,False,,1
bagi1246-1-1000-1,,bagi1246-1,1000,dubú,dubú,[],< Hausa ,[],,True,False,,1
bagi1246-1-2000-1,,bagi1246-1,2000,dubú sap,dubú sap,[],,[],,False,False,,1
