ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
ravu1237-1-1-1,,ravu1237-1,1,ond͡ʒu,ond͡ʒu,[],,[],,False,False,,1
ravu1237-1-2-1,,ravu1237-1,2,iraːɳɖu,iraːɳɖu,[],,[],,False,False,,1
ravu1237-1-3-1,,ravu1237-1,3,muːnd͡ʒu,muːnd͡ʒu,[],,[],,False,False,,1
ravu1237-1-4-1,,ravu1237-1,4,naːlu,naːlu,[],,[],,False,False,,1
ravu1237-1-5-1,,ravu1237-1,5,and͡ʒu,and͡ʒu,[],,[],,False,False,,1
ravu1237-1-6-1,,ravu1237-1,6,aːru,aːru,[],,[],,False,False,,1
ravu1237-1-7-1,,ravu1237-1,7,eːju,eːju,[],,[],,False,False,,1
ravu1237-1-8-1,,ravu1237-1,8,eʈʈu,eʈʈu,[],,[],,False,False,,1
ravu1237-1-9-1,,ravu1237-1,9,ojmbadu,ojmbadu,[],,[],,False,False,,1
ravu1237-1-10-1,,ravu1237-1,10,pattu,pattu,[],,[],,False,False,,1
ravu1237-1-11-1,,ravu1237-1,11,pannondu,pannondu,[],,[],,False,False,,1
ravu1237-1-12-1,,ravu1237-1,12,pandiraːɳɖu,pandiraːɳɖu,[],,[],,False,False,,1
ravu1237-1-13-1,,ravu1237-1,13,padinmuːnd͡ʒu,padinmuːnd͡ʒu,[],,[],,False,False,,1
ravu1237-1-14-1,,ravu1237-1,14,padinaːlu,padinaːlu,[],,[],,False,False,,1
ravu1237-1-15-1,,ravu1237-1,15,padinand͡ʒu,padinand͡ʒu,[],,[],,False,False,,1
ravu1237-1-16-1,,ravu1237-1,16,padinaːru,padinaːru,[],,[],,False,False,,1
ravu1237-1-17-1,,ravu1237-1,17,padineːju,padineːju,[],,[],,False,False,,1
ravu1237-1-18-1,,ravu1237-1,18,padineʈʈu,padineʈʈu,[],,[],,False,False,,1
ravu1237-1-19-1,,ravu1237-1,19,pattojmbadu,pattojmbadu,[],,[],,False,False,,1
ravu1237-1-20-1,,ravu1237-1,20,iruvadu,iruvadu,[],,[],,False,False,,1
ravu1237-1-21-1,,ravu1237-1,21,iruvattond͡ʒu,iruvattond͡ʒu,[],,[],,False,False,,1
ravu1237-1-22-1,,ravu1237-1,22,iruvattraːɳɖu,iruvattraːɳɖu,[],,[],,False,False,,1
ravu1237-1-23-1,,ravu1237-1,23,iruvattmuːnd͡ʒ,iruvattmuːnd͡ʒ,[],,[],,False,False,,1
ravu1237-1-24-1,,ravu1237-1,24,iruvattnaːlu,iruvattnaːlu,[],,[],,False,False,,1
ravu1237-1-25-1,,ravu1237-1,25,iruvattand͡ʒu,iruvattand͡ʒu,[],,[],,False,False,,1
ravu1237-1-26-1,,ravu1237-1,26,iruvattaːru,iruvattaːru,[],,[],,False,False,,1
ravu1237-1-27-1,,ravu1237-1,27,iruvatteːju,iruvatteːju,[],,[],,False,False,,1
ravu1237-1-28-1,,ravu1237-1,28,iruvatteʈʈu,iruvatteʈʈu,[],,[],,False,False,,1
ravu1237-1-29-1,,ravu1237-1,29,iruvattojmbadu,iruvattojmbadu,[],,[],,False,False,,1
ravu1237-1-30-1,,ravu1237-1,30,muppadu,muppadu,[],,[],,False,False,,1
ravu1237-1-40-1,,ravu1237-1,40,naːpadu,naːpadu,[],,[],,False,False,,1
ravu1237-1-50-1,,ravu1237-1,50,ajmbadu,ajmbadu,[],,[],,False,False,,1
ravu1237-1-60-1,,ravu1237-1,60,aruvadu,aruvadu,[],,[],,False,False,,1
ravu1237-1-70-1,,ravu1237-1,70,eɭuvadu,eɭuvadu,[],,[],,False,False,,1
ravu1237-1-80-1,,ravu1237-1,80,embadu,embadu,[],,[],,False,False,,1
ravu1237-1-90-1,,ravu1237-1,90,tombadu,tombadu,[],,[],,False,False,,1
ravu1237-1-100-1,,ravu1237-1,100,nuːru,nuːru,[],,[],,False,False,,1
ravu1237-1-200-1,,ravu1237-1,200,irunuːru,irunuːru,[],,[],,False,False,,1
ravu1237-1-1000-1,,ravu1237-1,1000,aːjira,aːjira,[],,[],,False,False,,1
ravu1237-1-2000-1,,ravu1237-1,2000,iraɳɖaːjira,iraɳɖaːjira,[],,[],,False,False,,1
