ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
chut1247-1-1,,chut1247,1,moc11,moc11,[],,[],,False,Chut.htm,False,,1
chut1247-2-1,,chut1247,2,ha:l55,ha:l55,[],,[],,False,Chut.htm,False,,1
chut1247-3-1,,chut1247,3,pa55,pa55,[],,[],,False,Chut.htm,False,,1
chut1247-4-1,,chut1247,4,poːn35,poːn35,[],,[],,False,Chut.htm,False,,1
chut1247-5-1,,chut1247,5,ˀdam55,ˀdam55,[],,[],,False,Chut.htm,False,,1
chut1247-6-1,,chut1247,6,pʰraw35,pʰraw35,[],,[],,False,Chut.htm,False,,1
chut1247-6-2,,chut1247,6,ʂaw35,ʂaw35,[],,[],,False,Chut.htm,False,,1
chut1247-7-1,,chut1247,7,paj312,paj312,[],,[],,False,Chut.htm,False,,1
chut1247-8-1,,chut1247,8,tʰaːm35,tʰaːm35,[],,[],,False,Chut.htm,False,,1
chut1247-9-1,,chut1247,9,ciːn35,ciːn35,[],,[],,False,Chut.htm,False,,1
chut1247-10-1,,chut1247,10,mɨəj31,mɨəj31,[],,[],,False,Chut.htm,False,,1
chut1247-11-1,,chut1247,11,mɨəj31mot11,mɨəj31mot11,[],< Vietnamese ,[],,True,Chut.htm,False,,1
chut1247-12-1,,chut1247,12,mɨəj31ha:j55,mɨəj31ha:j55,[],,[],,False,Chut.htm,False,,1
chut1247-13-1,,chut1247,13,mɨəj31pa:55,mɨəj31pa:55,[],,[],,False,Chut.htm,False,,1
chut1247-14-1,,chut1247,14,mɨəj31poːn35,mɨəj31poːn35,[],,[],,False,Chut.htm,False,,1
chut1247-15-1,,chut1247,15,mɨəj31lam55,mɨəj31lam55,[],,[],,False,Chut.htm,False,,1
chut1247-16-1,,chut1247,16,mɨəj31ʂaw45,mɨəj31ʂaw45,[],,[],,False,Chut.htm,False,,1
chut1247-17-1,,chut1247,17,mɨəj31paj312,mɨəj31paj312,[],,[],,False,Chut.htm,False,,1
chut1247-18-1,,chut1247,18,mɨəj31tʰaːm35,mɨəj31tʰaːm35,[],,[],,False,Chut.htm,False,,1
chut1247-19-1,,chut1247,19,mɨəj31ciːn35,mɨəj31ciːn35,[],,[],,False,Chut.htm,False,,1
chut1247-20-1,,chut1247,20,ha:j35 mɨəj33,ha:j35 mɨəj33,[],,[],,False,Chut.htm,False,,1
chut1247-21-1,,chut1247,21,ha:j55mɨəj31 mot11,ha:j55mɨəj31 mot11,[],,[],,False,Chut.htm,False,,1
chut1247-22-1,,chut1247,22,ha:j55mɨəj31 ha:j55,ha:j55mɨəj31 ha:j55,[],,[],,False,Chut.htm,False,,1
chut1247-23-1,,chut1247,23,ha:j55mɨəj31 pa:55,ha:j55mɨəj31 pa:55,[],,[],,False,Chut.htm,False,,1
chut1247-24-1,,chut1247,24,ha:j55mɨəj31 poːn35,ha:j55mɨəj31 poːn35,[],,[],,False,Chut.htm,False,,1
chut1247-25-1,,chut1247,25,ha:j55mɨəj31 lam55,ha:j55mɨəj31 lam55,[],,[],,False,Chut.htm,False,,1
chut1247-26-1,,chut1247,26,ha:j55mɨəj31 ʂaw45,ha:j55mɨəj31 ʂaw45,[],,[],,False,Chut.htm,False,,1
chut1247-27-1,,chut1247,27,ha:j55mɨəj31 paj312,ha:j55mɨəj31 paj312,[],,[],,False,Chut.htm,False,,1
chut1247-28-1,,chut1247,28,ha:j55mɨəj31 tʰaːm35,ha:j55mɨəj31 tʰaːm35,[],,[],,False,Chut.htm,False,,1
chut1247-29-1,,chut1247,29,ha:j55mɨəj31 ciːn35,ha:j55mɨəj31 ciːn35,[],,[],,False,Chut.htm,False,,1
chut1247-30-1,,chut1247,30,pa:55 mɨəj31,pa:55 mɨəj31,[],,[],,False,Chut.htm,False,,1
chut1247-40-1,,chut1247,40,bon45 mɨəj31,bon45 mɨəj31,[],,[],,False,Chut.htm,False,,1
chut1247-50-1,,chut1247,50,nam33 mɨəj31,nam33 mɨəj31,[],,[],,False,Chut.htm,False,,1
chut1247-60-1,,chut1247,60,ʂaw45 mɨəj31,ʂaw45 mɨəj31,[],,[],,False,Chut.htm,False,,1
chut1247-70-1,,chut1247,70,paj312 mɨəj31,paj312 mɨəj31,[],,[],,False,Chut.htm,False,,1
chut1247-80-1,,chut1247,80,tʰaːm35 mɨəj31,tʰaːm35 mɨəj31,[],,[],,False,Chut.htm,False,,1
chut1247-90-1,,chut1247,90,ciːn35 mɨəj31,ciːn35 mɨəj31,[],,[],,False,Chut.htm,False,,1
chut1247-100-1,,chut1247,100,mot11 tlam33,mot11 tlam33,[],,[],,False,Chut.htm,False,,1
chut1247-200-1,,chut1247,200,ha:j55 tlam33,ha:j55 tlam33,[],,[],,False,Chut.htm,False,,1
chut1247-1000-1,,chut1247,1000,mot11 ŋin31,mot11 ŋin31,[],,[],,False,Chut.htm,False,,1
chut1247-2000-1,,chut1247,2000,ha:j55 ŋin31,ha:j55 ŋin31,[],,[],,False,Chut.htm,False,,1
