ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
koda1255-1-1,,koda1255,1,on̪d̪ə,on̪d̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-1-2,,koda1255,1,oɳdɨ,oɳdɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-2-1,,koda1255,2,dɑɳɖə,dɑɳɖə,[],,[],,False,Kodagu.htm,False,,1
koda1255-2-2,,koda1255,2,daɳɖɨ,daɳɖɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-3-1,,koda1255,3,muːn̪d̪ə,muːn̪d̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-3-2,,koda1255,3,muːndɨ,muːndɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-4-1,,koda1255,4,nɑːlə,nɑːlə,[],,[],,False,Kodagu.htm,False,,1
koda1255-4-2,,koda1255,4,naːlɨ,naːlɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-5-1,,koda1255,5,ɑɲd͡ʒi,ɑɲd͡ʒi,[],,[],,False,Kodagu.htm,False,,1
koda1255-5-2,,koda1255,5,anjɨ,anjɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-6-1,,koda1255,6,ɑːɾə,ɑːɾə,[],,[],,False,Kodagu.htm,False,,1
koda1255-6-2,,koda1255,6,aːrɨ,aːrɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-7-1,,koda1255,7,ɤːɭə,ɤːɭə,[],,[],,False,Kodagu.htm,False,,1
koda1255-7-2,,koda1255,7,ëːɭɨ,ëːɭɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-8-1,,koda1255,8,ɤʈʈə,ɤʈʈə,[],,[],,False,Kodagu.htm,False,,1
koda1255-8-2,,koda1255,8,eʈʈɨ,eʈʈɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-9-1,,koda1255,9,ojimbɑd̪ə,ojimbɑd̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-9-2,,koda1255,9,oymbadɨ,oymbadɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-10-1,,koda1255,10,pɑt̪t̪ə,pɑt̪t̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-10-2,,koda1255,10,pattɨ,pattɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-11-1,,koda1255,11,pɑnnɑn̪d̪ə,pɑnnɑn̪d̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-11-2,,koda1255,11,pannoɳɖɨ,pannoɳɖɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-12-1,,koda1255,12,pɑnnɑɾɑɳɖə,pɑnnɑɾɑɳɖə,[],,[],,False,Kodagu.htm,False,,1
koda1255-12-2,,koda1255,12,panneraɳɖɨ,panneraɳɖɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-13-1,,koda1255,13,pɑt̪imuːn̪d̪ə,pɑt̪imuːn̪d̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-13-2,,koda1255,13,padimuːndɨ,padimuːndɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-14-1,,koda1255,14,pɑd̪ɑnɑːlə,pɑd̪ɑnɑːlə,[],,[],,False,Kodagu.htm,False,,1
koda1255-14-2,,koda1255,14,padinaːlɨ,padinaːlɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-15-1,,koda1255,15,pɑd̪ɑnɑɲd͡ʒi,pɑd̪ɑnɑɲd͡ʒi,[],,[],,False,Kodagu.htm,False,,1
koda1255-15-2,,koda1255,15,padianjɨ,padianjɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-16-1,,koda1255,16,pɑd̪ɑnɑːɾə,pɑd̪ɑnɑːɾə,[],,[],,False,Kodagu.htm,False,,1
koda1255-16-2,,koda1255,16,padiaːrɨ,padiaːrɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-17-1,,koda1255,17,pɑd̪ɑnɤːɭə,pɑd̪ɑnɤːɭə,[],,[],,False,Kodagu.htm,False,,1
koda1255-17-2,,koda1255,17,padiëːɭɨ,padiëːɭɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-18-1,,koda1255,18,pɑd̪ɑnɤʈʈə,pɑd̪ɑnɤʈʈə,[],,[],,False,Kodagu.htm,False,,1
koda1255-18-2,,koda1255,18,padiëʈʈɨ,padiëʈʈɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-19-1,,koda1255,19,pɑt̪t̪ojimbɑd̪ə,pɑt̪t̪ojimbɑd̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-19-2,,koda1255,19,pattoymbadɨ,pattoymbadɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-20-1,,koda1255,20,iɾəʋɑd̪ə,iɾəʋɑd̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-20-2,,koda1255,20,iruvadɨ,iruvadɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-21-1,,koda1255,21,iɾəʋɑd̪ɑ on̪d̪ə,iɾəʋɑd̪ɑ on̪d̪ə,[],,[],,False,Kodagu.htm,False,,1
koda1255-21-2,,koda1255,21,iruvadɨ oɳdɨ,iruvadɨ oɳdɨ,[],,[],,False,Kodagu.htm,False,,2
koda1255-22-1,,koda1255,22,iɾəʋɑd̪ɑ dɑɳɖə,iɾəʋɑd̪ɑ dɑɳɖə,[],,[],,False,Kodagu.htm,False,,1
