ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
minb1244-1-1,,minb1244,1,i11,i11,[],,[],,False,Chinese-Min-Shunchang.htm,False,,1
minb1244-1-2,,minb1244,1,ie24,ie24,[],,[],,False,Chinese-Min-Youxi.htm,False,,1
minb1244-1-3,,minb1244,1,tsi22,tsi22,[],,[],,False,Chinese-MinBei-Chengcun.htm,False,,1
minb1244-1-4,,minb1244,1,tsi42,tsi42,[],,[],,False,Chinese-MinBei-Jian'ou.htm,False,,1
minb1244-2-1,,minb1244,2,ŋi53,ŋi53,[],,[],,False,Chinese-Min-Shunchang.htm,False,,1
minb1244-2-2,,minb1244,2,ne42,ne42,[],,[],,False,Chinese-Min-Youxi.htm,False,,1
minb1244-2-3,,minb1244,2,noi44,noi44,[],,[],,False,Chinese-MinBei-Chengcun.htm,False,,1
minb1244-2-4,,minb1244,2,niɔŋ42,niɔŋ42,[],,[],,False,Chinese-MinBei-Jian'ou.htm,False,,1
minb1244-3-1,,minb1244,3,sɔ̃55,sɔ̃55,[],,[],,False,Chinese-Min-Shunchang.htm,False,,1
minb1244-3-2,,minb1244,3,sã33,sã33,[],,[],,False,Chinese-Min-Youxi.htm,False,,1
minb1244-3-3,,minb1244,3,saŋ52,saŋ52,[],,[],,False,Chinese-MinBei-Chengcun.htm,False,,1
minb1244-3-4,,minb1244,3,saŋ41,saŋ41,[],,[],,False,Chinese-MinBei-Jian'ou.htm,False,,1
minb1244-4-1,,minb1244,4,si35,si35,[],,[],,False,Chinese-Min-Shunchang.htm,False,,1
minb1244-4-2,,minb1244,4,sie51,sie51,[],,[],,False,Chinese-Min-Youxi.htm,False,,1
minb1244-4-3,,minb1244,4,soi22,soi22,[],,[],,False,Chinese-MinBei-Chengcun.htm,False,,1
minb1244-4-4,,minb1244,4,si33,si33,[],,[],,False,Chinese-MinBei-Jian'ou.htm,False,,1
minb1244-5-1,,minb1244,5,ŋ31,ŋ31,[],,[],,False,Chinese-Min-Shunchang.htm,False,,1
minb1244-5-2,,minb1244,5,ŋu42,ŋu42,[],,[],,False,Chinese-Min-Youxi.htm,False,,1
minb1244-5-3,,minb1244,5,ŋu22,ŋu22,[],,[],,False,Chinese-MinBei-Chengcun.htm,False,,1
minb1244-5-4,,minb1244,5,ŋu42,ŋu42,[],,[],,False,Chinese-MinBei-Jian'ou.htm,False,,1
minb1244-6-1,,minb1244,6,lyʔ5,lyʔ5,[],,[],,False,Chinese-Min-Shunchang.htm,False,,1
