ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,SourceFile,Problematic,Other_Form,Variant_ID
rong1264-1-1,,rong1264,1,tiɡɛ,tiɡɛ,[],,[],,False,Byangsi.htm,False,,1
rong1264-1-2,,rong1264,1,tiɡɛ,tiɡɛ,[],,[],,False,Rongpo.htm,False,,1
rong1264-1-3,,rong1264,1,tiɡ,tiɡ,[],,[],,False,Rongpo.htm,False,,1
rong1264-2-1,,rong1264,2,nəʃɛ,nəʃɛ,[],,[],,False,Byangsi.htm,False,nəšɛ,1
rong1264-2-2,,rong1264,2,nəʃɛ,nəʃɛ,[],,[],,False,Rongpo.htm,False,,1
rong1264-2-3,,rong1264,2,nhis,nhis,[],,[],,False,Rongpo.htm,False,,1
rong1264-3-1,,rong1264,3,sɯm,sɯm,[],,[],,False,Byangsi.htm,False,,1
rong1264-3-2,,rong1264,3,sɯm,sɯm,[],,[],,False,Rongpo.htm,False,,1
rong1264-4-1,,rong1264,4,pi,pi,[],,[],,False,Byangsi.htm,False,,1
rong1264-4-2,,rong1264,4,pi,pi,[],,[],,False,Rongpo.htm,False,,1
rong1264-5-1,,rong1264,5,ŋəĩ,ŋəĩ,[],,[],,False,Byangsi.htm,False,,1
rong1264-5-2,,rong1264,5,ŋəĩ,ŋəĩ,[],,[],,False,Rongpo.htm,False,,1
rong1264-5-3,,rong1264,5,ŋa,ŋa,[],,[],,False,Rongpo.htm,False,,1
rong1264-6-1,,rong1264,6,tugu,tugu,[],,[],,False,Byangsi.htm,False,,1
rong1264-6-2,,rong1264,6,tuɡu,tuɡu,[],,[],,False,Rongpo.htm,False,,1
rong1264-7-1,,rong1264,7,niʃɛ,niʃɛ,[],,[],,False,Byangsi.htm,False,nišɛ,1
rong1264-7-2,,rong1264,7,niʃɛ,niʃɛ,[],,[],,False,Rongpo.htm,False,,1
rong1264-8-1,,rong1264,8,d͡ʒɛdɛ,d͡ʒɛdɛ,[],,[],,False,Byangsi.htm,False,jɛdɛ,1
rong1264-8-2,,rong1264,8,jɛdɛ,jɛdɛ,[],,[],,False,Rongpo.htm,False,,1
rong1264-9-1,,rong1264,9,ɡui,ɡui,[],,[],,False,Byangsi.htm,False,,1
rong1264-9-2,,rong1264,9,ɡui,ɡui,[],,[],,False,Rongpo.htm,False,,1
rong1264-10-1,,rong1264,10,t͡sì,t͡sì,[],,[],,False,Byangsi.htm,False,cì,1
rong1264-10-2,,rong1264,10,t͡sì ??,t͡sì ??,[],,[],,False,Rongpo.htm,True,cì,1
rong1264-11-1,,rong1264,11,t͡sɛtʰe,t͡sɛtʰe,[],,[],,False,Byangsi.htm,False,cɛthe,1
rong1264-11-2,,rong1264,11,cɛtʰe,cɛtʰe,[],,[],,False,Rongpo.htm,False,,1
rong1264-12-1,,rong1264,12,t͡sɛɲe,t͡sɛɲe,[],,[],,False,Byangsi.htm,False,cɛnye,1
rong1264-12-2,,rong1264,12,t͡sɛɲe ?,t͡sɛɲe ?,[],,[],,False,Rongpo.htm,True,cɛnye,1
rong1264-13-1,,rong1264,13,t͡sɛsum,t͡sɛsum,[],,[],,False,Byangsi.htm,False,cɛsɯm,1
rong1264-13-2,,rong1264,13,cɛsɯm,cɛsɯm,[],,[],,False,Rongpo.htm,False,,1
rong1264-14-1,,rong1264,14,t͡sɛpi,t͡sɛpi,[],,[],,False,Byangsi.htm,False,cɛpi,1
rong1264-14-2,,rong1264,14,cɛpi,cɛpi,[],,[],,False,Rongpo.htm,False,,1
rong1264-15-1,,rong1264,15,t͡sɛbaŋ,t͡sɛbaŋ,[],,[],,False,Byangsi.htm,False,cɛbaŋ,1
rong1264-15-2,,rong1264,15,cɛbaŋ,cɛbaŋ,[],,[],,False,Rongpo.htm,False,,1
rong1264-16-1,,rong1264,16,t͡sɛto,t͡sɛto,[],,[],,False,Byangsi.htm,False,cɛto,1
rong1264-16-2,,rong1264,16,cɛto,cɛto,[],,[],,False,Rongpo.htm,False,,1
rong1264-17-1,,rong1264,17,t͡soɲe,t͡soɲe,[],,[],,False,Byangsi.htm,False,conye,1
rong1264-17-2,,rong1264,17,cɛnye,cɛnye,[],,[],,False,Rongpo.htm,False,,1
rong1264-18-1,,rong1264,18,t͡sɛbd͡ʒɛ,t͡sɛbd͡ʒɛ,[],,[],,False,Byangsi.htm,False,cɛbjɛ,1
rong1264-18-2,,rong1264,18,cɛbjɛ,cɛbjɛ,[],,[],,False,Rongpo.htm,False,,1
rong1264-19-1,,rong1264,19,t͡sigù,t͡sigù,[],,[],,False,Byangsi.htm,False,cirgù,1
rong1264-19-2,,rong1264,19,cirɡù,cirɡù,[],,[],,False,Rongpo.htm,False,,1
rong1264-20-1,,rong1264,20,nə̀saː,nə̀saː,[],,[],,False,Byangsi.htm,False,nə̀saa,1
rong1264-20-2,,rong1264,20,nə̀saː,nə̀saː,[],,[],,False,Rongpo.htm,False,nə̀ssa,1
rong1264-21-1,,rong1264,21,nə̀saa tiɡɛ,nə̀saa tiɡɛ,[],,[],,False,Byangsi.htm,False,,1
rong1264-21-2,,rong1264,21,nə̀ssa tiɡɛ,nə̀ssa tiɡɛ,[],,[],,False,Rongpo.htm,False,,1
rong1264-22-1,,rong1264,22,nə̀saa nəšɛ,nə̀saa nəšɛ,[],,[],,False,Byangsi.htm,False,,1
rong1264-22-2,,rong1264,22,nə̀ssa nəʃɛ,nə̀ssa nəʃɛ,[],,[],,False,Rongpo.htm,False,,1
rong1264-23-1,,rong1264,23,nə̀saa sɯm,nə̀saa sɯm,[],,[],,False,Byangsi.htm,False,,1
rong1264-23-2,,rong1264,23,nə̀ssa sɯm,nə̀ssa sɯm,[],,[],,False,Rongpo.htm,False,,1
rong1264-24-1,,rong1264,24,nə̀saa pi,nə̀saa pi,[],,[],,False,Byangsi.htm,False,,1
rong1264-24-2,,rong1264,24,nə̀ssa pi,nə̀ssa pi,[],,[],,False,Rongpo.htm,False,,1
rong1264-25-1,,rong1264,25,nə̀saa ŋəĩ,nə̀saa ŋəĩ,[],,[],,False,Byangsi.htm,False,,1
