ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
adiw1235-1-1-1,,adiw1235-1,1,ek,ek,[],,[],,False,False,,1
adiw1235-1-2-1,,adiw1235-1,2,be,be,[],,[],,False,False,,1
adiw1235-1-3-1,,adiw1235-1,3,t̪ɛn,t̪ɛn,[],,[],,False,False,,1
adiw1235-1-4-1,,adiw1235-1,4,siaɾ,siaɾ,[],,[],,False,False,,1
adiw1235-1-5-1,,adiw1235-1,5,pɔs,pɔs,[],,[],,False,False,,1
adiw1235-1-6-1,,adiw1235-1,6,se,se,[],,[],,False,False,,1
adiw1235-1-7-1,,adiw1235-1,7,hat̪ʰ,hat̪ʰ,[],,[],,False,False,,1
adiw1235-1-8-1,,adiw1235-1,8,aʈʰ,aʈʰ,[],,[],,False,False,,1
adiw1235-1-9-1,,adiw1235-1,9,nev,nev,[],,[],,False,False,,1
adiw1235-1-10-1,,adiw1235-1,10,d̪ɛs,d̪ɛs,[],,[],,False,False,,1
adiw1235-1-11-1,,adiw1235-1,11,ɛgɟaɾe,ɛgɟaɾe,[],,[],,False,False,,1
adiw1235-1-11-2,,adiw1235-1,11,d̪ɛs ne ek,d̪ɛs ne ek,[],,[],,False,False,,1
adiw1235-1-12-1,,adiw1235-1,12,baɾe,baɾe,[],,[],,False,False,,1
adiw1235-1-12-2,,adiw1235-1,12,d̪ɛs ne be,d̪ɛs ne be,[],,[],,False,False,,1
adiw1235-1-13-1,,adiw1235-1,13,t̪eɾe,t̪eɾe,[],,[],,False,False,,1
adiw1235-1-13-2,,adiw1235-1,13,d̪ɛs ne t̪ɛn,d̪ɛs ne t̪ɛn,[],,[],,False,False,,1
adiw1235-1-14-1,,adiw1235-1,14,sevd̪e,sevd̪e,[],,[],,False,False,,1
adiw1235-1-14-2,,adiw1235-1,14,d̪ɛs ne siaɾ,d̪ɛs ne siaɾ,[],,[],,False,False,,1
adiw1235-1-15-1,,adiw1235-1,15,pɛndɛɾ,pɛndɛɾ,[],,[],,False,False,,1
adiw1235-1-15-2,,adiw1235-1,15,vi ma pɔs osu,vi ma pɔs osu,[],( 20 - 5 ),[],,False,False,,1
adiw1235-1-16-1,,adiw1235-1,16,hoɭɭa,hoɭɭa,[],,[],,False,False,,1
adiw1235-1-16-2,,adiw1235-1,16,vi ma siaɾ osu,vi ma siaɾ osu,[],( 20 - 4 ),[],,False,False,,1
adiw1235-1-17-1,,adiw1235-1,17,hɛtɾa,hɛtɾa,[],,[],,False,False,,1
adiw1235-1-17-2,,adiw1235-1,17,vi ma t̪ɛn osu,vi ma t̪ɛn osu,[],( 20 - 3 ),[],,False,False,,1
adiw1235-1-18-1,,adiw1235-1,18,eɖaɾ,eɖaɾ,[],,[],,False,False,,1
adiw1235-1-18-2,,adiw1235-1,18,vi ma be osu,vi ma be osu,[],( 20 - 2 ),[],,False,False,,1
adiw1235-1-19-1,,adiw1235-1,19,vi ma ek kɛm,vi ma ek kɛm,[],( 20 - 1 ),[],,False,False,,1
adiw1235-1-20-1,,adiw1235-1,20,vi,vi,[],,[],,False,False,,1
adiw1235-1-21-1,,adiw1235-1,21,vi ne ek,vi ne ek,[],,[],,False,False,,1
adiw1235-1-22-1,,adiw1235-1,22,vi ne be,vi ne be,[],,[],,False,False,,1
adiw1235-1-23-1,,adiw1235-1,23,vi ne t̪ɛn,vi ne t̪ɛn,[],,[],,False,False,,1
adiw1235-1-24-1,,adiw1235-1,24,vi ne siaɾ,vi ne siaɾ,[],,[],,False,False,,1
adiw1235-1-25-1,,adiw1235-1,25,vi ne pɔs,vi ne pɔs,[],,[],,False,False,,1
adiw1235-1-26-1,,adiw1235-1,26,ɖoɖ vi ma siaɾ kɛm,ɖoɖ vi ma siaɾ kɛm,[],( 30 - 4 ),[],,False,False,,1
adiw1235-1-27-1,,adiw1235-1,27,ɖoɖ vi ma t̪ɛn kɛm,ɖoɖ vi ma t̪ɛn kɛm,[],( 30 - 3 ),[],,False,False,,1
adiw1235-1-28-1,,adiw1235-1,28,ɖoɖ vi ma be kɛm,ɖoɖ vi ma be kɛm,[],( 30 - 2 ),[],,False,False,,1
adiw1235-1-29-1,,adiw1235-1,29,ɖoɖ vi ma ek kɛm,ɖoɖ vi ma ek kɛm,[],( 30 - 1 ),[],,False,False,,1
adiw1235-1-30-1,,adiw1235-1,30,ɖoɖ vi,ɖoɖ vi,[],,[],,False,False,,1
adiw1235-1-40-1,,adiw1235-1,40,be vi,be vi,[],( 2 x 20),[],,False,False,,1
adiw1235-1-50-1,,adiw1235-1,50,be vi ne d̪ɛs,be vi ne d̪ɛs,[],,[],,False,False,,1
adiw1235-1-60-1,,adiw1235-1,60,t̪ɛn vi,t̪ɛn vi,[],( 3 x 20),[],,False,False,,1
adiw1235-1-70-1,,adiw1235-1,70,siaɾ vi ma d̪ɛs osu,siaɾ vi ma d̪ɛs osu,[],( 80 - 10 ),[],,False,False,,1
adiw1235-1-80-1,,adiw1235-1,80,siaɾ vi,siaɾ vi,[],( 4 x 20),[],,False,False,,1
adiw1235-1-90-1,,adiw1235-1,90,ho ma d̪ɛs osu,ho ma d̪ɛs osu,[],( 100 - 10 ),[],,False,False,,1
adiw1235-1-100-1,,adiw1235-1,100,ho,ho,[],,[],,False,False,,1
adiw1235-1-200-1,,adiw1235-1,200,be ho,be ho,[],,[],,False,False,,1
adiw1235-1-1000-1,,adiw1235-1,1000,hezaɾ,hezaɾ,[],,[],,False,False,,1
adiw1235-1-2000-1,,adiw1235-1,2000,be hezaɾ,be hezaɾ,[],,[],,False,False,,1
