ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
gawa1247-3-1-1,,gawa1247-3,1,yak,yak,[],,['chan2019'],,False,False,,3
gawa1247-3-2-1,,gawa1247-3,2,duː,duː,[],,['chan2019'],,False,False,,3
gawa1247-3-3-1,,gawa1247-3,3,ɬiː,ɬiː,[],,['chan2019'],,False,False,,3
gawa1247-3-4-1,,gawa1247-3,4,tuːr,tuːr,[],,['chan2019'],,False,False,,3
gawa1247-3-5-1,,gawa1247-3,5,panʃ,panʃ,[],,['chan2019'],,False,False,,3
gawa1247-3-6-1,,gawa1247-3,6,ʃuː,ʃuː,[],,['chan2019'],,False,False,,3
gawa1247-3-7-1,,gawa1247-3,7,sat,sat,[],,['chan2019'],,False,False,,3
gawa1247-3-8-1,,gawa1247-3,8,aʃt,aʃt,[],,['chan2019'],,False,False,,3
gawa1247-3-9-1,,gawa1247-3,9,nuː,nuː,[],,['chan2019'],,False,False,,3
gawa1247-3-10-1,,gawa1247-3,10,daʃ,daʃ,[],,['chan2019'],,False,False,,3
gawa1247-3-11-1,,gawa1247-3,11,dʒəʃ,dʒəʃ,[],,['chan2019'],,False,False,,3
gawa1247-3-12-1,,gawa1247-3,12,baʃ,baʃ,[],,['chan2019'],,False,False,,3
gawa1247-3-13-1,,gawa1247-3,13,ɬonaʃ,ɬonaʃ,[],,['chan2019'],,False,False,,3
gawa1247-3-14-1,,gawa1247-3,14,t͡ʃuːdaʃ,t͡ʃuːdaʃ,[],,['chan2019'],,False,False,,3
gawa1247-3-15-1,,gawa1247-3,15,pand͡ʒiʃ,pand͡ʒiʃ,[],,['chan2019'],,False,False,,3
gawa1247-3-16-1,,gawa1247-3,16,ʃuːras,ʃuːras,[],,['chan2019'],,False,False,,3
gawa1247-3-17-1,,gawa1247-3,17,sata as,sata as,[],,['chan2019'],,False,False,,3
gawa1247-3-18-1,,gawa1247-3,18,aʃt as,aʃt as,[],,['chan2019'],,False,False,,3
gawa1247-3-19-1,,gawa1247-3,19,ins,ins,[],,['chan2019'],,False,False,,3
gawa1247-3-20-1,,gawa1247-3,20,iʃ,iʃ,[],,['chan2019'],,False,False,,3
gawa1247-3-30-1,,gawa1247-3,30,iʃr das,iʃr das,[],(20 + 10),['chan2019'],,False,False,,3
gawa1247-3-40-1,,gawa1247-3,40,duː iʃ,duː iʃ,[],( 2 x 20),['chan2019'],,False,False,,3
gawa1247-3-50-1,,gawa1247-3,50,du ʃu das,du ʃu das,[],[(3 x 20) +10],['chan2019'],,False,False,,3
gawa1247-3-60-1,,gawa1247-3,60,ɬe ʃi,ɬe ʃi,[],( 3 x 20),['chan2019'],,False,False,,3
gawa1247-3-70-1,,gawa1247-3,70,ɬe ʃu das,ɬe ʃu das,[],[(3 x 20) +10],['chan2019'],,False,False,,3
gawa1247-3-80-1,,gawa1247-3,80,sur ʃi,sur ʃi,[],( 4 x 20),['chan2019'],,False,False,,3
gawa1247-3-90-1,,gawa1247-3,90,sur ʃu das,sur ʃu das,[],[(4 x 20) +10],['chan2019'],,False,False,,3
gawa1247-3-100-1,,gawa1247-3,100,pan ʃi,pan ʃi,[],( 5 x 20),['chan2019'],,False,False,,3
gawa1247-3-200-1,,gawa1247-3,200,duː so,duː so,[],,['chan2019'],,False,False,,3
gawa1247-3-200-2,,gawa1247-3,200,300. ɬe so,300. ɬe so,[],,['chan2019'],,False,True,,3
gawa1247-3-200-3,,gawa1247-3,200,400. sur so,400. sur so,[],,['chan2019'],,False,True,,3
gawa1247-3-1000-1,,gawa1247-3,1000,zər,zər,[],,['chan2019'],,False,False,,3
